scope,group,residual_method,height_m,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error,old_20_61_singleheight_oracle_ordering,ordering_delta_vs_20_61
split,train,per_height,0.012,8.0,64.0,224.0,0.5625,0.4375,0.6302083333333334,192.0,-0.07216539121942286,-0.09622462099933947,-0.05734406438631791,0.3351458437478173,0.7346497893539846,0.4471,0.1154
split,train,single_height_0p008,0.008,8.0,64.0,224.0,0.4330357142857143,0.5669642857142857,0.671875,192.0,0.0015972513935283506,-0.18312239733406088,-0.14688128772635814,0.3868451873051919,0.7346497893539846,0.4471,-0.014064285714285696
split,val,multi_height_mean_per_height_nrmse,all,2.0,16.0,56.0,0.42857142857142855,0.5714285714285714,0.6458333333333334,48.0,-0.15731121406427914,-0.5930833099380497,-0.42857142857142855,0.37425429217143524,0.7062837078398709,0.512,-0.08342857142857146
split,val,multi_height_raw_concat_nrmse,all,2.0,16.0,56.0,0.42857142857142855,0.5714285714285714,0.6666666666666666,48.0,-0.32370704234293696,-0.6931569205479439,-0.4789915966386555,0.3949477957941755,0.7062837078398709,0.512,-0.08342857142857146
split,val,multi_height_trainstd_normalized,all,2.0,16.0,56.0,0.4642857142857143,0.5357142857142857,0.6875,48.0,-0.5134948714399505,-0.6696101886397334,-0.44537815126050423,0.43455937653692733,0.7062837078398709,0.512,-0.04771428571428571
split,val,per_height,0.004,2.0,16.0,56.0,0.42857142857142855,0.5714285714285714,0.625,48.0,0.006837555650874688,-0.29286247810836696,-0.21008403361344538,0.3248614789822969,0.7062837078398709,0.512,-0.08342857142857146
split,val,per_height,0.012,2.0,16.0,56.0,0.48214285714285715,0.5178571428571428,0.6458333333333334,48.0,0.12870188343254416,-0.03679176860657876,-0.025210084033613446,0.33927033659463957,0.7062837078398709,0.512,-0.02985714285714286
split,val,single_height_0p008,0.008,2.0,16.0,56.0,0.5535714285714286,0.4464285714285714,0.6875,48.0,-0.4235228407700437,-0.61663004184626,-0.36134453781512604,0.4586310609373693,0.7062837078398709,0.512,0.04157142857142859
split,test,multi_height_mean_per_height_nrmse,all,2.0,16.0,55.0,0.4727272727272727,0.5272727272727273,0.9361702127659575,47.0,-0.657473807251944,-0.09867452135493372,-0.06779661016949153,0.3637656939967342,0.4098974620011195,0.503,-0.030272727272727284
split,test,multi_height_raw_concat_nrmse,all,2.0,16.0,55.0,0.4,0.6,0.8297872340425532,47.0,-0.6583630274027615,-0.22827687776141384,-0.15254237288135594,0.3864531081749212,0.4098974620011195,0.503,-0.10299999999999998
split,test,multi_height_trainstd_normalized,all,2.0,16.0,55.0,0.45454545454545453,0.5454545454545454,0.9361702127659575,47.0,-0.5919706683738082,-0.16347569955817376,-0.1016949152542373,0.40646134617305374,0.4098974620011195,0.503,-0.04845454545454547
split,test,per_height,0.004,2.0,16.0,55.0,0.43636363636363634,0.5636363636363637,0.8085106382978723,47.0,-0.7261205020650355,-0.20913107511045653,-0.15254237288135594,0.3179871275425789,0.4098974620011195,0.503,-0.06663636363636366
split,test,per_height,0.012,2.0,16.0,55.0,0.45454545454545453,0.5454545454545454,0.9361702127659575,47.0,-0.6031491197417266,-0.06921944035346098,-0.05084745762711865,0.33443638620457783,0.4098974620011195,0.503,-0.04845454545454547
split,test,single_height_0p008,0.008,2.0,16.0,55.0,0.4909090909090909,0.509090909090909,0.8723404255319149,47.0,-0.554164149128303,-0.14285714285714285,-0.06779661016949153,0.43887356824304585,0.4098974620011195,0.503,-0.012090909090909097
source_defect_type,rectangular_notch,multi_height_mean_per_height_nrmse,all,6.0,48.0,168.0,0.4523809523809524,0.5476190476190477,0.7430555555555556,144.0,-0.23386213683389845,-0.42028650185502336,-0.30997304582210244,0.38088128554236117,0.7229502423815513,,
source_defect_type,rectangular_notch,multi_height_raw_concat_nrmse,all,6.0,48.0,168.0,0.4523809523809524,0.5476190476190477,0.6666666666666666,144.0,-0.2567372998016187,-0.47233335666075144,-0.33513027852650495,0.4214013719400751,0.7229502423815513,,
source_defect_type,rectangular_notch,multi_height_trainstd_normalized,all,6.0,48.0,168.0,0.48214285714285715,0.5178571428571428,0.7569444444444444,144.0,-0.3167170420192386,-0.5050392090543301,-0.3297394429469901,0.4673117765836417,0.7229502423815513,,
source_defect_type,rectangular_notch,per_height,0.004,6.0,48.0,168.0,0.4583333333333333,0.5416666666666667,0.625,144.0,-0.13908250556932578,-0.15950894124177206,-0.10152740341419586,0.33253051659957683,0.7229502423815513,,
source_defect_type,rectangular_notch,per_height,0.012,6.0,48.0,168.0,0.5476190476190477,0.45238095238095233,0.7152777777777778,144.0,-0.19333759951378832,-0.20579695825062413,-0.14465408805031446,0.3268580130580479,0.7229502423815513,,
source_defect_type,rectangular_notch,single_height_0p008,0.008,6.0,48.0,168.0,0.39880952380952384,0.6011904761904762,0.7013888888888888,144.0,-0.2816462531963377,-0.516556884648082,-0.36208445642407905,0.48325532696945883,0.7229502423815513,,
source_defect_type,rotated_rect,multi_height_mean_per_height_nrmse,all,6.0,48.0,167.0,0.48502994011976047,0.5149700598802396,0.6153846153846154,143.0,0.02664544756951945,0.1190405520312222,0.0683453237410072,0.33105585983795116,0.6286432000374251,,
source_defect_type,rotated_rect,multi_height_raw_concat_nrmse,all,6.0,48.0,167.0,0.46706586826347307,0.5329341317365269,0.6713286713286714,143.0,-0.018000960900722014,0.003151233234966174,-0.007194244604316547,0.3225236513298213,0.6286432000374251,,
source_defect_type,rotated_rect,multi_height_trainstd_normalized,all,6.0,48.0,167.0,0.46706586826347307,0.5329341317365269,0.6223776223776224,143.0,-0.037675007135885154,-0.0880172041490552,-0.06294964028776978,0.3087864621032837,0.6286432000374251,,
source_defect_type,rotated_rect,per_height,0.004,6.0,48.0,167.0,0.46107784431137727,0.5389221556886228,0.6923076923076923,143.0,-0.049430487671728446,-0.1171389457687426,-0.09172661870503597,0.316889094144137,0.6286432000374251,,
source_defect_type,rotated_rect,per_height,0.012,6.0,48.0,167.0,0.5149700598802395,0.4850299401197605,0.6503496503496503,143.0,0.08273275454121896,0.19885368344786547,0.12050359712230216,0.34457201953878097,0.6286432000374251,,
source_defect_type,rotated_rect,single_height_0p008,0.008,6.0,48.0,167.0,0.5269461077844312,0.4730538922155688,0.7132867132867133,143.0,0.037545949573904405,0.13349275962606705,0.08273381294964029,0.3317064658309356,0.6286432000374251,,
