scope,group,residual_method,height_m,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error,old_20_61_singleheight_oracle_ordering,ordering_delta_vs_20_61
all,all,multi_height_mean_per_height_nrmse,all,12.0,96.0,335.0,0.46865671641791046,0.5313432835820895,0.6794425087108014,287.0,-0.11769765485396418,-0.2086615677432186,-0.14400178054751836,0.3559685726901562,0.6757967212094882,,
all,all,multi_height_raw_concat_nrmse,all,12.0,96.0,335.0,0.4597014925373134,0.5402985074626866,0.6689895470383276,287.0,-0.12975938660214453,-0.21836312558623333,-0.1435566436679279,0.37196251163494815,0.6757967212094882,,
all,all,multi_height_trainstd_normalized,all,12.0,96.0,335.0,0.4746268656716418,0.5253731343283582,0.6898954703832753,287.0,-0.16545404634906336,-0.2648206205615658,-0.17338081460048965,0.3880491193434627,0.6757967212094882,,
all,all,per_height,0.004,12.0,96.0,335.0,0.4597014925373134,0.5402985074626866,0.6585365853658537,287.0,-0.09391900091419562,-0.13336417233602688,-0.09325617627420432,0.32470980537185695,0.6757967212094882,,
all,all,per_height,0.012,12.0,96.0,335.0,0.5313432835820896,0.4686567164179104,0.6829268292682927,287.0,-0.0950415804709346,-0.07210654013342196,-0.047852214555975964,0.33571501629841444,0.6757967212094882,,
all,all,single_height_0p008,0.008,12.0,96.0,335.0,0.4626865671641791,0.5373134328358209,0.7073170731707317,287.0,-0.12914932936646864,-0.24006094144786752,-0.16002670821277543,0.4074808964001971,0.6757967212094882,,
split,train,multi_height_mean_per_height_nrmse,all,8.0,64.0,224.0,0.47767857142857145,0.5223214285714286,0.625,192.0,-0.03901406675019792,-0.135181957436319,-0.1096579476861167,0.3494478624931919,0.7346497893539846,0.4471,0.030578571428571455
split,train,multi_height_raw_concat_nrmse,all,8.0,64.0,224.0,0.48214285714285715,0.5178571428571428,0.6302083333333334,192.0,-0.02480266183241356,-0.08219997988202685,-0.0482897384305835,0.3625935414601481,0.7346497893539846,0.4471,0.03504285714285715
split,train,multi_height_trainstd_normalized,all,8.0,64.0,224.0,0.48214285714285715,0.5178571428571428,0.6302083333333334,192.0,-0.056943712177659374,-0.1260155253335003,-0.09154929577464789,0.37181849833769876,0.7346497893539846,0.4471,0.03504285714285715
split,train,per_height,0.004,8.0,64.0,224.0,0.4732142857142857,0.5267857142857143,0.6302083333333334,192.0,-0.05403675787387795,-0.15264401059218866,-0.11368209255533199,0.32635255642656646,0.7346497893539846,0.4471,0.0261142857142857
