perturbation_name,perturbation_group,severity,affected_axis,split,sample_count,profile_depth_rmse_m,profile_depth_rmse_degradation_pct,er_like_profile_error,er_like_degradation_pct,L_mae_mm,W_mae_mm,D_mae_mm,max_lwd_degradation_pct,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,projected_mask_dice_drop,max_depth_error_m,volume_proxy_rel_error,status_band,notes
additive_noise_0pct,additive_noise,0pct,all,train,162,0.00042721784738216544,10.182303170173936,0.3306872654522275,-2.8943214357254456,1.8511671471742936,2.0351193704078963,0.8981590664681093,12.237425981136083,0.18534424914805978,0.7614980454774725,0.8562088055848226,-0.0084816689080488,0.0008981590702508887,0.5254112625798034,,
additive_noise_0pct,additive_noise,0pct,all,val,39,0.0005162771202053707,33.15127756684442,0.3921161427711829,15.144150071005384,2.5295833345407095,2.25023901481659,1.124863584072162,40.567298120858545,0.20791665798960587,0.7298490255306381,0.8315550804306858,0.016172056246087974,0.0011248635814692348,0.7934174933972794,,
additive_noise_0pct,additive_noise,0pct,all,test,39,0.000387737259305327,-1.1307220869349153e-06,0.34054370052539384,1.739059170920315e-06,1.891891377667586,2.185759879075564,0.8002313404606703,-8.952435732563229e-07,0.2010758042526551,0.7506502455785019,0.8477271366767738,0.0,0.0008002313343473735,0.5764562337018135,green,
additive_noise_5pct,additive_noise,5pct,all,train,162,0.00043531042319955304,12.269431897596672,0.32971488406168825,-3.1798593581563477,1.8422773948146238,2.039714101977922,0.9153670555923457,14.387802765963931,0.1860050425439337,0.7609975017899463,0.8560204175176542,-0.008293280840880435,0.0009153670563799456,0.5062576203366286,,
additive_noise_5pct,additive_noise,5pct,all,val,39,0.0005173793391664871,33.43554711334818,0.38508468407851,13.079375769173948,2.462392210196226,2.2467956118858776,1.1218816773631635,40.19466754123309,0.20754894566459534,0.7309682973884084,0.8329750978376567,0.014752038839117132,0.001121881674640836,0.7573227808687694,,
additive_noise_5pct,additive_noise,5pct,all,test,39,0.00038924640737091884,0.3892181182176056,0.33393838428533995,-1.9396366523524189,1.88553447696643,2.1711488645046186,0.8021582774101541,0.24079658853451744,0.20205180767254952,0.7513219342306812,0.8486590811589139,-0.000931944482140068,0.0008021582765743518,0.5460889998491132,green,
additive_noise_10pct,additive_noise,10pct,all,train,162,0.0004524111333955295,16.679817949546567,0.3274114708657618,-3.8562522065427562,1.8619673256244924,2.0684158972659965,0.954945431596795,19.33366949836938,0.18662483560174337,0.7582777455608927,0.8546496239057222,-0.006922487228948393,0.0009549454344654984,0.48433661971454334,,
additive_noise_10pct,additive_noise,10pct,all,val,39,0.0005392623193657551,39.07931216988105,0.3819732217070384,12.165700836769865,2.404828103306966,2.2076588874826064,1.1607357111687844,45.05001767478516,0.20855728192971304,0.740732840090017,0.838489638651453,0.009237498025320812,0.0011607357032167225,0.7358219416989598,,
additive_noise_10pct,additive_noise,10pct,all,test,39,0.0004036167139509836,4.095415052534023,0.32753522254717654,-3.8199127636530616,1.8706032022451744,2.1719924799906902,0.8244489212639821,3.0263215395368497,0.20313561812807351,0.7498760241514469,0.8479795800817769,-0.0002524434050030777,0.0008244489182312137,0.517315752737962,green,
additive_noise_15pct,additive_noise,15pct,all,train,162,0.00048647023302489996,25.463884589228613,0.33568685692677525,-1.426201028922971,2.0276463583203745,2.1204600272999135,1.0223125356169027,27.75212301435224,0.18814890033760925,0.7505202448829197,0.8495164963050972,-0.0017893596283233837,0.0010223125350477611,0.4735205219236824,,
additive_noise_15pct,additive_noise,15pct,all,val,39,0.0005556063503415013,43.29454565562414,0.3753298683426319,10.214892917055318,2.5193731716045966,2.229228377342224,1.2025609578794012,50.27666204891094,0.20648785499043953,0.7282256675291999,0.8318749525332129,0.015852184143560932,0.001202560943336441,0.6564341533682718,,
additive_noise_15pct,additive_noise,15pct,all,test,39,0.0004225546816507211,8.97964194358162,0.32355232307544124,-4.989483522077142,2.0249424263452873,2.2161258155336747,0.8668168897812183,8.320786526817864,0.20197661679524642,0.7437260805392711,0.8433977057985189,0.004329430878254881,0.0008668168835962812,0.49861713834895893,green,
additive_noise_20pct,additive_noise,20pct,all,train,162,0.0005194291640949769,33.96421049457301,0.344737610699218,1.2315353837245464,2.046562412178811,2.1409891668109244,1.0986859427684528,37.29603895544198,0.19027469900471192,0.7524505769815761,0.8509038206007072,-0.0031766839239334432,0.001098685941003539,0.46664484875319373,,
additive_noise_20pct,additive_noise,20pct,all,val,39,0.000594371021202861,53.292210180434076,0.3901584114019687,14.569266025216288,2.4934697571473246,2.176692025974775,1.282984011925948,60.32663750729117,0.20818207498926383,0.7347725265947574,0.8340497667377701,0.013677369939003703,0.001282984005788771,0.6909204508639178,,
additive_noise_20pct,additive_noise,20pct,all,test,39,0.00045870201705465425,18.302278375264525,0.33043362811589855,-2.968801551008309,2.0909261107444763,2.2766642417663183,0.9387358336303478,17.308055528788987,0.20462724060202256,0.7417435592566043,0.8423090740512463,0.005418062625527464,0.000938735845594261,0.5052619203197473,warning,
