sample_index,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
0,polygon,9593.69140625,20.57520866394043,0.11246200607902736,0.20218579234972678,1.5192307692307692,1.2846617698669434,3.9896505719682125,1.583678089636237,2.150254964828491,4.6063690185546875,2.307692289352417,3.331390857696533
1,polygon,54088.43359375,88.28307342529297,0.454477889260498,0.6249361267245784,0.29156908665105385,1.4809752702713013,33.5922487090148,26.00886708748743,-3.4067893028259277,5.260583877563477,-3.1606216430664062,6.720956802368164
2,multi_defect,56527.921875,105.65470123291016,0.38833841463414637,0.559429041998353,0.902788844621514,0.38445934653282166,36.36368536587821,19.110730793206514,-4.319524765014648,4.668967247009277,-4.24038553237915,5.045193195343018
3,polygon,13637.61328125,29.218021392822266,0.0,0.0,1.4273504273504274,2.6326913833618164,4.324659398622032,1.7816378508407666,6.224963188171387,6.179755210876465,6.144182205200195,3.5483033657073975
4,multi_defect,30909.197265625,66.49109649658203,0.5881805490926012,0.7406973337239965,0.3867132867132867,0.4804409146308899,30.196477420660173,21.77557373249826,-4.087494850158691,5.376966953277588,-4.095231056213379,4.896588325500488
5,rotated_rect,30750.982421875,58.59053039550781,0.3144599303135889,0.4784625579854208,1.9606299212598426,1.4234936237335205,17.176816202977648,5.801743770686599,5.216507911682129,5.2432122230529785,5.300716400146484,3.822211503982544
6,polygon,3699.624755859375,14.909639358520508,0.0,0.0,0.08333333333333333,1.5262622833251953,0.6700176533076387,0.7309283490628786,6.544084548950195,4.931128978729248,6.714824199676514,6.447811126708984
7,multi_defect,76659.9921875,120.64107513427734,0.3390452876376989,0.506398537477148,1.0687237026647967,0.5945568680763245,44.921638119489415,21.71466303674302,-0.1272464096546173,5.165108680725098,-0.697315514087677,5.333984851837158
8,polygon,32438.78125,61.09209442138672,0.18327067669172933,0.30976965845909454,3.938679245283019,1.6579434871673584,15.94337461393404,3.228266875027714,4.947732925415039,5.156627655029297,4.711766719818115,6.797693252563477
9,triangle,37861.76171875,65.79056549072266,0.3702656868287168,0.5404290429042904,0.5041322314049587,1.7668815851211548,22.17149325490732,14.740388372768052,-1.7797435522079468,5.144161701202393,-1.6469227075576782,6.906044006347656
