scope,group,residual_method,axis_combo,axis_count,normalized,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error,old_20_61_singleheight_oracle_ordering,ordering_delta_vs_20_61
split,train,Bz_only,Bz,1,False,16.0,128.0,448.0,0.43973214285714285,0.5602678571428572,0.6119791666666666,384.0,-0.022761263166242725,0.04196889688369753,0.021228771228771228,0.3267426611664686,0.7858627462532257,0.4471,-0.007367857142857148
split,val,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,4.0,32.0,111.0,0.5945945945945946,0.4054054054054054,0.7157894736842105,95.0,0.019620490767474293,-0.10384371945748223,-0.07975460122699386,0.3570391820005108,0.7463747417083969,0.512,0.08259459459459462
split,val,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,4.0,32.0,111.0,0.5585585585585585,0.4414414414414415,0.6947368421052632,95.0,0.047707564206344345,-0.0157783743345291,-0.018404907975460124,0.5747070036887713,0.7463747417083969,0.512,0.046558558558558505
split,val,Bx_By_raw_concat,Bx+By,2,False,4.0,32.0,111.0,0.6216216216216216,0.3783783783783784,0.6631578947368421,95.0,-0.04556558252101804,-0.2994221734180406,-0.16973415132924335,0.4029268043452995,0.7463747417083969,0.512,0.10962162162162159
split,val,Bx_Bz_raw_concat,Bx+Bz,2,False,4.0,32.0,111.0,0.6126126126126126,0.3873873873873874,0.6947368421052632,95.0,-0.014110260054580746,-0.1829190605991339,-0.12474437627811862,0.3393186377625004,0.7463747417083969,0.512,0.10061261261261256
split,val,Bx_only,Bx,1,False,4.0,32.0,111.0,0.6126126126126126,0.3873873873873874,0.6736842105263158,95.0,-0.16736978584566817,-0.4529861189761901,-0.26789366053169733,0.40674960401905536,0.7463747417083969,0.512,0.10061261261261256
split,val,By_Bz_raw_concat,By+Bz,2,False,4.0,32.0,111.0,0.5405405405405406,0.45945945945945943,0.6736842105263158,95.0,0.12906865097850417,0.10751310883760527,0.05112474437627812,0.3627972325045551,0.7463747417083969,0.512,0.02854054054054056
split,val,By_only,By,1,False,4.0,32.0,111.0,0.5585585585585585,0.4414414414414415,0.6631578947368421,95.0,0.24194226803044633,0.32272279598182196,0.1901840490797546,0.7463768044445678,0.7463747417083969,0.512,0.046558558558558505
split,val,Bz_only,Bz,1,False,4.0,32.0,111.0,0.5135135135135135,0.4864864864864865,0.6842105263157895,95.0,0.11616968677709144,0.022750214156762892,-0.022494887525562373,0.31775940353533555,0.7463747417083969,0.512,0.0015135135135134758
split,test,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,4.0,32.0,111.0,0.45045045045045046,0.5495495495495495,0.6947368421052632,95.0,0.003402567712436049,0.09705534910425458,0.06748466257668712,0.3594895332095075,0.569661110594988,0.503,-0.052549549549549546
split,test,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,4.0,32.0,111.0,0.45045045045045046,0.5495495495495495,0.7368421052631579,95.0,0.024240788993173692,0.10072473848437764,0.04703476482617587,0.5388895774729549,0.569661110594988,0.503,-0.052549549549549546
split,test,Bx_By_raw_concat,Bx+By,2,False,4.0,32.0,111.0,0.45045045045045046,0.5495495495495495,0.6,95.0,-0.007813143165104466,0.049169817693648823,0.022494887525562373,0.3880740115506346,0.569661110594988,0.503,-0.052549549549549546
split,test,Bx_Bz_raw_concat,Bx+Bz,2,False,4.0,32.0,111.0,0.44144144144144143,0.5585585585585586,0.6947368421052632,95.0,0.02266923871609153,0.1697092588306909,0.1165644171779141,0.34978868330915247,0.569661110594988,0.503,-0.061558558558558574
split,test,Bx_only,Bx,1,False,4.0,32.0,111.0,0.45045045045045046,0.5495495495495495,0.5578947368421052,95.0,0.06112892670162216,0.12732781149026973,0.07975460122699386,0.402944808824231,0.569661110594988,0.503,-0.052549549549549546
split,test,By_Bz_raw_concat,By+Bz,2,False,4.0,32.0,111.0,0.42342342342342343,0.5765765765765766,0.7578947368421053,95.0,-0.001825867411974721,0.06219614999308564,0.018404907975460124,0.3680397912975127,0.569661110594988,0.503,-0.07957657657657657
split,test,By_only,By,1,False,4.0,32.0,111.0,0.4954954954954955,0.5045045045045045,0.7473684210526316,95.0,0.10033537162610781,0.19998172121670607,0.16155419222903886,0.8438677939102237,0.569661110594988,0.503,-0.007504504504504517
split,test,Bz_only,Bz,1,False,4.0,32.0,111.0,0.45045045045045046,0.5495495495495495,0.7789473684210526,95.0,0.0029015702802108784,0.05705900486091337,0.026584867075664622,0.3352266643853354,0.569661110594988,0.503,-0.052549549549549546
source_defect_type,rectangular_notch,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,12.0,96.0,336.0,0.5238095238095238,0.47619047619047616,0.6493055555555556,288.0,-0.003280523356457917,-0.0009300940586823129,-0.0053404539385847796,0.3562429194290906,0.7913360386082839,,
source_defect_type,rectangular_notch,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,12.0,96.0,336.0,0.46726190476190477,0.5327380952380952,0.6180555555555556,288.0,0.02186132231008882,0.008601672790879492,0.0035603026257231864,0.5407752340689703,0.7913360386082839,,
source_defect_type,rectangular_notch,Bx_By_raw_concat,Bx+By,2,False,12.0,96.0,336.0,0.5565476190476191,0.44345238095238093,0.6666666666666666,288.0,0.03659467738696218,0.0644344723427287,0.047619047619047616,0.39933628048004466,0.7913360386082839,,
source_defect_type,rectangular_notch,Bx_Bz_raw_concat,Bx+Bz,2,False,12.0,96.0,336.0,0.5446428571428571,0.4553571428571429,0.6597222222222222,288.0,-0.02005811029758757,-0.0207268405923876,-0.020026702269692925,0.34008004521948143,0.7913360386082839,,
source_defect_type,rectangular_notch,Bx_only,Bx,1,False,12.0,96.0,336.0,0.5386904761904762,0.46130952380952384,0.6597222222222222,288.0,0.02194538620496176,0.04594121529272417,0.028037383177570093,0.4070701359707054,0.7913360386082839,,
source_defect_type,rectangular_notch,By_Bz_raw_concat,By+Bz,2,False,12.0,96.0,336.0,0.46726190476190477,0.5327380952380952,0.6180555555555556,288.0,-0.010584060076758772,-0.07406128530047702,-0.0520694259012016,0.3658365909729997,0.7913360386082839,,
source_defect_type,rectangular_notch,By_only,By,1,False,12.0,96.0,336.0,0.4851190476190476,0.5148809523809523,0.6284722222222222,288.0,-0.04444591834362319,-0.11350542019788021,-0.07832665776591011,0.8928626004290918,0.7913360386082839,,
source_defect_type,rectangular_notch,Bz_only,Bz,1,False,12.0,96.0,336.0,0.4642857142857143,0.5357142857142857,0.6145833333333334,288.0,-0.029175415564127397,-0.08860333985301361,-0.07031597685803294,0.321953915853114,0.7913360386082839,,
source_defect_type,rotated_rect,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,12.0,96.0,334.0,0.47904191616766467,0.5209580838323353,0.6678321678321678,286.0,0.04933891534692579,0.26064121515352723,0.1709706144256456,0.3631553662380325,0.6951595738304787,,
source_defect_type,rotated_rect,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,12.0,96.0,334.0,0.5149700598802395,0.4850299401197605,0.6468531468531469,286.0,-0.03924839547273772,0.0695206179357693,0.039180765805877114,0.5673226699308481,0.6951595738304787,,
source_defect_type,rotated_rect,Bx_By_raw_concat,Bx+By,2,False,12.0,96.0,334.0,0.5329341317365269,0.46706586826347307,0.6153846153846154,286.0,0.05107973240976364,0.23959493433312837,0.163846838824577,0.402547525733,0.6951595738304787,,
source_defect_type,rotated_rect,Bx_Bz_raw_concat,Bx+Bz,2,False,12.0,96.0,334.0,0.47305389221556887,0.5269461077844311,0.6468531468531469,286.0,0.0596507859720426,0.22087053352581862,0.15182546749777381,0.34762884046017756,0.6951595738304787,,
source_defect_type,rotated_rect,Bx_only,Bx,1,False,12.0,96.0,334.0,0.5359281437125748,0.4640718562874252,0.6258741258741258,286.0,0.09073873561037753,0.22594200829125025,0.15716829919857525,0.4108823706211215,0.6951595738304787,,
source_defect_type,rotated_rect,By_Bz_raw_concat,By+Bz,2,False,12.0,96.0,334.0,0.437125748502994,0.562874251497006,0.6748251748251748,286.0,0.04498568953644938,0.2637098986795984,0.170080142475512,0.37340078251540215,0.6951595738304787,,
source_defect_type,rotated_rect,By_only,By,1,False,12.0,96.0,334.0,0.49101796407185627,0.5089820359281437,0.6538461538461539,286.0,0.00232891540692163,0.1338950807548088,0.08593054318788958,0.7725175413853395,0.6951595738304787,,
source_defect_type,rotated_rect,Bz_only,Bz,1,False,12.0,96.0,334.0,0.4431137724550898,0.5568862275449102,0.6888111888111889,286.0,0.04113430443425356,0.187094647370501,0.12288512911843277,0.3313649883424012,0.6951595738304787,,
