scope,group,residual_method,axis_combo,axis_count,normalized,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error,old_20_61_singleheight_oracle_ordering,ordering_delta_vs_20_61
all,all,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,24.0,192.0,670.0,0.5014925373134328,0.4985074626865672,0.6585365853658537,574.0,0.01432042171817287,0.10706064278793653,0.07309779599069664,0.3596991428335616,0.7432478062193812,,
all,all,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,24.0,192.0,670.0,0.491044776119403,0.508955223880597,0.632404181184669,574.0,-0.014493537674220573,0.015906312657508463,0.00897109314431277,0.5540489519999092,0.7432478062193812,,
all,all,Bx_By_raw_concat,Bx+By,2,False,24.0,192.0,670.0,0.5447761194029851,0.4552238805970149,0.6411149825783972,574.0,0.03981622232885771,0.13810362149957334,0.09801749916934323,0.4009419031065223,0.7432478062193812,,
all,all,Bx_Bz_raw_concat,Bx+Bz,2,False,24.0,192.0,670.0,0.508955223880597,0.491044776119403,0.6533101045296167,574.0,0.00872126168713487,0.07725147461799176,0.05105770295713811,0.3438544428398295,0.7432478062193812,,
all,all,Bx_only,Bx,1,False,24.0,192.0,670.0,0.5373134328358209,0.4626865671641791,0.6428571428571429,574.0,0.047790519442527594,0.12330638062885407,0.08494849928009747,0.4089762532959134,0.7432478062193812,,
all,all,By_Bz_raw_concat,By+Bz,2,False,24.0,192.0,670.0,0.45223880597014926,0.5477611940298508,0.6463414634146342,574.0,0.008271464710488176,0.07367987312556962,0.05006091482999225,0.3696186867442009,0.7432478062193812,,
all,all,By_only,By,1,False,24.0,192.0,670.0,0.4880597014925373,0.5119402985074627,0.6411149825783972,574.0,0.0011175183007709705,0.03260433455531863,0.015505593088935652,0.8326900709072156,0.7432478062193812,,
all,all,Bz_only,Bz,1,False,24.0,192.0,670.0,0.4537313432835821,0.5462686567164179,0.6515679442508711,574.0,-0.005041564030406909,0.02105114987503174,0.010632406689555875,0.32665945209775754,0.7432478062193812,,
split,train,Bx_By_Bz_raw_concat,Bx+By+Bz,3,False,16.0,128.0,448.0,0.49107142857142855,0.5089285714285714,0.6354166666666666,384.0,0.015352327132045677,0.16985174004262085,0.11538461538461539,0.3604165354478378,0.7858627462532257,0.4471,0.04397142857142855
split,train,Bx_By_Bz_trainstd_normalized,Bx+By+Bz,3,True,16.0,128.0,448.0,0.484375,0.515625,0.5911458333333334,384.0,-0.046375879216788686,-0.015322341908542501,-0.01073926073926074,0.5526742827094323,0.7858627462532257,0.4471,0.037275
split,train,Bx_By_raw_concat,Bx+By,2,False,16.0,128.0,448.0,0.5491071428571429,0.4508928571428571,0.6458333333333334,384.0,0.05495199691094456,0.2239868628006153,0.16408591408591408,0.40366265068579993,0.7858627462532257,0.4471,0.10200714285714291
split,train,Bx_Bz_raw_concat,Bx+Bz,2,False,16.0,128.0,448.0,0.5,0.5,0.6328125,384.0,0.018209940936096788,0.15691796507832592,0.10164835164835165,0.343504833991831,0.7858627462532257,0.4471,0.0529
split,train,Bx_only,Bx,1,False,16.0,128.0,448.0,0.5401785714285714,0.4598214285714286,0.65625,384.0,0.08668595289469672,0.23827816861811565,0.16783216783216784,0.4110407767330486,0.7858627462532257,0.4471,0.0930785714285714
split,train,By_Bz_raw_concat,By+Bz,2,False,16.0,128.0,448.0,0.4375,0.5625,0.6119791666666666,384.0,-0.01853425122306874,0.07660598156442894,0.051698301698301696,0.37171877416578436,0.7858627462532257,0.4471,-0.009599999999999997
split,train,By_only,By,1,False,16.0,128.0,448.0,0.46875,0.53125,0.609375,384.0,-0.06364166324257682,-0.07700121206599508,-0.06268731268731269,0.8514739567721257,0.7858627462532257,0.4471,0.021650000000000003
