epoch,train_loss,train_bce,train_dice_loss,val_loss,val_bce,val_dice_loss,val_iou_at_0_5,val_dice_at_0_5,val_area_error_at_0_5,val_score_at_0_5
1,1.3221380710601807,0.4527106210589409,0.8694274425506592,0.7938011288642883,0.11810916662216187,0.6756919622421265,0.0,0.0,1.0,-1.0
2,0.7134619504213333,0.12454184330999851,0.58892010897398,0.6284669041633606,0.09601537138223648,0.5324515104293823,0.0011318458810360066,0.0022580235659590284,0.9969328359525516,-0.9935429665055565
3,0.6349878758192062,0.08873310964554548,0.5462547764182091,0.6127751469612122,0.08285834640264511,0.5299168229103088,0.00022241992882562276,0.0004440497335701599,0.9976024788096944,-0.9969360091472986
4,0.6064834296703339,0.08704055286943913,0.5194428861141205,0.6028022170066833,0.08728040754795074,0.5155218243598938,0.0361458927421727,0.06934624800282257,0.9390278065692942,-0.8335356658242989
5,0.5947730168700218,0.08399670012295246,0.5107763111591339,0.5745517015457153,0.08235456049442291,0.4921971559524536,0.47677664598649383,0.6381064282898053,0.37569158177308576,0.7391914925032135
6,0.5124389939010143,0.09458108339458704,0.41785791516304016,0.4582544267177582,0.1519450843334198,0.3063093423843384,0.5732879757931877,0.7150760467264541,0.5032457863216249,0.7851182361980169
7,0.4369760937988758,0.11752588674426079,0.319450207054615,0.4220430254936218,0.08320243656635284,0.3388406038284302,0.5708090566912465,0.7120509183254171,0.412007740375555,0.8708522346411086
8,0.4058798849582672,0.09664911217987537,0.309230774641037,0.40978097915649414,0.11060023307800293,0.2991807460784912,0.5795338095783649,0.7213550612579258,0.34545422761910505,0.9554346432171856
9,0.39241092279553413,0.08692868892103434,0.3054822310805321,0.40255552530288696,0.09853225946426392,0.30402326583862305,0.5706963829829077,0.7150438273357937,0.33379462366165935,0.9519455866570421
10,0.3937925063073635,0.0928583163768053,0.30093419551849365,0.4031933546066284,0.07970674335956573,0.3234866261482239,0.571960802215427,0.7161631500024357,0.3351840151139972,0.9529399371038655
11,0.3907805569469929,0.09078437462449074,0.29999618232250214,0.3954865336418152,0.09287066757678986,0.3026158809661865,0.5770148990742447,0.7200705332040627,0.33202757312412556,0.9650578591541819
12,0.3861246258020401,0.08547898940742016,0.3006456345319748,0.40324026346206665,0.11127758026123047,0.2919626832008362,0.5781167855488294,0.720915558451618,0.3319713216222553,0.9670610223781921
13,0.38819725438952446,0.08829367626458406,0.29990357905626297,0.394847571849823,0.08900098502635956,0.30584657192230225,0.5745324106795622,0.7178319242666069,0.3334804358046871,0.958883899141482
14,0.38870508410036564,0.09577023098245263,0.292934849858284,0.4023095965385437,0.07459820806980133,0.32771140336990356,0.5772108728921935,0.7201820175967795,0.33232278747254773,0.9650701030164254
15,0.39057247526943684,0.09124067518860102,0.29933180660009384,0.39599549770355225,0.10472939908504486,0.2912660837173462,0.5784046071205539,0.721392347720407,0.3350905581160455,0.9647063967249152
16,0.38467491790652275,0.08452046709135175,0.3001544550061226,0.3917549252510071,0.0911824107170105,0.3005725145339966,0.5788107336947856,0.7211454012897167,0.33096934191120164,0.9689867930733007
17,0.3802112750709057,0.08462299313396215,0.29558828473091125,0.392578125,0.10096962749958038,0.2916085124015808,0.582750092004316,0.7245053199000533,0.3310425228515026,0.9762128890528667
18,0.3758084289729595,0.08504901267588139,0.290759414434433,0.3790418803691864,0.07718286663293839,0.3018590211868286,0.5848019193475857,0.7266713565395068,0.33102058984593186,0.9804526860411608
19,0.36536719650030136,0.08309111464768648,0.28227608650922775,0.3548316955566406,0.062112465500831604,0.2927192449569702,0.6341754596013933,0.7730480923515255,0.09685845007212246,1.3103651018807962
20,0.3116256147623062,0.07124371826648712,0.2403819039463997,0.28633609414100647,0.08065202832221985,0.20568406581878662,0.6717544293984059,0.8015749083218814,0.07985511625897765,1.3934742214613098
21,0.2705285921692848,0.06776248337700963,0.20276611298322678,0.27512091398239136,0.0723084807395935,0.20281243324279785,0.679589828230066,0.806281145398438,0.032269206270939814,1.453601767357564
22,0.2554920446127653,0.058320282492786646,0.19717176258563995,0.27640897035598755,0.06531388312578201,0.21109509468078613,0.6721834808083433,0.7998495677493053,0.039898591040118836,1.4321344575175299
23,0.25087535567581654,0.06794474367052317,0.1829306110739708,0.2696221172809601,0.05934562906622887,0.21027648448944092,0.6760545648551718,0.8040709679041669,0.061002677951907835,1.4191228548074308
24,0.24206088669598103,0.052349906880408525,0.18971098214387894,0.27626746892929077,0.08082287013530731,0.19544458389282227,0.6857083915296025,0.8110288113804781,0.05138558260469505,1.4453516203053858
25,0.23645969480276108,0.05908370018005371,0.17737599462270737,0.2723603844642639,0.06098538637161255,0.21137499809265137,0.6775214051072018,0.8040579604167056,0.05396342095844643,1.427615944565461
26,0.23416347429156303,0.0552160800434649,0.17894739657640457,0.2795484662055969,0.07162795960903168,0.20792049169540405,0.6736891079827816,0.8015531159611174,0.027620937557159934,1.4476212863867393
27,0.22664524614810944,0.050631030928343534,0.17601421475410461,0.27429914474487305,0.07467282563447952,0.19962632656097412,0.6802344889640147,0.8073579860918759,0.05093468486301614,1.4366577901928745
28,0.22355148009955883,0.054265848360955715,0.1692856326699257,0.27838361263275146,0.06791470944881439,0.21046888828277588,0.6738234351257395,0.8006741202509895,0.03375870321117333,1.4407388521655558
29,0.22087437100708485,0.05106618581339717,0.16980818659067154,0.315077543258667,0.08970169723033905,0.22537583112716675,0.6484405273972329,0.782848271305404,0.14258126308516617,1.2887075356174706
30,0.22366571985185146,0.05539731401950121,0.16826840490102768,0.2830548584461212,0.06712475419044495,0.21593010425567627,0.6631556719107787,0.7926612524458123,0.011883233386825356,1.4439336909697658
31,0.21840866468846798,0.04826368251815438,0.17014498263597488,0.2744779586791992,0.0750432163476944,0.19943475723266602,0.6819886082579819,0.8078175989207736,0.0564538029332132,1.4333524042455426
