sample_index,sample_id,split,shape_type,topology_type,representation_target,target_role,diagnosis,rbc_representable,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,refinement_applied,lambda_param,selected_surrogate,optimizer_success,optimizer_iterations,optimizer_message,feature_residual_mse_before,feature_residual_mse_after,feature_residual_delta,feature_residual_improved,baseline_profile_depth_rmse_m,refined_profile_depth_rmse_m,profile_rmse_delta_m,profile_rmse_improved,baseline_Er_like_error,refined_Er_like_error,Er_like_delta,Er_like_improved,baseline_projected_mask_IoU,refined_projected_mask_IoU,IoU_delta,IoU_improved,baseline_projected_mask_Dice,refined_projected_mask_Dice,Dice_delta,Dice_improved,baseline_area_error,refined_area_error,area_error_delta,area_error_improved,baseline_pred_component_count,refined_component_count,params_in_bounds,profile_nonnegative,test_time_label_used_for_refinement,labels_used_for_metric_only,initial_L_m,initial_W_m,initial_D_m,initial_wLD,initial_wWD,initial_wLW,refined_L_m,refined_W_m,refined_D_m,refined_wLD,refined_wWD,refined_wLW
0,surf_shape_001_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,54,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31.43869020313801,0.3601646540341835,-31.078525549103826,True,0.0004487911352184057,4.256900424243708e-05,-0.0004062221309759686,True,5.719557764599225,0.5425149020102636,-5.177042862588961,True,0.23324022346368714,0.5672514619883041,0.334011238524617,True,0.3782559456398641,0.7238805970149254,0.34562465137506126,True,3.287425149700599,0.39520958083832336,-2.8922155688622757,True,1,1,True,True,False,True,0.02003076672554016,0.011100728996098042,0.0028384211473166943,0.8800782561302185,0.9016837477684021,0.8695011734962463,0.00916958798783531,0.002640068249578199,0.000615429305960933,3.9271969382762806,3.926727109378135,3.9263633650224494
1,surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,False,80,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,145.74908716610892,0.6628585677310649,-145.08622859837786,True,0.00081577582576044,0.0002585053620989485,-0.0005572704636614915,True,8.876708726382319,2.812876688790494,-6.063832037591824,True,0.2048823016564952,0.3790322580645161,0.17414995640802092,True,0.34008683068017365,0.5497076023391813,0.2096207716590076,True,3.880851063829787,1.6382978723404256,-2.2425531914893613,True,1,1,True,True,False,True,0.025363901630043983,0.014726756140589714,0.0038795159198343754,0.8289564251899719,0.8894338011741638,0.8293524980545044,0.02013580398017976,0.009852729852957206,0.002069139185517002,0.7777454396572326,0.7769281627325996,0.7763547565309985
2,surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,False,80,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,15.419944187311271,0.3606611085546734,-15.059283078756598,True,0.0008949928835173742,9.927725271319072e-05,-0.0007957156308041835,True,5.4190273311950445,0.6011066185291005,-4.817920712665944,True,0.30341113105924594,0.8517520215633423,0.5483408905040963,True,0.465564738292011,0.9199417758369723,0.45437703754496134,True,2.2958579881656807,0.03254437869822485,-2.2633136094674557,True,1,1,True,True,False,True,0.025665808469057083,0.01351801585406065,0.004581740126013756,0.8935307860374451,0.9164761900901794,0.913352370262146,0.011911320574673215,0.008770360023713853,0.001970501110688757,1.0613007198188065,1.0611594964618987,1.0635971255769923
3,surf_shape_004_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,already_pass_reference,rbc_representable_and_model_pass,True,False,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,58,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.25989481303465,0.3284265195913824,-52.93146829344327,True,0.00012687176386884212,0.0001331869412585344,6.315177389692273e-06,False,0.6854068137997091,0.7195236691287139,0.03411685532900477,False,0.7517564402810304,0.397196261682243,-0.3545601785987874,False,0.8582887700534759,0.568561872909699,-0.289726897143777,False,0.24824355971896955,0.5995316159250585,0.351288056206089,False,1,1,True,True,False,True,0.012635798193514347,0.007764200679957867,0.0024519972503185272,0.9325816631317139,0.9734610915184021,0.9484753608703613,0.01610971577742191,0.006715928217826891,0.001924173444655914,0.09989391800240124,0.09879725237443382,0.09892517548171234
4,surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,30,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.73684122136901,0.8891542442495372,-60.84768697711947,True,0.0008838572882831529,0.0001011628159036804,-0.0007826944723794726,True,5.139231415915717,0.5882161390834594,-4.551015276832257,True,0.15089285714285713,0.536723163841808,0.3858303066989508,True,0.2622187742435997,0.6985294117647058,0.43631063752110616,True,5.627218934911243,0.3905325443786982,-5.236686390532545,True,1,1,True,True,False,True,0.02583256922662258,0.01364956982433796,0.004372985567897558,0.8691096305847168,0.9128759503364563,0.8963649868965149,0.01061980839292626,0.0029131876044516483,0.0014754507242397549,0.9017252494792264,0.9017252417222501,0.9017252399873236
5,surf_shape_006_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,66,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,223.1376951826996,0.31374795508032266,-222.82394722761927,True,0.0005424773785765408,0.00016232059398085894,-0.0003801567845956818,True,2.700249139959178,0.8079711000016097,-1.8922780399575683,True,0.21171171171171171,0.6492307692307693,0.43751905751905756,True,0.34944237918215615,0.7873134328358209,0.43787105365366474,True,3.723404255319149,0.28085106382978725,-3.4425531914893615,True,1,1,True,True,False,True,0.024530380964279175,0.01477590948343277,0.0029798715841025114,0.7781636714935303,0.8623656034469604,0.8039083480834961,0.008736181825241478,0.009743365353933399,0.0025382134174435408,1.3663233016417133,1.3675546401526877,1.3672124305311948
6,surf_shape_007_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,31,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72.90440338679426,0.4604646880461481,-72.44393869874811,True,0.0003269008598508472,0.00015146742779242295,-0.00017543343205842423,True,0.9881107331835054,0.45783480409833754,-0.5302759290851679,True,0.41421568627450983,0.657608695652174,0.24339300937766412,True,0.58578856152513,0.7934426229508197,0.20765406142568965,True,1.4142011834319526,0.1952662721893491,-1.2189349112426036,True,1,1,True,True,False,True,0.021327976137399673,0.011966980062425137,0.002921133767813444,0.8525129556655884,0.8961693644523621,0.8556321859359741,0.009016066523961433,0.009413607616887308,0.00352236265569534,0.8925520706914075,0.8925520713995723,0.8925520658497824
7,surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,already_pass_reference,rbc_representable_and_model_pass,True,False,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.96168251495256,1.353823996406668,-35.60785851854589,True,0.00021959380562752072,0.0003439936494989449,0.0001243998438714242,False,0.5928653324940757,0.9287234164153644,0.3358580839212887,False,0.5760869565217391,0.5306633291614519,-0.045423627360287266,False,0.7310344827586207,0.6933769419460344,-0.03765754081258632,False,0.7358490566037735,0.8844339622641509,0.1485849056603774,False,1,1,True,True,False,True,0.020321372896432877,0.011317025870084763,0.0028169003780931234,0.8740847706794739,0.8977691531181335,0.8674253225326538,0.02071825201905474,0.01194556770920795,0.0034257026943475336,0.8954269776155968,0.8954269781730364,0.8954269817077608
8,surf_shape_009_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,False,80,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,147.1688468952141,0.15940007863734065,-147.00944681657677,True,0.0007036081928221775,4.510333649039967e-05,-0.0006585048563317778,True,9.040148932611178,0.5794999026310904,-8.460649029980088,True,0.16617790811339198,0.7204301075268817,0.5542521994134898,True,0.28499580888516346,0.8375,0.5525041911148365,True,5.017647058823529,0.11764705882352941,-4.9,True,1,1,True,True,False,True,0.023636028170585632,0.01361450832337141,0.003573114052414894,0.8366485834121704,0.8937183618545532,0.8303537368774414,0.011384680905004838,0.003928632805376358,0.00045413703773249786,1.0325401642180048,1.032691930361452,1.0333040024042608
9,surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,refinement_target,rbc_representable_but_model_fail,True,True,True,False,True,1.0,ridge_param_only_linear_alpha_10,True,47,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,74.62929171768151,0.48999522310017773,-74.13929649458133,True,0.0008401006827869696,0.00010576443790138495,-0.0007343362448855847,True,9.129033419666685,1.1492992542405072,-7.979734165426178,True,0.1988255033557047,0.36349693251533743,0.16467142915963273,True,0.33170048985304407,0.5331833520809899,0.2014828622279458,True,4.029535864978903,1.751054852320675,-2.2784810126582276,True,1,1,True,True,False,True,0.02557462453842163,0.01455659605562687,0.003978236578404903,0.8414503335952759,0.8888342380523682,0.8586127161979675,0.014786841478444562,0.013711753641541058,0.0009656173758229902,0.8854285092605657,0.8854284931283629,0.8854285184374115
