model,split,group,count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mean_pred_area,mean_true_area
current_baseline_50epoch,train,overall,1000,20900.748076049804,45.4231487994194,0.308863483377252,0.4354497314724846,0.39734937631175976,1.2155703865037568,87,818,179,7.431439890965921,11.06588974063745
current_baseline_50epoch,train,small,334,13193.675166878158,31.006469468156734,0.1961441630585156,0.2866099259443103,0.51890209735998,1.1580202089375982,81,239,95,3.6835013788571076,5.362010491824856
current_baseline_50epoch,train,medium,333,19119.788719383447,41.89639265043242,0.34364966730738655,0.4814693349038846,0.30801471488691406,1.1501935744237881,5,260,70,7.273432150184261,9.979979709993106
current_baseline_50epoch,train,large,333,30411.924704978417,63.40987761099417,0.3871351162232677,0.5387168999522262,0.36476629350205425,1.324015534956973,1,319,14,11.348641214463322,17.87280778660734
current_baseline_50epoch,val,overall,200,22193.208120117186,47.0484418964386,0.30509421157482575,0.43057420849529754,0.3944891256762311,1.231304345724497,19,162,37,7.894483000097252,11.564352419350454
current_baseline_50epoch,val,small,68,13411.417853860294,30.547634349149817,0.18741871212428177,0.26971863877882557,0.5283244735118204,1.1651551017165185,18,50,17,3.7117455225849305,5.494279118951509
current_baseline_50epoch,val,medium,53,18609.906968602594,40.811974471470094,0.3520132751480497,0.4949213519838448,0.31946090711617486,1.0697505860231245,1,41,12,7.3293955128121215,9.890230565955767
current_baseline_50epoch,val,large,79,32156.20431170886,65.4356278045268,0.3749071684514856,0.5258625646450077,0.32962446657322986,1.3795101394570326,0,71,8,11.87392332031181,17.912370680832062
current_baseline_50epoch,test,overall,200,20737.717431030273,44.46552618980408,0.2952720465605976,0.4218854070236965,0.3945174424962078,1.325941887571589,18,158,42,7.16553424864642,10.504201759730506
current_baseline_50epoch,test,small,67,13855.741179964436,32.28812639037175,0.20224132005907075,0.29297590959780095,0.45479017756706586,1.1933176609186025,15,42,25,4.331705038802674,5.431506743129562
current_baseline_50epoch,test,medium,74,19387.375329919763,42.33076440965807,0.3228442309379675,0.46178776034771696,0.34899902390550785,1.2866887632809894,3,60,14,7.043828093587369,9.820615014267123
current_baseline_50epoch,test,large,59,30246.492419226695,60.97159666934256,0.3663350470974946,0.5182271389145017,0.38316303107187416,1.4900678470730782,0,56,3,10.536259884814225,17.12209981526531
longer_training_200epoch,train,overall,1000,20492.419031372072,49.823662786483766,0.27023154085029916,0.3854017708260117,0.5037947436385435,1.209792056977573,152,960,40,6.044031290727004,11.06588974063745
longer_training_200epoch,train,small,334,12617.316511873714,36.04716705847643,0.14249168515433858,0.21123834193597613,0.633481420739796,1.1054073638386197,127,316,18,2.251097008169887,5.362010491824856
longer_training_200epoch,train,medium,333,18975.275469805743,47.13042038697022,0.2979659074976667,0.42414807146327854,0.4519972914793017,1.1449616190443919,24,318,15,5.551470318833426,9.979979709993106
longer_training_200epoch,train,large,333,29908.314068951764,66.33477177204671,0.3706206330691505,0.5213419123787506,0.4255160692157484,1.3352144569809359,1,326,7,10.340916738218414,17.87280778660734
longer_training_200epoch,val,overall,200,22284.090462646484,51.975157985687254,0.26394149419318913,0.3814636550796979,0.4837518450217726,1.323240884808366,33,186,13,6.633936151442564,11.564352419350454
longer_training_200epoch,val,small,68,13162.090314079733,35.8710620543536,0.14907936122216536,0.21845612505282078,0.621678276587192,1.1305052147079737,29,64,4,2.5457087843587027,5.494279118951509
longer_training_200epoch,val,medium,53,18884.049767836084,46.46327036731648,0.2828672224359421,0.4125088794644331,0.4620212408276974,1.1844520054909649,4,49,4,5.403813046059207,9.890230565955767
longer_training_200epoch,val,large,79,32416.978651602058,69.53476010093206,0.3501131580560209,0.500946125325732,0.37960911939946224,1.5044731154472013,0,73,5,10.978189133050419,17.912370680832062
longer_training_200epoch,test,overall,200,20785.76202331543,49.712599534988406,0.26164511672551743,0.3797959144094724,0.4735635495326608,1.3455473803573073,23,183,17,6.106221111093105,10.504201759730506
longer_training_200epoch,test,small,67,13347.186368572178,37.475832213216755,0.15904213952459686,0.23583692427313968,0.5427222338305494,1.2497249136165696,18,60,7,2.807346693913146,5.431506743129562
longer_training_200epoch,test,medium,74,19611.265057538007,47.74936521375501,0.2737645794948362,0.3999533046048796,0.4736457734811234,1.342231856038173,5,68,6,5.396769955665275,9.820615014267123
longer_training_200epoch,test,large,59,30706.055995100636,66.0709512354964,0.36295967990402744,0.5179926172005599,0.39492428817427494,1.4290062286338563,0,55,4,10.742220627240842,17.12209981526531
