observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
dual_xy_5line,richer_obs_base_009,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,small,compact,compact,0.5650522708892822,13.82967758178711,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_010,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_x,0.44101279973983765,2.8999998569488525,2.1999998092651367,True,False,True,False,True
dual_xy_5line,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_xy_5line,richer_obs_base_012,richer_obs_base_011,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_xy_5line,richer_obs_base_013,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.6482198238372803,6.148983955383301,0.9999999403953552,False,False,True,True,False
dual_xy_5line,richer_obs_base_014,richer_obs_base_004,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,large,compact,compact,0.671811580657959,1.8027758598327637,0.0,False,True,True,True,False
dual_xy_5line,richer_obs_base_015,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,small,medium,elongated_y,compact,0.53107088804245,6.708949089050293,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_016,richer_obs_base_023,internal_ellipsoid,internal_cuboid,deep_plus,medium,large,small,elongated_y,elongated_y,0.5340549945831299,3.1240999698638916,2.1999998092651367,False,False,True,True,False
dual_xy_5line,richer_obs_base_017,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,large,medium,compact,compact,1.0346314907073975,12.540334701538086,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_018,richer_obs_base_002,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,large,compact,elongated_y,0.42900529503822327,1.8027758598327637,0.0,False,True,True,True,False
dual_xy_5line,richer_obs_base_019,richer_obs_base_018,internal_cuboid,internal_cuboid,deep_plus,deep_plus,medium,large,elongated_y,compact,0.5095216035842896,8.062877655029297,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_020,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,medium,medium,elongated_y,elongated_x,0.5851167440414429,5.0,0.0,True,True,True,False,True
dual_xy_5line,richer_obs_base_021,richer_obs_base_011,internal_sphere,internal_sphere,deep,shallow,medium,large,compact,compact,0.4745238125324249,2.299999952316284,2.3999998569488525,True,False,True,False,False
dual_xy_5line,richer_obs_base_022,richer_obs_base_023,internal_cuboid,internal_cuboid,shallow,medium,large,small,elongated_y,elongated_y,0.6339662671089172,12.206555366516113,1.2000000476837158,True,False,True,False,False
dual_xy_5line,richer_obs_base_023,richer_obs_base_030,internal_cuboid,internal_cuboid,medium,deep,small,medium,elongated_y,elongated_y,0.4908177852630615,1.3000000715255737,1.1999998092651367,True,False,True,False,False
dual_xy_5line,richer_obs_base_024,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,large,small,compact,compact,0.5697516798973083,6.003332614898682,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_025,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,medium,large,elongated_x,elongated_y,0.44101279973983765,2.8999998569488525,2.1999998092651367,True,False,True,False,True
dual_xy_5line,richer_obs_base_026,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,elongated_y,elongated_x,0.47188371419906616,1.9999998807907104,0.0,True,True,False,False,True
dual_xy_5line,richer_obs_base_027,richer_obs_base_030,internal_cuboid,internal_cuboid,deep,deep,medium,medium,compact,elongated_y,0.7017140984535217,6.0,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_028,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,medium,medium,elongated_x,elongated_y,0.5851167440414429,5.0,0.0,True,True,True,False,True
dual_xy_5line,richer_obs_base_029,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,small,medium,compact,compact,0.5650522708892822,13.82967758178711,0.0,True,True,True,False,False
dual_xy_5line,richer_obs_base_030,richer_obs_base_023,internal_cuboid,internal_cuboid,deep,medium,medium,small,elongated_y,elongated_y,0.4908177852630615,1.3000000715255737,1.1999998092651367,True,False,True,False,False
single_x_9line,richer_obs_base_001,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.4038418233394623,5.0059967041015625,0.9999999403953552,False,False,True,True,False
