source,candidate,input_mode,group_field,group_value,variant_name,sample_count,profile_depth_rmse_m,profile_depth_rmse_degradation_pct,projected_mask_dice,status_band,notes
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,all,all,liftoff_z_0p006,12,0.0006612374387865808,-3.5120865475482597,0.8060771790905451,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,LD_dominant,liftoff_z_0p006,3,0.0005674866697518155,11.310808061104213,0.7003995841318753,fail,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,WD_dominant,liftoff_z_0p006,2,0.0005452944787975866,2.1055664895754225,0.7839333086440281,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,boxy,liftoff_z_0p006,3,0.0008038942808828627,-23.130552355660758,0.8362930388542003,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,round,liftoff_z_0p006,2,0.0006681197046418674,4.0889707792046295,0.8734923431359263,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,sharp,liftoff_z_0p006,2,0.0006969390233280137,-9.537440112234798,0.8739984882842026,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,depth_bin,deep,liftoff_z_0p006,6,0.0011875081496934097,23.251797522271076,0.7747779638924644,fail,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,depth_bin,shallow,liftoff_z_0p006,6,0.00013496672787975209,-30.275970617367594,0.8373763942886256,green,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,all,all,liftoff_z_0p010,12,0.0007012462653316712,72.70541059924348,0.6865145915277523,fail,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
20.90_liftoff_sensor_offset_diagnostic,20.85_fixed_baseline_raw_or_calibrated,calibrated,curvature_template,LD_dominant,liftoff_z_0p010,3,0.0005050452552192534,177.20697410155788,0.754147492050718,fail,"Available group evidence is from 20.90 diagnostic, not C1/C2 20.92 training outputs."
