metric,reference_value,refined_value,delta,improved,notes
normalized_param_mae,0.6780143536818333,0.7533873075093979,0.07537295382756459,False,test split selected seed
dimension_mae_norm,0.4387845003213256,0.5443614702194165,0.1055769698980909,False,test split selected seed
curvature_mae,0.20107580616306037,0.21158406477517042,0.01050825861211005,False,test split selected seed
L_mae_mm,1.8918915996566796,2.660231047715896,0.7683394480592165,False,test split selected seed
W_mae_mm,2.1857599088778863,2.135249491303395,-0.050510417574491484,True,test split selected seed
D_mae_mm,0.8002313476246901,1.1115478296310475,0.3113164820063574,False,test split selected seed
wLD_abs_error,0.2094394748027508,0.2320939057912582,0.02265443098850739,False,test split selected seed
wWD_abs_error,0.20446911683449379,0.21763882270226112,0.013169705867767334,False,test split selected seed
wLW_abs_error,0.18931882809369993,0.18501947017816398,-0.004299357915535956,True,test split selected seed
projected_mask_iou,0.7506502455785019,0.7282398476842469,-0.02241039789425503,False,test split selected seed
projected_mask_dice,0.8477271366767738,0.8345969696140306,-0.01313016706274317,False,test split selected seed
profile_depth_rmse_m,0.0003877372636895579,0.0005550889249067181,0.00016735166121716017,False,test split selected seed
