sample_id,split,shape_type,topology_type,representation_target,diagnosis,target_role,suitable_for_six_param_refinement,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,exclude_reason,failure_reason,oracle_profile_depth_rmse_m,oracle_projected_mask_Dice,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_minus_oracle_rmse_m,true_component_count,pred_component_count,component_recall_proxy,merge_component_proxy
surf_shape_013_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.508970205099844e-05,0.9644970414201184,0.0005515640556339458,0.24981412639405204,0.0005164743535829474,1,1,1.0,False
surf_shape_014_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.997639712419584e-05,0.9725158562367865,0.0003687876642982705,0.47724974721941354,0.0003288112671740747,1,1,1.0,False
surf_shape_015_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,6.759837471551316e-05,0.9615384615384616,0.0002163964454773409,0.6773547094188377,0.00014879807076182775,1,1,1.0,False
surf_shape_016_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,7.532397375957961e-05,0.9649532710280374,0.0004720432842972136,0.5903698534542917,0.000396719310537634,1,1,1.0,False
surf_shape_017_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,1.5919697798844885e-05,0.9712643678160919,0.0009163728988650938,0.2719367588932806,0.000900453201066249,1,1,1.0,False
surf_shape_018_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,1.821262555071562e-05,0.9708333333333333,0.00047077587235342625,0.6484268125854993,0.00045256324680271066,1,1,1.0,False
surf_shape_019_rbc_like_smooth_pit,val,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.2563518820781624e-05,0.9622093023255814,0.0004642032406757924,0.43382827630729504,0.00043163972185501076,1,1,1.0,False
surf_shape_020_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.748375657878574e-05,0.9610091743119266,0.0004941356689270864,0.5023584905660378,0.00045665191234830067,1,1,1.0,False
surf_shape_021_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.516434208193402e-05,0.9767441860465116,0.0004040945395829901,0.37029063509149623,0.00036893019750105604,1,1,1.0,False
surf_shape_022_rbc_like_smooth_pit,test,rbc_like_smooth_pit,single_component,six_param_rbc,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,3.937662535724862e-05,0.9665271966527197,0.00034394969476863875,0.49627263045793396,0.00030457306941139014,1,1,1.0,False
