label,sample_index,polygon_mask_iou,polygon_dice,oracle_iou,target_area,pred_area,area_diff_pixels,area_ratio,false_positive_pixels,false_negative_pixels,pixel_disagreement,target_polygon_area
train30_train,0,0.7669491525423728,0.86810551558753,1.0,189,228,39,1.2063492063492063,47,8,55,189
train30_train,1,0.7598566308243727,0.8635437881873728,1.0,224,267,43,1.1919642857142858,55,12,67,224
train30_train,2,0.8241758241758241,0.9036144578313253,1.0,238,260,22,1.0924369747899159,35,13,48,238
train30_train,3,0.7703703703703704,0.8702928870292888,1.0,210,268,58,1.276190476190476,60,2,62,210
train30_train,4,0.7782258064516129,0.8752834467120182,1.0,217,224,7,1.032258064516129,31,24,55,217
train30_train,5,0.8188679245283019,0.9004149377593361,1.0,224,258,34,1.1517857142857142,41,7,48,224
train30_train,6,0.8072289156626506,0.8933333333333333,1.0,204,246,42,1.2058823529411764,45,3,48,204
train30_train,7,0.8947368421052632,0.9444444444444444,1.0,245,259,14,1.0571428571428572,21,7,28,245
train30_train,8,0.8059701492537313,0.8925619834710744,1.0,228,256,28,1.1228070175438596,40,12,52,228
train30_train,9,0.807843137254902,0.8937093275488069,1.0,224,237,13,1.0580357142857142,31,18,49,224
train30_train,10,0.8131868131868132,0.896969696969697,1.0,84,81,-3,0.9642857142857143,7,10,17,84
train30_train,11,0.7757847533632287,0.8737373737373737,1.0,184,212,28,1.1521739130434783,39,11,50,184
train30_train,12,0.6166666666666667,0.7628865979381443,1.0,88,106,18,1.2045454545454546,32,14,46,88
train30_train,13,0.7326732673267327,0.8457142857142858,1.0,160,190,30,1.1875,42,12,54,160
train30_train,14,0.7638888888888888,0.8661417322834646,1.0,120,134,14,1.1166666666666667,24,10,34,120
train30_train,15,0.6041666666666666,0.7532467532467533,1.0,76,78,2,1.0263157894736843,20,18,38,76
train30_train,16,0.7721518987341772,0.8714285714285714,1.0,63,77,14,1.2222222222222223,16,2,18,63
train30_train,17,0.7,0.8235294117647058,1.0,63,90,27,1.4285714285714286,27,0,27,63
train30_train,18,0.7884615384615384,0.8817204301075269,1.0,92,94,2,1.0217391304347827,12,10,22,92
train30_train,19,0.6636363636363637,0.7978142076502732,1.0,92,91,-1,0.9891304347826086,18,19,37,92
train30_train,20,0.7285714285714285,0.8429752066115702,1.0,57,64,7,1.1228070175438596,13,6,19,57
train30_train,21,0.5185185185185185,0.6829268292682927,1.0,63,60,-3,0.9523809523809523,18,21,39,63
train30_train,22,0.6296296296296297,0.7727272727272727,1.0,102,162,60,1.588235294117647,60,0,60,102
train30_train,23,0.6273291925465838,0.7709923664122137,1.0,105,157,52,1.4952380952380953,56,4,60,105
train30_train,24,0.6928104575163399,0.8185328185328186,1.0,120,139,19,1.1583333333333334,33,14,47,120
train30_train,25,0.672316384180791,0.8040540540540541,1.0,140,156,16,1.1142857142857143,37,21,58,140
train30_train,26,0.6486486486486487,0.7868852459016393,1.0,105,139,34,1.3238095238095238,43,9,52,105
train30_train,27,0.7619047619047619,0.8648648648648649,1.0,137,122,-15,0.8905109489051095,10,25,35,137
train30_train,28,0.72,0.8372093023255814,1.0,116,142,26,1.2241379310344827,34,8,42,116
train30_train,29,0.6787878787878788,0.8086642599277978,1.0,140,137,-3,0.9785714285714285,25,28,53,140
