label,sample_index,component_slot,max_abs_dx_cells,max_abs_dy_cells,mean_l2_cells,max_l2_cells,pred_area_grid,true_area_grid,area_grid_diff,area_grid_ratio,pred_width_cells,true_width_cells,pred_height_cells,true_height_cells,max_edge_diff_cells,mean_edge_diff_cells
train30_train,0,0,0.9010714680195928,1.718935202229251,0.9423201665760276,1.7307034490253237,223.1018721531869,194.09134017082164,29.01053198236525,1.1494684510748023,31.580642315498935,31.027696090438127,8.386641020215475,6.471344330056816,2.123281664608114,0.6756320501882456
train30_train,1,0,0.6679060901792219,1.9873131132410045,1.147270913713652,1.9911353615425738,266.4071110986955,217.32391650760735,49.08319459108816,1.2258527058588604,32.8268134620446,32.28222248823649,9.705234279786817,6.731999836343338,2.9781357521318643,0.915189688831576
train30_train,2,0,0.6642758761929544,1.5899376636974085,1.0532105144338404,1.61791479394804,264.281196094739,241.7823364505757,22.498859644163304,1.0930541907008267,33.8626036305935,33.60888711792724,9.46714149528313,7.194000075105347,2.280163381753269,0.9294487552713848
train30_train,3,0,0.9465012678094492,2.12921237209914,1.2004557617600438,2.143725743301318,263.42978169711716,219.04595560914854,44.38382608796863,1.2026233534627055,35.63303142338317,34.93555773836876,9.133789007748417,6.2700002458691655,2.8826968613085198,0.8541521265926109
train30_train,4,0,0.6062161982284754,1.4722818488578913,0.9878355839207329,1.4778439890833948,224.4849880254625,208.3928120797215,16.09217594574102,1.07722039827163,31.527711154581112,31.108285914267285,8.635659615747473,7.13412565103524,1.9190408420199354,0.8549306374513523
train30_train,5,0,0.5616337186463264,1.604628802520308,1.0422288799204498,1.6337927876278668,258.4547466121257,232.2383035650074,26.216443047118275,1.1128859565570322,32.44968357383497,32.28222113081562,9.404504788767653,7.194000147137328,2.2139425631736414,0.7833492464031349
train30_train,6,0,0.508739624367795,1.544634229104241,1.0952989802945365,1.566379919121941,244.82243062543125,210.72774138691017,34.094689238521084,1.1617949730497086,33.85753013433956,33.608888855425946,8.725597019693188,6.2700002458691655,2.4587002874766037,0.7820863159722617
train30_train,7,0,0.7045626797801855,1.6009623746369939,1.0457117431191074,1.6412322842242189,258.6257307938166,235.1861813111867,23.43954948262993,1.0996638040209339,35.16762733368488,34.93555658003628,8.932883166139197,6.732000412599192,2.207474235928852,0.8463940581047273
train30_train,8,0,0.9030823332015202,1.6608741112737717,0.9880566546304856,1.676955803273095,252.42560316161615,222.69428960280828,29.73131355880787,1.133507301026155,31.453990242346904,31.119093156287676,9.435857717376747,7.596055010326971,2.245420264390204,0.7131644482630801
train30_train,9,0,0.694158537462172,1.8704862064342425,1.224536827772447,1.922235382793788,242.50302828826085,202.4095405274854,40.093487760775446,1.1980810176056456,32.53335687872075,32.2822222891481,9.09370004036352,6.270000209853174,2.8243263270749033,0.8583711352130219
train30_train,10,0,0.6263946395795525,0.9274999352730796,0.7373867309498384,0.9330833043541766,80.49368395394593,84.05759899833511,-3.5639150443891765,0.9576015126906043,21.466217483570073,21.2496194455804,4.9201969691409975,4.029077218564092,1.2578823268125259,0.6624915442109401
train30_train,11,0,0.6786044489466648,1.3677018196291464,0.8425511294966381,1.3838936303719411,114.44777668910898,110.32560524444091,4.122171444668069,1.0373636875640506,23.702243965914334,23.917372948738702,5.760668440029065,4.728769347834018,1.1463169919770344,0.6089688635524414
train30_train,11,1,0.7676153498913798,1.6186528531579938,1.052263469985724,1.730467060880618,84.36420281142404,57.789606544115344,26.574596267308692,1.4598507907649834,16.103895659552418,15.92000111199918,5.909604071015956,3.630000157509934,2.279671322117488,1.0127536178884957
train30_train,12,0,0.720357701451131,1.5483937223082869,0.9436913541071734,1.5484783190437803,104.3266802025379,87.55999750432466,16.766682698213245,1.1914879302890014,22.632208855983812,22.14311570877654,5.862785587745581,4.060718275101147,1.941085602036853,0.663333926613262
train30_train,13,0,1.2652361408021928,1.2788218091630594,1.0230110382407382,1.306061827892554,92.45653682567507,98.6509307045067,-6.194393878831633,0.9372089666605786,22.26688237572571,23.0302454870901,5.365467563989778,4.394743253219723,1.1923414833603445,1.077550020298505
train30_train,13,1,1.084755199061823,2.2213504971586278,1.4229865250489906,2.282362658165553,88.19684976386785,57.7896044417418,30.407245322126045,1.5261715427171656,16.480559898105856,15.92000053283294,6.52796348479681,3.630000157509934,2.9185564664236177,1.2845155390228558
train30_train,14,0,0.7923693493223883,1.764680408967966,1.122931387560118,1.7701778146539147,135.00299037002236,110.32560566745354,24.677384702568816,1.2236777632288924,24.494705547460292,23.91737316592604,6.696323548175176,4.728769671977938,2.0986673676016157,0.622177386555193
train30_train,15,0,0.6657261084554965,1.729442651506163,1.1355444781248747,1.7751561985017814,73.78983578085482,78.33701300990664,-4.547177229051826,0.9419536556943168,19.756773579085774,19.526728748941316,5.461328878134389,4.215716405820283,1.8770219901201712,0.9164106165946339
train30_train,16,0,0.6998436332645335,1.269734632483049,0.870594054965352,1.2718337900820416,76.23951237739703,62.43027957133715,13.809232806059882,1.221194473272869,20.97181338195086,20.614826895534843,4.999250052480028,3.2365997028525038,1.9958358842605315,0.6844717727175643
train30_train,17,0,0.6636017266907184,1.8549197709821859,0.9951227780150731,1.8680417214541063,87.78407388567778,72.93748700701971,14.846586878658073,1.203552212831643,22.020562974264394,21.668890338091522,5.518170755762698,3.3660000982516234,2.1698902290833804,0.8252941530024333
train30_train,18,0,0.7730525625434346,1.2905918350203,0.7253547522432398,1.301046369498326,91.03610878666075,84.1743395579332,6.861769228727553,1.081518539554503,22.325899415483306,22.83732173787031,5.040413160780368,3.918141051228517,1.3441674272280673,0.7346393413566592
train30_train,19,0,0.5603531096960415,0.8959718248837849,0.672582668651466,0.9295762238700848,94.52074479967126,96.14086367904929,-1.6201188793780261,0.9831484884014925,24.109444165254626,23.9485754574709,5.013336050622225,4.258911104140676,1.1011131506042986,0.6263663538364754
train30_train,20,0,0.7710509640213318,1.2611751260871096,1.0063606809786916,1.2901505873160428,64.5570637144879,59.07380123317603,5.483262481311868,1.0928205459416491,19.80171687923484,19.4577778498518,4.792143697861068,3.035999366886898,1.7820707683637664,0.8930249766529319
train30_train,21,0,0.8533620699128971,1.5213765427591623,1.0153417225704449,1.5233753180360947,64.0759540325001,69.21619924171691,-5.1402452092168005,0.925736384465925,20.077043242611957,20.620616241260237,4.494887877141414,3.5665719635763455,1.4185251065513278,0.9226528572401214
train30_train,22,0,0.733498983414821,1.3926921272530324,0.879731035321117,1.3944107845302127,74.75615097645967,58.84032329591622,15.915827680543444,1.2704918462208394,19.18046147127736,18.62731195886665,4.842476189340863,3.3491504850723888,1.6907216001149745,0.5473722978057686
train30_train,22,1,0.6779441994341656,1.8093580297016005,1.1513867609556523,1.894165356106037,76.19663604304826,46.23167598484901,29.964960058199246,1.6481478211609575,16.032903778636538,15.919998795334223,5.418119485289666,2.9039999675375867,2.5153936772898806,1.0668984781235835
train30_train,23,0,0.8207492189928715,1.1623394673421488,0.8517759356882535,1.1629715718928355,72.56931016096485,58.84032226113592,13.72898789982893,1.2333261847020327,19.2985835840609,18.62731253803289,4.682622814907644,3.349150413040407,1.5400175908131257,0.5855307715495537
train30_train,23,1,0.5835725357809485,2.0513481045908804,1.2538104206134966,2.111029014523942,80.62373243156728,46.23167713159807,34.39205529996921,1.7439067201060545,16.005159399121837,15.919998795334223,5.771270683394276,2.904000039569569,2.8678282261812207,1.2799461106784769
train30_train,24,0,0.8559856929757228,1.4033259206263555,1.0334518673932984,1.4036856704002978,71.63152798415366,58.84032595858928,12.791202025564381,1.2173883610802325,19.378842124801324,18.591682231007496,4.895883582067867,3.228445196275306,1.772463762821745,0.6708113309702344
train30_train,24,1,0.7405358532190887,1.6698788293423987,1.0024880691626392,1.782786070766554,70.95768102459859,46.23168156569477,24.725999458903814,1.5348280361329365,15.857745374632898,15.920001111999177,5.306695229244126,2.9039998955056046,2.4039667650014724,0.962122389153521
train30_train,25,0,1.1334051631407103,1.3783337041549468,1.002917331295436,1.4217157963698739,75.84813325976037,58.84032485525472,17.007808404505653,1.2890502125259218,19.30105314890414,18.62731137970041,5.1691671591811,3.3491506291363535,2.0112331575484297,0.6704184999746307
train30_train,25,1,1.0558663870587883,1.3312363130503069,1.0531385506582178,1.5157893591232876,65.76765969445134,46.231674838099934,19.535984856351405,1.4225671019872208,16.251001567602195,15.91999879533422,4.885680395882884,2.9039998955056046,1.9853645372493576,0.9110535218794138
train30_train,25,2,1.1238697701812483,2.1511694489773987,1.7254083268741718,2.260610779088168,22.951272645227704,34.14840142595463,-11.197128780726928,0.6721038668528564,15.039110112412502,13.310681138612658,4.059224619922592,2.703366622916236,1.6780633262898057,1.403075465564833
train30_train,26,0,1.1326869970043079,1.3349070628525406,0.9727783822747911,1.7507017734714938,64.6279644840074,58.84031793698318,5.787646547024224,1.0983619183231246,19.38793271808921,18.62731137970041,4.644857311133833,3.3491506291363553,1.4900361953106152,0.7463985635476637
train30_train,26,1,1.093366242703786,1.378408617416217,1.3877040733298092,1.7593919566860254,80.64613224270389,46.2316815656946,34.414450677009285,1.7443910649909373,16.27808801426935,15.920001111999184,5.581130165557493,2.903999895505603,2.3939949215335243,1.3120556554079368
train30_train,27,0,0.5562277809711795,1.0225890665707529,0.6277925612842354,1.0237801717630592,132.58775206081296,126.77959516619805,5.8081568946149105,1.04581302603941,30.475579231431617,30.80416803881529,5.213483539525054,4.424856655482721,1.0930176455657135,0.6077619187724289
train30_train,28,0,0.5907553554774527,1.3594382746392104,0.95398830452972,1.3641551535365968,141.33058177546803,123.95577911490224,17.37480266056579,1.1401693634990588,28.002738623941063,27.494732224031885,6.1792468636314615,4.788426271334506,1.689445145356216,0.6323579790500724
train30_train,29,0,0.3540420052567573,1.7301851571765205,0.942139427071045,1.7424966169092753,139.4241381677761,140.2492454976146,-0.8251073298384881,0.9941168501341241,28.427564010267645,28.607139136010165,6.073570759748758,5.195190873634612,1.0528428676438728,0.5754775949391305
