step,total_loss,presence_loss,type_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice
1,3.1457607746124268,0.7317806482315063,0.6848949193954468,0.44266757369041443,nan,nan,nan,nan,1.85934317111969,1.2864176034927368,0.6498735547065735,0.9614808559417725,0.019732121378183365,0.03851914405822754
100,1.1489784717559814,0.001016901689581573,0.3101964592933655,0.31161078810691833,nan,nan,nan,nan,0.6228241920471191,0.5261542797088623,0.2504144608974457,0.40094703435897827,0.4381557106971741,0.5990529656410217
200,0.7046178579330444,7.865366933401674e-05,0.012720241211354733,0.25403979420661926,nan,nan,nan,nan,0.2668386995792389,0.43777918815612793,0.2081792652606964,0.3336895704269409,0.5054380297660828,0.6663104295730591
300,0.6454895734786987,2.894160570576787e-05,0.003469265764579177,0.21160893142223358,nan,nan,nan,nan,0.21510714292526245,0.4303824305534363,0.20614424347877502,0.32731032371520996,0.5115872025489807,0.67268967628479
400,0.597043514251709,2.0021472664666362e-05,0.0020429319702088833,0.17164167761802673,nan,nan,nan,nan,0.1737046241760254,0.4233388602733612,0.2041333168745041,0.32127219438552856,0.5187007784843445,0.6787278056144714
500,0.5599287748336792,1.3839172424923163e-05,0.001671242294833064,0.1421550214290619,nan,nan,nan,nan,0.14384010434150696,0.41608870029449463,0.20250752568244934,0.31483495235443115,0.5263641476631165,0.6851650476455688
600,0.5384656190872192,9.954625966202002e-06,0.0012630466371774673,0.12115379422903061,nan,nan,nan,nan,0.12242679297924042,0.41603884100914,0.20261447131633759,0.3147315979003906,0.5264143943786621,0.6852684020996094
700,0.5241565704345703,8.574488674639724e-06,0.0011294091818854213,0.10637565702199936,nan,nan,nan,nan,0.10751364380121231,0.4166429340839386,0.20263974368572235,0.3153230547904968,0.52568519115448,0.6846769452095032
800,0.5173339247703552,6.533178748213686e-06,0.0007657486130483449,0.0925249382853508,nan,nan,nan,nan,0.09329722076654434,0.4240366816520691,0.20469018816947937,0.3216915726661682,0.5183155536651611,0.6783084273338318
900,0.5004953742027283,6.146862233435968e-06,0.0005707708769477904,0.08466992527246475,nan,nan,nan,nan,0.08524684607982635,0.4152485132217407,0.20220491290092468,0.3141460418701172,0.5272492170333862,0.6858539581298828
1000,0.49736273288726807,5.617542683467036e-06,0.00043563166400417686,0.07963043451309204,nan,nan,nan,nan,0.08007168024778366,0.4172910451889038,0.2026974856853485,0.31594228744506836,0.5251312851905823,0.6840577125549316
1100,0.4936853349208832,5.8238392739440314e-06,0.0003410136851016432,0.07651364058256149,nan,nan,nan,nan,0.07686048001050949,0.4168248474597931,0.2025424689054489,0.31555360555648804,0.5255716443061829,0.684446394443512
1200,0.49090248346328735,5.2781501835852396e-06,0.00026976875960826874,0.07459738850593567,nan,nan,nan,nan,0.07487243413925171,0.41603004932403564,0.20239363610744476,0.31483322381973267,0.5265100002288818,0.6851667761802673
1300,0.49027132987976074,5.55589349460206e-06,0.00023758398310746998,0.07336205244064331,nan,nan,nan,nan,0.07360519468784332,0.4166661500930786,0.2025897204875946,0.3153712749481201,0.5258718132972717,0.6846287250518799
1400,0.48954641819000244,5.6158150982810184e-06,0.00019449226965662092,0.07295876741409302,nan,nan,nan,nan,0.0731588751077652,0.41638755798339844,0.20241667330265045,0.3151792287826538,0.526034951210022,0.6848207712173462
1500,0.4879840612411499,5.289000455377391e-06,0.00017011315503623337,0.07175184786319733,nan,nan,nan,nan,0.07192724943161011,0.4160568118095398,0.2023925632238388,0.3148605227470398,0.5264955759048462,0.6851394772529602
1600,0.4877018928527832,5.287060503178509e-06,0.000151878732140176,0.07167614996433258,nan,nan,nan,nan,0.07183331251144409,0.4158685803413391,0.20238402485847473,0.31467658281326294,0.526711106300354,0.6853234171867371
1700,0.48773062229156494,5.439042979560327e-06,0.000142772332765162,0.07170306146144867,nan,nan,nan,nan,0.07185127586126328,0.41587933897972107,0.20237666368484497,0.3146910071372986,0.5266892313957214,0.6853089928627014
1800,0.4873006045818329,5.543447969102999e-06,0.0001294129469897598,0.07126517593860626,nan,nan,nan,nan,0.07140013575553894,0.41590046882629395,0.20229089260101318,0.31475502252578735,0.5266147255897522,0.6852449774742126
1900,0.4884476065635681,5.135181709192693e-06,0.0001196453595184721,0.07093711197376251,nan,nan,nan,nan,0.07106189429759979,0.41738569736480713,0.2028893083333969,0.3159410357475281,0.5251529812812805,0.6840589642524719
2000,0.48894912004470825,5.009988853998948e-06,0.00011282523337285966,0.0709153488278389,nan,nan,nan,nan,0.07103318721055984,0.417915940284729,0.20304760336875916,0.31639212369918823,0.5245672464370728,0.6836078763008118
2100,0.4872737526893616,4.778507900482509e-06,0.0001115481645683758,0.07131519913673401,nan,nan,nan,nan,0.07143152505159378,0.4158422350883484,0.20231804251670837,0.314683198928833,0.5267040133476257,0.685316801071167
2200,0.4883235991001129,4.776915830007056e-06,0.00011932628694921732,0.07145055383443832,nan,nan,nan,nan,0.07157465815544128,0.41674894094467163,0.20248541235923767,0.3155062198638916,0.5256500840187073,0.6844937801361084
2300,0.48827266693115234,4.817064109374769e-06,0.00010054563608719036,0.07124568521976471,nan,nan,nan,nan,0.0713510513305664,0.41692161560058594,0.2026025354862213,0.3156203627586365,0.525492250919342,0.6843796372413635
2400,0.4874359369277954,4.728191470348975e-06,9.64581995503977e-05,0.0709431916475296,nan,nan,nan,nan,0.07104437798261642,0.4163915514945984,0.20240554213523865,0.31518876552581787,0.5260747075080872,0.6848112344741821
2500,0.48788291215896606,4.426493887876859e-06,9.16330172913149e-05,0.07102228701114655,nan,nan,nan,nan,0.07111834734678268,0.4167645573616028,0.20251812040805817,0.3155055046081543,0.5256448984146118,0.6844944953918457
2600,0.4862768054008484,4.30261752626393e-06,8.861149399308488e-05,0.07077779620885849,nan,nan,nan,nan,0.07087071239948273,0.41540607810020447,0.20224161446094513,0.3142852783203125,0.5271861553192139,0.6857147216796875
2700,0.4877891540527344,4.368226655060425e-06,0.00010007654054788873,0.07136596739292145,nan,nan,nan,nan,0.07147040963172913,0.41631874442100525,0.20251482725143433,0.3150613307952881,0.5262510776519775,0.6849386692047119
2800,0.48960423469543457,3.742158924069372e-06,8.022176189115271e-05,0.0706673339009285,nan,nan,nan,nan,0.07075129449367523,0.41885292530059814,0.2031376212835312,0.31728410720825195,0.523708701133728,0.682715892791748
2900,0.48813197016716003,3.950634891225491e-06,8.123472071019933e-05,0.07111425697803497,nan,nan,nan,nan,0.0711994394659996,0.41693252325057983,0.20260724425315857,0.31562888622283936,0.5254743099212646,0.6843711137771606
