split,samples,signals_shape,signal_std_min,signal_std_max,signal_std_mean,std_floor,std_floor_trigger_rate,all_samples_trigger_std_floor,signal_range_mean,signal_peak_abs_min,signal_peak_abs_max,unique_signal_rows,mask_mu_threshold_mismatch_pixels,mask_mu_threshold_mismatch_rate,max_bbox_center_x_error_cells,max_bbox_center_y_error_cells,max_bbox_axis_x_error_cells,max_bbox_axis_y_error_cells,energy_center_x_vs_defect_center_x_corr,center_x_bins,center_y_bins,center_bin_targets_in_range,center_bin_offset_min,center_bin_offset_max,center_x_bin_min,center_x_bin_max,center_y_bin_min,center_y_bin_max,max_abs_offset,max_abs_target_vs_defect_center_x,max_abs_target_vs_defect_center_y,max_abs_target_vs_defect_axis_x,max_abs_target_vs_defect_axis_y,max_abs_target_vs_defect_depth_or_shape_param,max_abs_target_vs_defect_rotation_angle
train,30,30x3x200,4.734402794841952e-10,9.312453944821981e-09,3.947761244462565e-09,1e-08,1.0,True,1.315808428140978e-08,4.1436949686612934e-05,4.1464954847469926e-05,30,0,0.0,0.44444480237795475,0.3650001338361696,1.839993412438384,1.6000003861727488,0.8140603234204818,25,13,True,-0.47750000552245203,0.4712500307336456,3,20,3,9,0.47750000552245203,8.297671334756007e-10,2.2408784983857233e-10,3.9885444773346546e-10,5.699694167159153e-11,0.0,0.0
val,10,10x3x200,4.631334469834741e-10,7.501884047277562e-09,4.150678052812168e-09,1e-08,1.0,True,1.3740282156504691e-08,4.14372407249175e-05,4.1458300984231755e-05,10,0,0.0,0.44444630351400954,0.35399862804200644,1.900001393584566,1.5800042139272432,0.5875262119287321,25,13,True,-0.41733331441390364,0.39444485746014585,4,18,3,7,0.41733331441390364,8.641574782142225e-10,1.0939270973439608e-10,3.9885444773346546e-10,5.699694167159153e-11,0.0,0.0
test,10,10x3x200,1.152058893840971e-09,7.419892317004549e-09,4.074224366354567e-09,1e-08,1.0,True,1.3286262401379645e-08,4.144066770095378e-05,4.145734419580549e-05,10,0,0.0,0.344448120526191,0.299999545025601,1.6088860821627327,1.5799997839603508,0.977491355746777,25,13,True,-0.34888884963428735,0.4499999135616218,5,20,4,9,0.4499999135616218,5.507013872696476e-10,2.2408784983857233e-10,3.9885444773346546e-10,4.9918889985164916e-11,0.0,0.0
