sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,mlp,none,mu_threshold,0.0,0,3,14970.3896484375,15.031359672546387
1,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,7,7,706.7960815429688,4.309693336486816
2,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,3.2936010360717773,0.3076719343662262
3,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,0.9876670837402344,0.13681958615779877
4,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,29.744813919067383,0.8345528841018677
5,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,178.06790161132812,2.1051735877990723
6,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,33.77509307861328,0.6767297983169556
7,per_sample_zscore,concat,mlp,none,mu_threshold,0.0,0,6,30349.267578125,32.34687805175781
8,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,393.56597900390625,3.7383384704589844
9,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,12,12,663.3424072265625,4.687759876251221
10,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,10,10,23.96114730834961,0.8232340216636658
11,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,95.94998168945312,1.2879122495651245
12,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,3,3,6.141022682189941,0.38883915543556213
13,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,140.01414489746094,1.669118046760559
14,per_sample_zscore,concat,mlp,none,mu_threshold,0.0,0,8,39920.04296875,39.96553421020508
15,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,53.56342315673828,0.8653286695480347
16,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,17.957111358642578,0.43841955065727234
17,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,3,3,110.20735931396484,1.5208184719085693
18,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,9.307478904724121,0.3646872341632843
19,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,35.02304458618164,0.7336086630821228
20,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,119.40521240234375,1.6684314012527466
21,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,8,8,1863.2852783203125,9.047577857971191
22,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,11,11,138.213134765625,1.28254234790802
23,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,12,12,205.9730224609375,1.9447356462478638
24,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,8,8,10.321398735046387,0.36424726247787476
25,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,3,3,26.692184448242188,0.630240261554718
26,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,97.06829071044922,1.3820430040359497
27,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,7,7,45.89036178588867,0.883564293384552
28,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,13,13,92.39791107177734,1.4130581617355347
29,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,337.27069091796875,2.79752254486084
30,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,424.82421875,3.5313963890075684
31,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,98.57767486572266,1.5323196649551392
32,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,11,11,255.0156707763672,2.008847713470459
33,per_sample_zscore,concat,mlp,none,mu_threshold,0.5714285714285714,4,7,15283.7373046875,17.78911018371582
34,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,3,3,49.28147888183594,1.1176241636276245
35,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,200.62257385253906,2.3761110305786133
36,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,24.997289657592773,0.571437418460846
37,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,79.10531616210938,1.187965750694275
38,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,409.33709716796875,3.5457937717437744
39,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,7,7,1178.544921875,6.768559455871582
40,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,268.8084716796875,2.1416218280792236
41,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,16,16,651.0553588867188,4.3134260177612305
42,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,1076.0484619140625,7.0228190422058105
43,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,492.0635070800781,3.550906181335449
44,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,22.54746437072754,0.4829828441143036
45,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,22.841304779052734,0.5740410685539246
46,per_sample_zscore,concat,mlp,none,mu_threshold,0.8,4,5,5214.8896484375,7.334195613861084
47,per_sample_zscore,concat,mlp,none,mu_threshold,0.875,8,7,4596.79833984375,12.028752326965332
48,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,7,7,100.96052551269531,1.6806155443191528
49,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,5.216948509216309,0.26306676864624023
50,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,3,3,236.9950714111328,2.7051382064819336
51,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,8,8,600.5623168945312,4.31629753112793
52,per_sample_zscore,concat,mlp,none,mu_threshold,0.6363636363636364,7,11,20432.044921875,23.20067596435547
53,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,137.7300262451172,1.5713566541671753
54,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,11.838724136352539,0.32206591963768005
55,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,10,10,180.70196533203125,2.1434433460235596
56,per_sample_zscore,concat,mlp,none,mu_threshold,0.8181818181818182,9,11,11858.8798828125,18.845483779907227
57,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,14,14,381.3426513671875,3.263593912124634
58,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,11,11,122.34307098388672,1.6406699419021606
59,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,6,6,83.86227416992188,1.314084768295288
60,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,12,12,225.26405334472656,2.2885329723358154
61,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,416.84283447265625,3.4169533252716064
62,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,464.46881103515625,3.592515230178833
63,per_sample_zscore,concat,mlp,none,mu_threshold,0.75,3,4,5010.990234375,5.527972221374512
64,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,9,9,338.0861511230469,3.228701591491699
65,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,5,5,1230.94970703125,6.902974605560303
66,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,8,8,1118.4332275390625,6.732472896575928
67,per_sample_zscore,concat,mlp,none,mu_threshold,1.0,4,4,84.24435424804688,1.2953354120254517
