step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_x_bin_loss,center_y_bin_loss,weighted_center_x_bin_loss,weighted_center_y_bin_loss,center_bin_slot_weight_mean,center_bin_slot_weight_max,center_offset_loss,weighted_center_offset_loss,aux_center_bin_loss,weighted_aux_center_bin_loss,aux_center_offset_loss,weighted_aux_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,1.0707604885101318,0.68854159116745,0.0,0.0,0.00540057523176074,0.0,0.0,0.3822189271450043,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0707604885101318,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,0.0008237157599069178,1.3865570025473062e-08,0.0,0.0,0.0008524038130417466,0.0,0.0,0.0008237019064836204,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008237157599069178,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,3.119976099696942e-05,6.107333661020675e-08,0.0,0.0,8.706378139322624e-05,0.0,0.0,3.113868660875596e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119976099696942e-05,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,3.4095959563273937e-05,8.113204330584267e-08,0.0,0.0,2.4405935619142838e-05,0.0,0.0,3.4014828997896984e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4095959563273937e-05,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.0003104007337242365,2.846170161774353e-07,0.0,0.0,6.372680945787579e-05,0.0,0.0,0.0003101161273662001,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003104007337242365,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,7.897289151514997e-07,6.785357413718884e-07,0.0,0.0,5.853737548022764e-07,0.0,0.0,1.1119318799046596e-07,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.897289151514997e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,6.55952419492678e-07,6.524829814225086e-07,0.0,0.0,4.0169371828824296e-08,0.0,0.0,3.4694644934774033e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55952419492678e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,5.842822474733111e-07,5.839701202603464e-07,0.0,0.0,3.2389271265031994e-09,0.0,0.0,3.1212712969796996e-10,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842822474733111e-07,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,3.330246909172274e-05,4.244594492774922e-06,0.0,0.0,1.2313848856138065e-05,0.0,0.0,2.905787550844252e-05,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.330246909172274e-05,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,3.6453254779189592e-06,3.640779823399498e-06,0.0,0.0,2.9308724336374326e-08,0.0,0.0,4.545662513066873e-09,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6453254779189592e-06,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
