step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac
1,14.001402854919434,0.6585171818733215,0.7046038508415222,2.8861427307128906,3.217832565307617,2.554453134536743,-0.0,0.2619263231754303,7.132875919342041,-0.0,-0.0,-0.0,-0.0,0.6585171818733215,0.7046038508415222,2.8861427307128906,-0.0,2.619263172149658,7.132875919342041,0.12386137247085571,2.7244112491607666,0.0
100,1.0961506366729736,0.14012327790260315,0.024737060070037842,0.5920892953872681,0.5265141725540161,0.6576643586158752,-0.0,0.023146001622080803,0.10774093121290207,-0.0,-0.0,-0.0,-0.0,0.14012327790260315,0.024737060070037842,0.5920892953872681,-0.0,0.23146001994609833,0.10774093121290207,0.9550986886024475,17.80998420715332,0.0
200,0.4794427752494812,0.04950332269072533,0.003713234094902873,0.12434994429349899,0.06476692855358124,0.18393296003341675,-0.0,0.022329505532979965,0.07858121395111084,-0.0,-0.0,-0.0,-0.0,0.04950332269072533,0.003713234094902873,0.12434994429349899,-0.0,0.22329506278038025,0.07858121395111084,0.9408698081970215,17.654918670654297,0.0
300,0.20762306451797485,0.01892286166548729,0.00183435610961169,0.05691385269165039,0.027572479099035263,0.08625523000955582,-0.0,0.008123480714857578,0.0487171933054924,-0.0,-0.0,-0.0,-0.0,0.01892286166548729,0.00183435610961169,0.05691385269165039,-0.0,0.08123480528593063,0.0487171933054924,0.9447873830795288,17.69793701171875,0.0
400,0.1532309353351593,0.009857241995632648,0.0012807603925466537,0.029524927958846092,0.017059974372386932,0.04198988154530525,-0.0,0.00696378480643034,0.04293014854192734,-0.0,-0.0,-0.0,-0.0,0.009857241995632648,0.0012807603925466537,0.029524927958846092,-0.0,0.06963784992694855,0.04293014854192734,0.9354737401008606,17.595258712768555,0.0
500,0.3154206871986389,0.008336017839610577,0.0014010209124535322,0.022298723459243774,0.016773121431469917,0.02782432548701763,-0.0,0.021363969892263412,0.06974522024393082,-0.0,-0.0,-0.0,-0.0,0.008336017839610577,0.0014010209124535322,0.022298723459243774,-0.0,0.21363970637321472,0.06974522024393082,0.911792516708374,17.327795028686523,0.0
600,0.12707169353961945,0.006309014745056629,0.0012539454037323594,0.01614479348063469,0.013623430393636227,0.018666155636310577,-0.0,0.005289312917739153,0.05047081038355827,-0.0,-0.0,-0.0,-0.0,0.006309014745056629,0.0012539454037323594,0.01614479348063469,-0.0,0.052893128246068954,0.05047081038355827,0.9471181631088257,17.72341537475586,0.0
700,0.11849956214427948,0.004958393983542919,0.0010890222620218992,0.012373251840472221,0.010999771766364574,0.013746730983257294,-0.0,0.00531624723225832,0.046916428953409195,-0.0,-0.0,-0.0,-0.0,0.004958393983542919,0.0010890222620218992,0.012373251840472221,-0.0,0.05316247045993805,0.046916428953409195,0.9426957964897156,17.67500114440918,0.0
800,0.11001765727996826,0.003987613134086132,0.000929919769987464,0.009851161390542984,0.00909530557692051,0.010607018135488033,-0.0,0.005104376934468746,0.0442051887512207,-0.0,-0.0,-0.0,-0.0,0.003987613134086132,0.000929919769987464,0.009851161390542984,-0.0,0.05104377120733261,0.0442051887512207,0.9466466307640076,17.7182674407959,0.0
900,0.0963580384850502,0.0032631494104862213,0.0008002009708434343,0.007916232571005821,0.007524004206061363,0.008308460004627705,-0.0,0.004307071212679148,0.04130774363875389,-0.0,-0.0,-0.0,-0.0,0.0032631494104862213,0.0008002009708434343,0.007916232571005821,-0.0,0.0430707111954689,0.04130774363875389,0.9448081851005554,17.698165893554688,0.0
1000,0.09741456061601639,0.002887170296162367,0.0007499308558180928,0.006945804692804813,0.006776299327611923,0.007115310523658991,-0.0,0.004372927360236645,0.04310237988829613,-0.0,-0.0,-0.0,-0.0,0.002887170296162367,0.0007499308558180928,0.006945804692804813,-0.0,0.0437292754650116,0.04310237988829613,0.9431087970733643,17.679534912109375,0.0
1100,0.08499555289745331,0.0025641336105763912,0.0006921679596416652,0.006205384619534016,0.006194466259330511,0.0062163034453988075,-0.0,0.0039223674684762955,0.03631019592285156,-0.0,-0.0,-0.0,-0.0,0.0025641336105763912,0.0006921679596416652,0.006205384619534016,-0.0,0.039223674684762955,0.03631019592285156,0.9411910772323608,17.658456802368164,0.0
1200,0.07446371018886566,0.0022397455759346485,0.0006267784629017115,0.005427858792245388,0.005466215778142214,0.0053895022720098495,-0.0,0.0033573417458683252,0.032595906406641006,-0.0,-0.0,-0.0,-0.0,0.0022397455759346485,0.0006267784629017115,0.005427858792245388,-0.0,0.033573418855667114,0.032595906406641006,0.940209686756134,17.647645950317383,0.0
1300,0.0732390284538269,0.00199334230273962,0.0005616979324258864,0.004879494197666645,0.0049658953212201595,0.004793092608451843,-0.0,0.003326321952044964,0.032541271299123764,-0.0,-0.0,-0.0,-0.0,0.00199334230273962,0.0005616979324258864,0.004879494197666645,-0.0,0.03326322138309479,0.032541271299123764,0.9399195909500122,17.644447326660156,0.0
1400,0.06595596671104431,0.0017853713361546397,0.000514583254698664,0.004427002742886543,0.004520717542618513,0.0043332879431545734,-0.0,0.0029795451555401087,0.029433559626340866,-0.0,-0.0,-0.0,-0.0,0.0017853713361546397,0.000514583254698664,0.004427002742886543,-0.0,0.0297954510897398,0.029433559626340866,0.9400193691253662,17.64554786682129,0.0
1500,0.05995432287454605,0.001631207880564034,0.00047500626533292234,0.004055684898048639,0.004197911359369755,0.003913458436727524,-0.0,0.0025415460113435984,0.02837696112692356,-0.0,-0.0,-0.0,-0.0,0.001631207880564034,0.00047500626533292234,0.004055684898048639,-0.0,0.025415459647774696,0.02837696112692356,0.9392226338386536,17.636756896972656,0.0
1600,0.058027759194374084,0.001533340779133141,0.00046035603736527264,0.0038192635402083397,0.003983477596193552,0.0036550492513924837,-0.0,0.0024897584225982428,0.027317212894558907,-0.0,-0.0,-0.0,-0.0,0.001533340779133141,0.00046035603736527264,0.0038192635402083397,-0.0,0.024897584691643715,0.027317212894558907,0.9365354776382446,17.60703468322754,0.0
1700,0.05456989258527756,0.0014389773132279515,0.00042961828876286745,0.0035625325981527567,0.0037401884328573942,0.003384876763448119,-0.0,0.0019560118671506643,0.029578646644949913,-0.0,-0.0,-0.0,-0.0,0.0014389773132279515,0.00042961828876286745,0.0035625325981527567,-0.0,0.01956011913716793,0.029578646644949913,0.9368461966514587,17.610477447509766,0.0
1800,0.039865892380476,0.001251698937267065,0.0003725257411133498,0.0030665937811136246,0.0031932578422129154,0.00293992948718369,-0.0,0.0008102096617221832,0.027072977274656296,-0.0,-0.0,-0.0,-0.0,0.001251698937267065,0.0003725257411133498,0.0030665937811136246,-0.0,0.008102096617221832,0.027072977274656296,0.933955729007721,17.578388214111328,0.0
1900,0.039075564593076706,0.0010757897980511189,0.00031248474260792136,0.00258545926772058,0.0026653457898646593,0.002505572745576501,-0.0,0.0010125281987711787,0.024976547807455063,-0.0,-0.0,-0.0,-0.0,0.0010757897980511189,0.00031248474260792136,0.00258545926772058,-0.0,0.010125282220542431,0.024976547807455063,0.932930052280426,17.566970825195312,0.0
2000,0.012329730205237865,0.0008903643465600908,0.0002561002329457551,0.002102151047438383,0.0021425990853458643,0.002061703009530902,-0.0,0.000879654020536691,0.000284573674434796,-0.0,-0.0,-0.0,-0.0,0.0008903643465600908,0.0002561002329457551,0.002102151047438383,-0.0,0.008796540088951588,0.000284573674434796,0.9241012334823608,17.46796417236328,0.0
2100,0.01349993422627449,0.0007195766665972769,0.00021149858366698027,0.001708467025309801,0.0017365178791806102,0.001680416171438992,-0.0,0.001048547332175076,0.0003749191528186202,-0.0,-0.0,-0.0,-0.0,0.0007195766665972769,0.00021149858366698027,0.001708467025309801,-0.0,0.010485473088920116,0.0003749191528186202,0.923835039138794,17.46495819091797,0.0
2200,0.010572553612291813,0.0006058537401258945,0.0001801803009584546,0.0014482501428574324,0.0014663676265627146,0.001430132775567472,-0.0,0.000799016619566828,0.00034810329088941216,-0.0,-0.0,-0.0,-0.0,0.0006058537401258945,0.0001801803009584546,0.0014482501428574324,-0.0,0.007990166544914246,0.00034810329088941216,0.9239374995231628,17.466115951538086,0.0
2300,0.00824839249253273,0.0005233533447608352,0.00015883122978266329,0.0012615739833563566,0.00127959914971143,0.001243548933416605,-0.0,0.00014282489428296685,0.004876384977251291,-0.0,-0.0,-0.0,-0.0,0.0005233533447608352,0.00015883122978266329,0.0012615739833563566,-0.0,0.0014282489428296685,0.004876384977251291,0.9285997748374939,17.518569946289062,0.0
2400,0.02433379739522934,0.0004650093615055084,0.0001416139566572383,0.001124383881688118,0.0011421217350289226,0.0011066461447626352,-0.0,0.0015428056940436363,0.007174734957516193,-0.0,-0.0,-0.0,-0.0,0.0004650093615055084,0.0001416139566572383,0.001124383881688118,-0.0,0.015428056940436363,0.007174734957516193,0.9197313785552979,17.418487548828125,0.0
2500,0.00784241408109665,0.00042717557516880333,0.00013308391498867422,0.0010436074808239937,0.0010588869918137789,0.0010283278534188867,-0.0,2.588911411294248e-05,0.005979656241834164,-0.0,-0.0,-0.0,-0.0,0.00042717557516880333,0.00013308391498867422,0.0010436074808239937,-0.0,0.0002588911447674036,0.005979656241834164,0.9196586608886719,17.417661666870117,0.0
2600,0.00849999487400055,0.00038950369344092906,0.00012443377636373043,0.0009466948686167598,0.0009648079867474735,0.0009285816922783852,-0.0,0.0005811600130982697,0.0012277623172849417,-0.0,-0.0,-0.0,-0.0,0.00038950369344092906,0.00012443377636373043,0.0009466948686167598,-0.0,0.005811600014567375,0.0012277623172849417,0.9245550036430359,17.47308349609375,0.0
2700,0.010166900232434273,0.00036311877192929387,0.00011697848822223023,0.0008887816220521927,0.0009097204892896116,0.0008678426966071129,-0.0,0.00040208862628787756,0.004777134396135807,-0.0,-0.0,-0.0,-0.0,0.00036311877192929387,0.00011697848822223023,0.0008887816220521927,-0.0,0.004020886495709419,0.004777134396135807,0.9291744828224182,17.525009155273438,0.0
2800,0.009312858805060387,0.0003455921250861138,0.00011244986671954393,0.0008427395951002836,0.0008655149140395224,0.0008199642761610448,-0.0,0.0003104097559116781,0.004907980095595121,-0.0,-0.0,-0.0,-0.0,0.0003455921250861138,0.00011244986671954393,0.0008427395951002836,-0.0,0.0031040976755321026,0.004907980095595121,0.92890864610672,17.522031784057617,0.0
2900,0.021103788167238235,0.00032888565328903496,0.00010740818834165111,0.0008117792312987149,0.0008389520226046443,0.0007846064399927855,-0.0,0.0015874708769842982,0.003981007728725672,-0.0,-0.0,-0.0,-0.0,0.00032888565328903496,0.00010740818834165111,0.0008117792312987149,-0.0,0.01587470807135105,0.003981007728725672,0.9276699423789978,17.508136749267578,0.0
3000,0.010183985345065594,0.00031419796869158745,0.00010469779226696119,0.0007774392724968493,0.0008061842527240515,0.0007486942922696471,-0.0,0.00045718657202087343,0.0044157844968140125,-0.0,-0.0,-0.0,-0.0,0.00031419796869158745,0.00010469779226696119,0.0007774392724968493,-0.0,0.004571865778416395,0.0044157844968140125,0.9282221794128418,17.514333724975586,0.0
3100,0.003545822575688362,0.00030680978670716286,0.00010373493569204584,0.0007642698474228382,0.000793631945271045,0.0007349078077822924,-0.0,0.00011284263746347278,0.0012425818713381886,-0.0,-0.0,-0.0,-0.0,0.00030680978670716286,0.00010373493569204584,0.0007642698474228382,-0.0,0.0011284264037385583,0.0012425818713381886,0.9257587790489197,17.486648559570312,0.0
3200,0.007878192700445652,0.00030236021848395467,0.00010330083023291081,0.0007585597923025489,0.0007928914274089038,0.0007242282154038548,-0.0,9.011264774017036e-05,0.005812845192849636,-0.0,-0.0,-0.0,-0.0,0.00030236021848395467,0.00010330083023291081,0.0007585597923025489,-0.0,0.0009011264774017036,0.005812845192849636,0.9199904799461365,17.421428680419922,0.0
3300,0.01790689118206501,0.0002826761920005083,9.573515126248822e-05,0.0007031839340925217,0.0007341132732108235,0.0006722545949742198,-0.0,0.00011259391612838954,0.0156993567943573,-0.0,-0.0,-0.0,-0.0,0.0002826761920005083,9.573515126248822e-05,0.0007031839340925217,-0.0,0.0011259391903877258,0.0156993567943573,0.9325685501098633,17.56294059753418,0.0
3400,0.011651013046503067,0.0002841515524778515,9.590917761670426e-05,0.0007127507124096155,0.0007520513026975095,0.0006734501221217215,-0.0,0.00047767258365638554,0.005781474988907576,-0.0,-0.0,-0.0,-0.0,0.0002841515524778515,9.590917761670426e-05,0.0007127507124096155,-0.0,0.004776726011186838,0.005781474988907576,0.9227544665336609,17.452749252319336,0.0
3500,0.010318533517420292,0.0002764581877272576,9.205907554132864e-05,0.0006969639216549695,0.0007379741291515529,0.000655953714158386,-0.0,4.9932517868001014e-05,0.008753727190196514,-0.0,-0.0,-0.0,-0.0,0.0002764581877272576,9.205907554132864e-05,0.0006969639216549695,-0.0,0.0004993251641280949,0.008753727190196514,0.9192908406257629,17.413482666015625,0.0
3600,0.014371341094374657,0.000259412539890036,8.7292144598905e-05,0.0006570839905180037,0.000693001551553607,0.0006211664294824004,-0.0,0.00031300069531425834,0.01023754570633173,-0.0,-0.0,-0.0,-0.0,0.000259412539890036,8.7292144598905e-05,0.0006570839905180037,-0.0,0.003130007069557905,0.01023754570633173,0.9311646819114685,17.54727554321289,0.0
3700,0.028411705046892166,0.00026379141490906477,8.842290844768286e-05,0.0006715571507811546,0.000715439731720835,0.0006276745698414743,-0.0,0.0016148569993674755,0.011239362880587578,-0.0,-0.0,-0.0,-0.0,0.00026379141490906477,8.842290844768286e-05,0.0006715571507811546,-0.0,0.01614857092499733,0.011239362880587578,0.9202867746353149,17.424793243408203,0.0
3800,0.012177811935544014,0.000255380233284086,8.495130896335468e-05,0.000646954111289233,0.0006855600513517857,0.0006083481712266803,-0.0,0.00013076156028546393,0.009882910177111626,-0.0,-0.0,-0.0,-0.0,0.000255380233284086,8.495130896335468e-05,0.000646954111289233,-0.0,0.0013076155446469784,0.009882910177111626,0.9190090298652649,17.4102783203125,0.0
3900,0.02288825437426567,0.0002402842219453305,8.027885633055121e-05,0.0006072132382541895,0.0006444811588153243,0.0005699453176930547,-0.0,0.0005701199406757951,0.01625927910208702,-0.0,-0.0,-0.0,-0.0,0.0002402842219453305,8.027885633055121e-05,0.0006072132382541895,-0.0,0.005701199173927307,0.01625927910208702,0.9322407245635986,17.559284210205078,0.0
4000,0.0191591028124094,0.00023833417799323797,8.137286931741983e-05,0.0006061727181077003,0.0006453969399444759,0.0005669485544785857,-0.0,0.0005841519450768828,0.012391703203320503,-0.0,-0.0,-0.0,-0.0,0.00023833417799323797,8.137286931741983e-05,0.0006061727181077003,-0.0,0.005841519683599472,0.012391703203320503,0.9200313091278076,17.421894073486328,0.0
4100,0.017070293426513672,0.00021914952958468348,7.396537694148719e-05,0.0005476364167407155,0.0005804154206998646,0.0005148573545739055,-0.0,0.0003958072338718921,0.012271469458937645,-0.0,-0.0,-0.0,-0.0,0.00021914952958468348,7.396537694148719e-05,0.0005476364167407155,-0.0,0.003958072513341904,0.012271469458937645,0.9319819808006287,17.556398391723633,0.0
4200,0.01019666064530611,0.00021830573678016663,7.434425788233057e-05,0.0005522164283320308,0.0005898376693949103,0.0005145952454768121,-0.0,0.0005559277487918735,0.003792516654357314,-0.0,-0.0,-0.0,-0.0,0.00021830573678016663,7.434425788233057e-05,0.0005522164283320308,-0.0,0.005559277720749378,0.003792516654357314,0.927778959274292,17.509361267089844,0.0
4300,0.011001324281096458,0.0002061136910924688,7.03439800417982e-05,0.0005176642443984747,0.0005482024280354381,0.0004871260898653418,-0.0,0.0002373212482780218,0.007833990268409252,-0.0,-0.0,-0.0,-0.0,0.0002061136910924688,7.03439800417982e-05,0.0005176642443984747,-0.0,0.002373212482780218,0.007833990268409252,0.9303084015846252,17.537702560424805,0.0
4400,0.01849718950688839,0.00019546029216144234,6.760262476745993e-05,0.0004932789597660303,0.0005220085731707513,0.0004645492881536484,-0.0,0.0005935162771493196,0.011805684305727482,-0.0,-0.0,-0.0,-0.0,0.00019546029216144234,6.760262476745993e-05,0.0004932789597660303,-0.0,0.0059351627714931965,0.011805684305727482,0.9314901232719421,17.5509090423584,0.0
4500,0.007440079934895039,0.00019240760593675077,6.676228804280981e-05,0.0004850138211622834,0.0005141858127899468,0.0004558418586384505,-0.0,0.00031357124680653214,0.003560183569788933,-0.0,-0.0,-0.0,-0.0,0.00019240760593675077,6.676228804280981e-05,0.0004850138211622834,-0.0,0.0031357123516499996,0.003560183569788933,0.9265750646591187,17.495834350585938,0.0
4600,0.02277703396975994,0.00019192862964700907,6.677455530734733e-05,0.00048453224007971585,0.0005174474790692329,0.00045161700109019876,-0.0,0.0006742558325640857,0.015291240066289902,-0.0,-0.0,-0.0,-0.0,0.00019192862964700907,6.677455530734733e-05,0.00048453224007971585,-0.0,0.006742558442056179,0.015291240066289902,0.9195776581764221,17.4167423248291,0.0
4700,0.006744849495589733,0.0001802750921342522,6.360244151437655e-05,0.000457659421954304,0.00048763208906166255,0.00042768678395077586,-0.0,0.00011582464503590018,0.0048850663006305695,-0.0,-0.0,-0.0,-0.0,0.0001802750921342522,6.360244151437655e-05,0.000457659421954304,-0.0,0.0011582464212551713,0.0048850663006305695,0.9291986227035522,17.525279998779297,0.0
4800,0.009557897225022316,0.00017473041953053325,6.113016570452601e-05,0.0004394554707687348,0.00047146878205239773,0.0004074421594850719,-0.0,0.0002870596363209188,0.0060119847767055035,-0.0,-0.0,-0.0,-0.0,0.00017473041953053325,6.113016570452601e-05,0.0004394554707687348,-0.0,0.00287059647962451,0.0060119847767055035,0.9293972253799438,17.52750587463379,0.0
4900,0.008140496909618378,0.0001676572283031419,5.7319299230584875e-05,0.0004224966396577656,0.0004541176022030413,0.00039087567711248994,-0.0,0.00014129899500403553,0.006080033257603645,-0.0,-0.0,-0.0,-0.0,0.0001676572283031419,5.7319299230584875e-05,0.0004224966396577656,-0.0,0.0014129899209365249,0.006080033257603645,0.9288668036460876,17.521562576293945,0.0
5000,0.02477944828569889,0.00015944868209771812,5.5256401537917554e-05,0.0004024876398034394,0.00042882212437689304,0.00037615318433381617,-0.0,0.0007095987093634903,0.017066268250346184,-0.0,-0.0,-0.0,-0.0,0.00015944868209771812,5.5256401537917554e-05,0.0004024876398034394,-0.0,0.007095986977219582,0.017066268250346184,0.933119535446167,17.569080352783203,0.0
