runner config | sample=2 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=1.000000e+00
sample=2 | outer=1/30 | loss_phi=2.371919e+00 | loss_mu=1.494441e+00 | mu_mse=1.664790e+05 | mu_mae=4.055053e+02 | defect_area_pred=0 | defect_area_label=5 | defect_iou=0.000000e+00
sample=2 | outer=2/30 | loss_phi=2.355035e+00 | loss_mu=1.072734e+00 | mu_mse=1.359678e+05 | mu_mae=3.633316e+02 | defect_area_pred=0 | defect_area_label=5 | defect_iou=0.000000e+00
sample=2 | outer=3/30 | loss_phi=2.352036e+00 | loss_mu=9.352633e-01 | mu_mse=1.084914e+05 | mu_mae=3.185848e+02 | defect_area_pred=0 | defect_area_label=5 | defect_iou=0.000000e+00
sample=2 | outer=4/30 | loss_phi=2.350709e+00 | loss_mu=8.267156e-01 | mu_mse=8.297509e+04 | mu_mae=2.718673e+02 | defect_area_pred=3 | defect_area_label=5 | defect_iou=6.000000e-01
sample=2 | outer=5/30 | loss_phi=2.349814e+00 | loss_mu=7.337260e-01 | mu_mse=5.875320e+04 | mu_mae=2.202320e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=2 | outer=6/30 | loss_phi=2.349091e+00 | loss_mu=7.391365e-01 | mu_mse=4.421591e+04 | mu_mae=1.824874e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=2 | outer=7/30 | loss_phi=2.348239e+00 | loss_mu=8.351030e-01 | mu_mse=4.047087e+04 | mu_mae=1.704505e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=2 | outer=8/30 | loss_phi=2.346893e+00 | loss_mu=1.017724e+00 | mu_mse=4.364270e+04 | mu_mae=1.771152e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=2 | outer=9/30 | loss_phi=2.344715e+00 | loss_mu=1.323757e+00 | mu_mse=5.181612e+04 | mu_mae=1.982469e+02 | defect_area_pred=5 | defect_area_label=5 | defect_iou=6.666667e-01
sample=2 | outer=10/30 | loss_phi=2.341014e+00 | loss_mu=1.691487e+00 | mu_mse=7.346952e+04 | mu_mae=2.485850e+02 | defect_area_pred=9 | defect_area_label=5 | defect_iou=5.555556e-01
sample=2 | outer=11/30 | loss_phi=2.335279e+00 | loss_mu=1.933334e+00 | mu_mse=9.583830e+04 | mu_mae=2.912392e+02 | defect_area_pred=12 | defect_area_label=5 | defect_iou=4.166667e-01
sample=2 | outer=12/30 | loss_phi=2.330790e+00 | loss_mu=2.167929e+00 | mu_mse=1.173003e+05 | mu_mae=3.241542e+02 | defect_area_pred=18 | defect_area_label=5 | defect_iou=2.777778e-01
sample=2 | outer=13/30 | loss_phi=2.326414e+00 | loss_mu=2.261609e+00 | mu_mse=1.291015e+05 | mu_mae=3.399380e+02 | defect_area_pred=26 | defect_area_label=5 | defect_iou=1.923077e-01
sample=2 | outer=14/30 | loss_phi=2.322745e+00 | loss_mu=2.270229e+00 | mu_mse=1.333078e+05 | mu_mae=3.431261e+02 | defect_area_pred=28 | defect_area_label=5 | defect_iou=1.785714e-01
sample=2 | outer=15/30 | loss_phi=2.319585e+00 | loss_mu=2.187095e+00 | mu_mse=1.304742e+05 | mu_mae=3.362388e+02 | defect_area_pred=27 | defect_area_label=5 | defect_iou=1.851852e-01
sample=2 | outer=16/30 | loss_phi=2.317155e+00 | loss_mu=2.010043e+00 | mu_mse=1.181310e+05 | mu_mae=3.173230e+02 | defect_area_pred=24 | defect_area_label=5 | defect_iou=2.083333e-01
sample=2 | outer=17/30 | loss_phi=2.316150e+00 | loss_mu=1.706367e+00 | mu_mse=9.373098e+04 | mu_mae=2.808990e+02 | defect_area_pred=17 | defect_area_label=5 | defect_iou=2.941177e-01
sample=2 | outer=18/30 | loss_phi=2.316770e+00 | loss_mu=1.262978e+00 | mu_mse=5.862598e+04 | mu_mae=2.217310e+02 | defect_area_pred=7 | defect_area_label=5 | defect_iou=7.142857e-01
sample=2 | outer=19/30 | loss_phi=2.319613e+00 | loss_mu=7.603986e-01 | mu_mse=4.224813e+04 | mu_mae=1.821926e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
sample=2 | outer=20/30 | loss_phi=2.320225e+00 | loss_mu=5.053017e-01 | mu_mse=3.098988e+04 | mu_mae=1.479718e+02 | defect_area_pred=4 | defect_area_label=5 | defect_iou=8.000000e-01
