sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
23,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,172093.375,407.630615234375
24,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,254387.28125,489.5648193359375
25,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,223796.359375,449.3122863769531
26,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,213747.671875,444.31304931640625
27,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,309740.625,547.3831787109375
28,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,204075.65625,443.9021911621094
29,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,342479.34375,573.3628540039062
30,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,208713.21875,445.4611511230469
31,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,269834.125,513.4351196289062
32,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,254347.09375,489.08709716796875
33,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,327796.125,561.728759765625
34,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,218655.421875,455.04315185546875
35,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,212557.9375,450.6463317871094
36,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,207753.390625,443.2651062011719
37,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,204360.953125,442.556640625
38,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,253246.9375,493.8805236816406
39,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,181547.234375,418.2649230957031
40,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,253422.546875,490.2122497558594
41,per_sample_zscore,concat,mlp,none,direct,1.0,16,16,248785.609375,490.0311584472656
42,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,225791.171875,462.2555236816406
43,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,250496.671875,488.12982177734375
44,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,284178.59375,519.7316284179688
45,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,219918.609375,452.51177978515625
46,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,321676.875,561.4171752929688
47,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,234476.59375,476.9985046386719
48,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,223673.3125,462.1271667480469
49,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,243456.671875,479.0604553222656
50,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,263507.9375,502.7756042480469
51,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,259197.3125,501.41552734375
52,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,203558.59375,427.6539611816406
53,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,227880.515625,466.6292724609375
54,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,285305.5,523.5159912109375
55,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,296817.3125,530.8251342773438
56,per_sample_zscore,concat,mlp,none,direct,0.75,10,11,261120.8125,501.6256103515625
