run,split,variant,sample_index,polygon_iou,polygon_dice,zero_iou,target_area,pred_area,area_diff,exported_iou,exported_iou_abs_diff,exported_pred_area,exported_pred_area_diff
current_reference,train,pred_all,0,1.0,1.0,0,63,63,0,1.0,0.0,63,0
current_reference,train,pred_all,1,1.0,1.0,0,63,63,0,1.0,0.0,63,0
current_reference,train,pred_all,2,0.9782608695652174,0.989010989010989,0,92,90,-2,0.9782608695652174,0.0,90,0
current_reference,train,pred_all,3,0.989247311827957,0.9945945945945946,0,92,93,1,0.989247311827957,0.0,93,0
current_reference,train,pred_all,4,1.0,1.0,0,57,57,0,1.0,0.0,57,0
current_reference,train,pred_all,5,1.0,1.0,0,63,63,0,1.0,0.0,63,0
current_reference,train,pred_all,6,1.0,1.0,0,74,74,0,1.0,0.0,74,0
current_reference,train,pred_all,7,0.9876543209876543,0.9937888198757764,0,160,162,2,0.9876543209876543,0.0,162,0
current_reference,train,pred_all,8,1.0,1.0,0,120,120,0,1.0,0.0,120,0
current_reference,train,pred_all,9,1.0,1.0,0,184,184,0,1.0,0.0,184,0
current_reference,train,pred_all,10,0.9937888198757764,0.9968847352024922,0,160,161,1,0.9937888198757764,0.0,161,0
current_reference,train,pred_all,11,1.0,1.0,0,120,120,0,1.0,0.0,120,0
current_reference,train,pred_all,12,1.0,1.0,0,105,105,0,1.0,0.0,105,0
current_reference,train,pred_all,13,1.0,1.0,0,120,120,0,1.0,0.0,120,0
current_reference,train,pred_all,14,0.9929078014184397,0.99644128113879,0,140,141,1,0.9929078014184397,0.0,141,0
current_reference,train,pred_all,15,1.0,1.0,0,105,105,0,1.0,0.0,105,0
current_reference,train,pred_all,16,1.0,1.0,0,105,105,0,1.0,0.0,105,0
current_reference,train,pred_all,17,0.9927007299270073,0.9963369963369964,0,137,136,-1,0.9927007299270073,0.0,136,0
current_reference,train,pred_all,18,1.0,1.0,0,140,140,0,1.0,0.0,140,0
current_reference,train,pred_all,19,1.0,1.0,0,132,132,0,1.0,0.0,132,0
current_reference,train,pred_all,20,1.0,1.0,0,224,224,0,1.0,0.0,224,0
current_reference,train,pred_all,21,0.9947368421052631,0.9973614775725593,0,189,190,1,0.9947368421052631,0.0,190,0
current_reference,train,pred_all,22,0.9911504424778761,0.9955555555555555,0,224,226,2,0.9911504424778761,0.0,226,0
current_reference,train,pred_all,23,1.0,1.0,0,238,238,0,1.0,0.0,238,0
current_reference,train,pred_all,24,1.0,1.0,0,210,210,0,1.0,0.0,210,0
current_reference,train,pred_all,25,0.9696969696969697,0.9846153846153847,0,224,231,7,0.9696969696969697,0.0,231,0
