run,split,variant,samples,polygon_iou_mean,polygon_iou_min,polygon_dice_mean,zero_iou_count,area_diff_mean,area_abs_diff_mean,pred_x_bin_acc,pred_y_bin_acc
current_reference,train,pred_all,30,0.9955975439231561,0.9696969696969697,0.9977805662516648,0,0.43333333333333335,0.6333333333333333,1.0,1.0
current_reference,train,gt_center_bin,30,0.9955975439231561,0.9696969696969697,0.9977805662516648,0,0.43333333333333335,0.6333333333333333,1.0,1.0
current_reference,train,gt_offset,30,0.9983902886300253,0.9866666666666667,0.9991914130888084,0,0.06666666666666667,0.2,1.0,1.0
current_reference,train,gt_center_bin_offset,30,0.9983902886300253,0.9866666666666667,0.9991914130888084,0,0.06666666666666667,0.2,1.0,1.0
current_reference,train,gt_local,30,0.9980456081505514,0.9891304347826086,0.9990184609383322,0,-0.1,0.3,1.0,1.0
current_reference,train,gt_center_bin_offset_local,30,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0
current_reference,val,pred_all,10,0.03724452744060587,0.0,0.06103905728896465,8,-70.1,91.3,0.23076923076923078,0.23076923076923078
current_reference,val,gt_center_bin,10,0.2738935146418652,0.03333333333333333,0.36462918320997706,0,-70.1,91.3,0.23076923076923078,0.23076923076923078
current_reference,val,gt_offset,10,0.056345607277886435,0.0,0.09134220826582483,7,-66.1,93.1,0.23076923076923078,0.23076923076923078
current_reference,val,gt_center_bin_offset,10,0.45077805188000103,0.10267857142857142,0.5704507220177597,0,-66.1,93.1,0.23076923076923078,0.23076923076923078
current_reference,val,gt_local,10,0.05847127990474884,0.0,0.09317981315761559,7,-12.5,17.9,0.23076923076923078,0.23076923076923078
current_reference,val,gt_center_bin_offset_local,10,1.0,1.0,1.0,0,0.0,0.0,0.23076923076923078,0.23076923076923078
current_reference,test,pred_all,10,0.07236842105263158,0.0,0.08396946564885496,9,-56.2,74.2,0.5833333333333334,0.08333333333333333
current_reference,test,gt_center_bin,10,0.3466780371291923,0.0,0.4399138204637129,1,-56.2,74.2,0.5833333333333334,0.08333333333333333
current_reference,test,gt_offset,10,0.075,0.0,0.08571428571428572,9,-60.2,78.2,0.5833333333333334,0.08333333333333333
current_reference,test,gt_center_bin_offset,10,0.4385024574105696,0.06666666666666667,0.5675075180315833,0,-60.2,78.2,0.5833333333333334,0.08333333333333333
current_reference,test,gt_local,10,0.09598522167487684,0.0,0.09938711694809256,8,-4.7,15.9,0.5833333333333334,0.08333333333333333
current_reference,test,gt_center_bin_offset_local,10,1.0,1.0,1.0,0,0.0,0.0,0.5833333333333334,0.08333333333333333
