run,split,variant,sample_index,component_slot,presence_true,presence_pred,type_true,type_pred,true_center_x_bin,pred_center_x_bin,true_center_y_bin,pred_center_y_bin,x_bin_correct,y_bin_correct,both_bins_correct,center_offset_mae,local_vertex_mae_grid
current_reference,train,pred_component_diagnostics,0,0,1.0,1.0,1,1,7,7,5,5,1,1,1,0.0024353195411785933,0.0011936724185943604
current_reference,train,pred_component_diagnostics,0,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,0,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,1,0,1.0,1.0,0,0,14,14,6,6,1,1,1,0.002090260356066298,0.004816383123397827
current_reference,train,pred_component_diagnostics,1,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,1,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,2,0,1.0,1.0,1,1,3,3,3,3,1,1,1,0.002548960707587089,0.01612342894077301
current_reference,train,pred_component_diagnostics,2,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,2,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,3,0,1.0,1.0,1,1,10,10,3,3,1,1,1,0.002884002452804353,0.007029339671134949
current_reference,train,pred_component_diagnostics,3,1,0.0,0.0,-1,0,0,19,0,3,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,3,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,4,0,1.0,1.0,0,0,17,17,4,4,1,1,1,0.0023052224925899645,0.0019765645265579224
current_reference,train,pred_component_diagnostics,4,1,0.0,0.0,-1,0,0,8,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,4,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,5,0,1.0,1.0,1,1,6,6,4,4,1,1,1,0.0023522102727274383,0.009290099143981934
current_reference,train,pred_component_diagnostics,5,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,5,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,6,0,1.0,1.0,1,1,6,6,3,3,1,1,1,0.0020507669535872186,0.004853174090385437
current_reference,train,pred_component_diagnostics,6,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,6,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,7,0,1.0,1.0,1,1,15,15,4,4,1,1,1,0.002145974146340157,0.008525669574737549
current_reference,train,pred_component_diagnostics,7,1,1.0,1.0,0,0,17,17,5,5,1,1,1,0.0004348250532922454,0.007886484265327454
current_reference,train,pred_component_diagnostics,7,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,8,0,1.0,1.0,1,1,12,12,6,6,1,1,1,0.0029224950058758525,0.015507519245147705
current_reference,train,pred_component_diagnostics,8,1,0.0,0.0,-1,0,0,16,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,8,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,9,0,1.0,1.0,1,1,15,15,5,5,1,1,1,0.0022527349429762034,0.008337587118148804
current_reference,train,pred_component_diagnostics,9,1,1.0,1.0,0,0,17,17,6,6,1,1,1,0.000653892814102372,0.007887959480285645
current_reference,train,pred_component_diagnostics,9,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,10,0,1.0,1.0,1,1,9,9,4,4,1,1,1,0.0020777415551878897,0.006895005702972412
current_reference,train,pred_component_diagnostics,10,1,1.0,1.0,0,0,11,11,5,5,1,1,1,0.00024215600465553322,0.006466329097747803
current_reference,train,pred_component_diagnostics,10,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,11,0,1.0,1.0,1,1,14,14,6,6,1,1,1,0.0029775789828221377,0.019394725561141968
current_reference,train,pred_component_diagnostics,11,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,11,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,12,0,1.0,1.0,1,1,15,15,5,5,1,1,1,0.0015429381615980758,0.00818374752998352
current_reference,train,pred_component_diagnostics,12,1,1.0,1.0,0,0,17,17,5,5,1,1,1,0.00013154590331347638,0.006120249629020691
current_reference,train,pred_component_diagnostics,12,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,13,0,1.0,1.0,1,1,15,15,6,6,1,1,1,0.0018548471510109674,0.006297022104263306
current_reference,train,pred_component_diagnostics,13,1,1.0,1.0,0,0,16,16,7,7,1,1,1,0.0003457280747669808,0.004499152302742004
current_reference,train,pred_component_diagnostics,13,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,14,0,1.0,1.0,1,1,5,5,7,7,1,1,1,0.001847434617946099,0.006805822253227234
current_reference,train,pred_component_diagnostics,14,1,1.0,1.0,0,0,7,7,7,7,1,1,1,0.0007792011993428688,0.005691245198249817
current_reference,train,pred_component_diagnostics,14,2,1.0,1.0,1,1,6,6,6,6,1,1,1,0.0003968036779740114,0.005334317684173584
current_reference,train,pred_component_diagnostics,15,0,1.0,1.0,1,1,6,6,8,8,1,1,1,0.0019977136811648866,0.00887589156627655
current_reference,train,pred_component_diagnostics,15,1,1.0,1.0,0,0,8,8,8,8,1,1,1,0.00047623328880119775,0.00837014615535736
current_reference,train,pred_component_diagnostics,15,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,16,0,1.0,1.0,1,1,16,16,3,3,1,1,1,0.0016517646303512434,0.0026630014181137085
current_reference,train,pred_component_diagnostics,16,1,1.0,1.0,0,0,19,19,3,3,1,1,1,0.00020917324145430793,0.0022993534803390503
current_reference,train,pred_component_diagnostics,16,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,17,0,1.0,1.0,1,1,11,11,2,2,1,1,1,0.0024943189425516016,0.013882353901863098
current_reference,train,pred_component_diagnostics,17,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,17,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,18,0,1.0,1.0,1,1,13,13,3,3,1,1,1,0.0031431745919899834,0.025594651699066162
current_reference,train,pred_component_diagnostics,18,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,18,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,19,0,1.0,1.0,1,1,13,13,8,8,1,1,1,0.0031416406731541446,0.022237345576286316
current_reference,train,pred_component_diagnostics,19,1,0.0,0.0,-1,0,0,11,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,19,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,20,0,1.0,1.0,0,0,20,20,7,7,1,1,1,0.0023807266680133804,0.011106103658676147
current_reference,train,pred_component_diagnostics,20,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,20,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,21,0,1.0,1.0,1,1,3,3,5,5,1,1,1,0.0028269729650123587,0.011566579341888428
current_reference,train,pred_component_diagnostics,21,1,0.0,0.0,-1,0,0,17,0,5,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,21,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,22,0,1.0,1.0,0,0,10,10,5,5,1,1,1,0.002874303681574479,0.011444538831710815
current_reference,train,pred_component_diagnostics,22,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,22,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,23,0,1.0,1.0,0,0,17,17,5,5,1,1,1,0.003259497684654458,0.008667796850204468
current_reference,train,pred_component_diagnostics,23,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,23,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,24,0,1.0,1.0,0,0,6,6,6,6,1,1,1,0.0031847510387139344,0.008639603853225708
current_reference,train,pred_component_diagnostics,24,1,0.0,0.0,-1,0,0,7,0,7,0,0,0,0.0,0.0
current_reference,train,pred_component_diagnostics,24,2,0.0,0.0,-1,1,0,6,0,6,0,0,0,0.0,0.0
