step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_y_bin_extra_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,center_consistency_loss,decoded_center_aux_loss,polygon_centroid_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_y_bin_extra_loss,weighted_center_offset_loss,weighted_local_vertex_loss,weighted_center_consistency_loss,weighted_decoded_center_aux_loss,weighted_polygon_centroid_aux_loss,local_shape_raw_abs_max,local_shape_effective_abs_max,local_shape_saturation_frac,inverse_route
1,17.434967041015625,0.6699011921882629,0.7437111735343933,2.898040294647217,3.2519173622131348,2.544163227081299,0.0,0.20513342320919037,9.220096588134766,0.0,0.0,194.03675842285156,0.0,-0.0,66.31393432617188,0.0,0.6699011921882629,0.7437111735343933,2.898040294647217,0.0,2.0513341426849365,9.220096588134766,-0.0,1.6578483581542969,0.0,0.1624198704957962,0.1624198704957962,0.0,component_query
1000,0.12365350872278214,0.0003379349655006081,1.311301275563892e-06,6.53836686979048e-05,9.655486064730212e-05,3.421248038648628e-05,-0.0,0.006889821961522102,0.04827266186475754,-0.0,-0.0,3.828601121902466,-0.0,-0.0,0.0899757519364357,-0.0,0.0003379349655006081,1.311301275563892e-06,6.53836686979048e-05,-0.0,0.06889821588993073,0.04827266186475754,-0.0,0.0022493938449770212,-0.0,15.380151748657227,15.380151748657227,0.0,component_query
2000,0.0199025459587574,6.727792788296938e-05,3.576278118089249e-07,1.1980447197856847e-05,1.7404405298293568e-05,6.556489552167477e-06,-0.0,0.0013826466165482998,0.004124077502638102,-0.0,-0.0,0.9847442507743835,-0.0,-0.0,0.035505641251802444,-0.0,6.727792788296938e-05,3.576278118089249e-07,1.1980447197856847e-05,-0.0,0.013826466165482998,0.004124077502638102,-0.0,0.0008876410429365933,-0.0,15.474371910095215,15.474371910095215,0.0,component_query
3000,0.014690753072500229,3.4303597203688696e-05,2.3841855067985307e-07,7.271735285030445e-06,1.0490362910786644e-05,4.0531076592742465e-06,-0.0,0.0007798330625519156,0.005089732352644205,-0.0,-0.0,1.1519043445587158,-0.0,-0.0,0.02435886114835739,-0.0,3.4303597203688696e-05,2.3841855067985307e-07,7.271735285030445e-06,-0.0,0.0077983308583498,0.005089732352644205,-0.0,0.0006089715170674026,-0.0,15.470515251159668,15.470515251159668,0.0,component_query
4000,0.05080288648605347,2.6180290660704486e-05,2.3841855067985307e-07,7.867776730563492e-06,1.1086402082582936e-05,4.6491513785440475e-06,-0.0,0.00469101220369339,0.0014761211350560188,-0.0,-0.0,1.0012543201446533,-0.0,-0.0,0.055244080722332,-0.0,2.6180290660704486e-05,2.3841855067985307e-07,7.867776730563492e-06,-0.0,0.0469101220369339,0.0014761211350560188,-0.0,0.0013811020180583,-0.0,15.536260604858398,15.536260604858398,0.0,component_query
5000,0.007891345769166946,1.3906420463172253e-05,1.1920928244535389e-07,3.814688625425333e-06,5.364403477869928e-06,2.264974000354414e-06,-0.0,0.000724446028470993,1.5189332771115005e-05,-0.0,-0.0,0.03713637590408325,-0.0,-0.0,0.023068783804774284,-0.0,1.3906420463172253e-05,1.1920928244535389e-07,3.814688625425333e-06,-0.0,0.00724446028470993,1.5189332771115005e-05,-0.0,0.0005767195834778249,-0.0,15.515937805175781,15.515937805175781,0.0,component_query
6000,0.010538333095610142,1.3363419384404551e-05,2.3841855067985307e-07,5.245192824077094e-06,7.271740287251305e-06,3.2186455882765586e-06,-0.0,0.0005361493676900864,0.0037752215284854174,-0.0,-0.0,0.9697601199150085,-0.0,-0.0,0.016520436853170395,-0.0,1.3363419384404551e-05,2.3841855067985307e-07,5.245192824077094e-06,-0.0,0.005361493676900864,0.0037752215284854174,-0.0,0.0004130109155084938,-0.0,15.475923538208008,15.475923538208008,0.0,component_query
7000,0.0051893736235797405,6.691358521493385e-06,1.1920928244535389e-07,2.384182607784169e-06,3.3378546504536644e-06,1.4305104514278355e-06,-0.0,0.0002252865378977731,0.001942565431818366,-0.0,-0.0,0.7349883913993835,-0.0,-0.0,0.0099903903901577,-0.0,6.691358521493385e-06,1.1920928244535389e-07,2.384182607784169e-06,-0.0,0.0022528653498739004,0.001942565431818366,-0.0,0.0002497597597539425,-0.0,15.540847778320312,15.540847778320312,0.0,component_query
8000,0.362924724817276,9.136811968346592e-06,5.960462772236497e-07,6.6160910137114115e-06,8.821448318485636e-06,4.410734163684538e-06,-0.0,0.03485582396388054,0.005766185466200113,-0.0,-0.0,0.9543182253837585,-0.0,-0.0,0.30518364906311035,-0.0,9.136811968346592e-06,5.960462772236497e-07,6.6160910137114115e-06,-0.0,0.348558247089386,0.005766185466200113,-0.0,0.007629591505974531,-0.0,15.568615913391113,15.568615913391113,0.0,component_query
9000,0.007226322311908007,4.772816737386165e-06,3.576278118089249e-07,2.622600504764705e-06,3.576272320060525e-06,1.6689286894688848e-06,-0.0,0.00038285297341644764,0.002317205537110567,-0.0,-0.0,0.741198718547821,-0.0,-0.0,0.013265407644212246,-0.0,4.772816737386165e-06,3.576278118089249e-07,2.622600504764705e-06,-0.0,0.0038285297341644764,0.002317205537110567,-0.0,0.0003316352085676044,-0.0,15.484100341796875,15.484100341796875,0.0,component_query
10000,0.007552775088697672,2.2341876046994003e-06,1.1920928244535389e-07,1.2516966307885014e-06,1.6689286894688848e-06,8.344646857949556e-07,-0.0,0.0004489994316827506,0.0019555489998310804,-0.0,-0.0,0.6817657351493835,-0.0,-0.0,0.016874445602297783,-0.0,2.2341876046994003e-06,1.1920928244535389e-07,1.2516966307885014e-06,-0.0,0.004489994142204523,0.0019555489998310804,-0.0,0.00042186115751974285,-0.0,15.541616439819336,15.541616439819336,0.0,component_query
