step,loss,presence_loss,type_loss,vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_vertex_loss,weighted_center_aux_loss,weighted_box_aux_loss,weighted_area_aux_loss,weighted_edge_aux_loss
1,3.880586624145508,0.6529503464698792,0.6908663511276245,0.05073539540171623,0.0,0.0,0.0,0.0,0.6529503464698792,0.6908663511276245,2.5367698669433594,0.0,0.0,0.0,0.0
500,0.006424492225050926,0.0030487419571727514,0.0006790239713154733,5.3934523748466745e-05,-0.0,-0.0,-0.0,-0.0,0.0030487419571727514,0.0006790239713154733,0.0026967262383550406,-0.0,-0.0,-0.0,-0.0
1000,0.0020208507776260376,0.00140605797059834,0.00033480284037068486,5.5998016250669025e-06,-0.0,-0.0,-0.0,-0.0,0.00140605797059834,0.00033480284037068486,0.00027999008307233453,-0.0,-0.0,-0.0,-0.0
1500,0.003654584987089038,0.001189879490993917,0.0003197873884346336,4.2898362153209746e-05,-0.0,-0.0,-0.0,-0.0,0.001189879490993917,0.0003197873884346336,0.002144918078556657,-0.0,-0.0,-0.0,-0.0
2000,0.0006748109008185565,0.0005355391185730696,0.00012838016846217215,2.17832479165736e-07,-0.0,-0.0,-0.0,-0.0,0.0005355391185730696,0.00012838016846217215,1.0891623787756544e-05,-0.0,-0.0,-0.0,-0.0
2500,0.0010710207279771566,0.0007342117605730891,0.0002033503697020933,2.6691720904636895e-06,-0.0,-0.0,-0.0,-0.0,0.0007342117605730891,0.0002033503697020933,0.0001334585977019742,-0.0,-0.0,-0.0,-0.0
3000,0.0003205170505680144,0.00026099037495441735,5.495397272170521e-05,9.145429658019566e-08,-0.0,-0.0,-0.0,-0.0,0.00026099037495441735,5.495397272170521e-05,4.572714715322945e-06,-0.0,-0.0,-0.0,-0.0
3500,0.0012674013851210475,0.0006554836290888488,0.00018225439998786896,8.59326701174723e-06,-0.0,-0.0,-0.0,-0.0,0.0006554836290888488,0.00018225439998786896,0.0004296633414924145,-0.0,-0.0,-0.0,-0.0
4000,0.0020686013158410788,0.000817367690615356,0.0002397011558059603,2.0230650989105925e-05,-0.0,-0.0,-0.0,-0.0,0.000817367690615356,0.0002397011558059603,0.001011532498523593,-0.0,-0.0,-0.0,-0.0
4500,0.003129697171971202,0.000338985410053283,8.904537389753386e-05,5.403332761488855e-05,-0.0,-0.0,-0.0,-0.0,0.000338985410053283,8.904537389753386e-05,0.0027016664389520884,-0.0,-0.0,-0.0,-0.0
5000,0.0009206332033500075,0.00036606256617233157,9.83428253675811e-05,9.124556527240202e-06,-0.0,-0.0,-0.0,-0.0,0.00036606256617233157,9.83428253675811e-05,0.0004562278336379677,-0.0,-0.0,-0.0,-0.0
5500,0.0005809362046420574,0.0003985629591625184,8.83301836438477e-05,1.880861873360118e-06,-0.0,-0.0,-0.0,-0.0,0.0003985629591625184,8.83301836438477e-05,9.404309093952179e-05,-0.0,-0.0,-0.0,-0.0
6000,0.00030817644437775016,0.00022165573318488896,4.792098479811102e-05,7.719945074313728e-07,-0.0,-0.0,-0.0,-0.0,0.00022165573318488896,4.792098479811102e-05,3.859972639475018e-05,-0.0,-0.0,-0.0,-0.0
6500,0.0005382222589105368,0.00031128310365602374,7.664863369427621e-05,3.0058099582674913e-06,-0.0,-0.0,-0.0,-0.0,0.00031128310365602374,7.664863369427621e-05,0.00015029049245640635,-0.0,-0.0,-0.0,-0.0
7000,0.03685572370886803,3.5451237636152655e-05,6.437280717364047e-06,0.0007362767355516553,-0.0,-0.0,-0.0,-0.0,3.5451237636152655e-05,6.437280717364047e-06,0.03681383654475212,-0.0,-0.0,-0.0,-0.0
7500,0.00024486862821504474,0.00016639730893075466,4.362964682513848e-05,6.968335242163448e-07,-0.0,-0.0,-0.0,-0.0,0.00016639730893075466,4.362964682513848e-05,3.48416760971304e-05,-0.0,-0.0,-0.0,-0.0
8000,0.00014453689800575376,7.427919626934454e-05,1.7523612768854946e-05,1.054681774803612e-06,-0.0,-0.0,-0.0,-0.0,7.427919626934454e-05,1.7523612768854946e-05,5.273408896755427e-05,-0.0,-0.0,-0.0,-0.0
8500,5.4334072046913207e-05,4.4413180148694664e-05,9.894321920000948e-06,5.314468864980881e-10,-0.0,-0.0,-0.0,-0.0,4.4413180148694664e-05,9.894321920000948e-06,2.6572344324904407e-08,-0.0,-0.0,-0.0,-0.0
9000,4.727229315903969e-05,3.8437974581029266e-05,8.821448318485636e-06,2.574087054618701e-10,-0.0,-0.0,-0.0,-0.0,3.8437974581029266e-05,8.821448318485636e-06,1.2870435384115808e-08,-0.0,-0.0,-0.0,-0.0
9500,0.00010174617636948824,4.1145540308207273e-05,9.775113539944869e-06,1.0165105095438776e-06,-0.0,-0.0,-0.0,-0.0,4.1145540308207273e-05,9.775113539944869e-06,5.08255252498202e-05,-0.0,-0.0,-0.0,-0.0
10000,2.2848063963465393e-05,1.8792143237078562e-05,4.0531076592742465e-06,5.6242222684632637e-11,-0.0,-0.0,-0.0,-0.0,1.8792143237078562e-05,4.0531076592742465e-06,2.8121112105594648e-09,-0.0,-0.0,-0.0,-0.0
