step,loss,presence_loss,type_loss,vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_vertex_loss,weighted_center_aux_loss,weighted_box_aux_loss,weighted_area_aux_loss,weighted_edge_aux_loss
1,3.6428022384643555,0.6571346521377563,0.7076365351676941,0.045560624450445175,0.0,0.0,0.0,0.0,0.6571346521377563,0.7076365351676941,2.27803111076355,0.0,0.0,0.0,0.0
500,0.0072756861336529255,0.002623251173645258,0.0001747560891089961,8.955357770901173e-05,0.0,0.0,0.0,0.0,0.002623251173645258,0.0001747560891089961,0.004477678798139095,0.0,0.0,0.0,0.0
1000,0.007917966693639755,0.0011875650379806757,0.0001274219830520451,0.00013205960567574948,0.0,0.0,0.0,0.0,0.0011875650379806757,0.0001274219830520451,0.006602980196475983,0.0,0.0,0.0,0.0
1500,0.0007287716725841165,0.0005602267920039594,6.227502308320254e-05,2.1253968043311033e-06,0.0,0.0,0.0,0.0,0.0005602267920039594,6.227502308320254e-05,0.00010626984294503927,0.0,0.0,0.0,0.0
2000,0.0009177649044431746,0.0006456863484345376,0.00010329401993658394,3.375690084794769e-06,0.0,0.0,0.0,0.0,0.0006456863484345376,0.00010329401993658394,0.00016878450696822256,0.0,0.0,0.0,0.0
2500,0.02427665889263153,0.00026897279894910753,4.010404882137664e-05,0.0004793516709469259,0.0,0.0,0.0,0.0,0.00026897279894910753,4.010404882137664e-05,0.02396758273243904,0.0,0.0,0.0,0.0
3000,0.011859310790896416,0.00019028162932954729,2.8967138860025443e-05,0.0002328012342331931,0.0,0.0,0.0,0.0,0.00019028162932954729,2.8967138860025443e-05,0.011640061624348164,0.0,0.0,0.0,0.0
3500,0.00023967141169123352,0.00020388452685438097,3.354790169396438e-05,4.4779675079098524e-08,0.0,0.0,0.0,0.0,0.00020388452685438097,3.354790169396438e-05,2.2389838250092e-06,0.0,0.0,0.0,0.0
4000,0.0002586262999102473,0.00019446652731858194,3.388840923435055e-05,6.054269761079922e-07,0.0,0.0,0.0,0.0,0.00019446652731858194,3.388840923435055e-05,3.027134880539961e-05,0.0,0.0,0.0,0.0
4500,0.0001285137695958838,0.00010862702038139105,1.8477103367331438e-05,2.8192946643912364e-08,0.0,0.0,0.0,0.0,0.00010862702038139105,1.8477103367331438e-05,1.4096473250901909e-06,0.0,0.0,0.0,0.0
5000,0.0011218655854463577,0.00012022105511277914,2.3619879357283935e-05,1.956049345608335e-05,0.0,0.0,0.0,0.0,0.00012022105511277914,2.3619879357283935e-05,0.0009780246764421463,0.0,0.0,0.0,0.0
5500,9.983994823414832e-05,8.254608110291883e-05,1.4696582184114959e-05,5.1945612256076856e-08,0.0,0.0,0.0,0.0,8.254608110291883e-05,1.4696582184114959e-05,2.5972806270146975e-06,0.0,0.0,0.0,0.0
6000,0.0002665583451744169,0.00015060337318573147,2.760467214102391e-05,1.7670057559371344e-06,0.0,0.0,0.0,0.0,0.00015060337318573147,2.760467214102391e-05,8.835028711473569e-05,0.0,0.0,0.0,0.0
6500,5.420726301963441e-05,4.697371332440525e-05,7.220627594506368e-06,2.584113756309847e-10,0.0,0.0,0.0,0.0,4.697371332440525e-05,7.220627594506368e-06,1.2920568615015782e-08,0.0,0.0,0.0,0.0
7000,5.5040833103703335e-05,3.610512794693932e-05,4.8534989218751434e-06,2.816440769493056e-07,0.0,0.0,0.0,0.0,3.610512794693932e-05,4.8534989218751434e-06,1.4082203961152118e-05,0.0,0.0,0.0,0.0
7500,2.663982922967989e-05,2.2699525288771838e-05,3.5422058317635674e-06,7.96196264474247e-09,0.0,0.0,0.0,0.0,2.2699525288771838e-05,3.5422058317635674e-06,3.9809813756619405e-07,0.0,0.0,0.0,0.0
8000,5.1863156841136515e-05,4.112022725166753e-05,8.378630809602328e-06,4.728602576165031e-08,0.0,0.0,0.0,0.0,4.112022725166753e-05,8.378630809602328e-06,2.364301280977088e-06,0.0,0.0,0.0,0.0
8500,0.001016080379486084,2.5629879019106738e-05,5.040822088631103e-06,1.9708195395651273e-05,0.0,0.0,0.0,0.0,2.5629879019106738e-05,5.040822088631103e-06,0.0009854097152128816,0.0,0.0,0.0,0.0
9000,4.7885343519737944e-05,3.845574610750191e-05,7.0503238021046855e-06,4.758549465577744e-08,0.0,0.0,0.0,0.0,3.845574610750191e-05,7.0503238021046855e-06,2.3792747469997266e-06,0.0,0.0,0.0,0.0
9500,2.7409179892856628e-05,2.2656695364275947e-05,4.121216079511214e-06,1.2625373635444248e-08,0.0,0.0,0.0,0.0,2.2656695364275947e-05,4.121216079511214e-06,6.312686764431419e-07,0.0,0.0,0.0,0.0
10000,3.6467419704422355e-05,3.259422010160051e-05,3.5762677725870162e-06,5.938663338866945e-09,0.0,0.0,0.0,0.0,3.259422010160051e-05,3.5762677725870162e-06,2.9693316605516884e-07,0.0,0.0,0.0,0.0
