sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count
0,0.9947368421052631,0.9973614775725593,189,190,1,1
1,1.0,1.0,184,184,2,2
2,1.0,1.0,76,76,1,1
3,1.0,1.0,102,102,2,2
4,0.9854014598540146,0.9926470588235294,137,135,1,1
