split,is_true_multi_component,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,x_bin_acc_mean,x_bin_acc_min,x_bin_acc_max,y_bin_acc_mean,y_bin_acc_min,y_bin_acc_max,center_grid_error_mean_mean,center_grid_error_mean_min,center_grid_error_mean_max,local_vertex_grid_mae_mean_mean,local_vertex_grid_mae_mean_min,local_vertex_grid_mae_mean_max,zero_iou_rate,any_x_bin_wrong_rate,any_y_bin_wrong_rate
test,False,8,8,0.09046052631578948,0.0,0.7236842105263158,0.75,0.0,1.0,0.125,0.0,1.0,13.368757723079494,0.39264503979354287,41.116213833513584,3.43758076406084,0.5113641023635864,8.491919159889221,0.875,0.25,0.875
test,True,2,2,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,19.05421645247754,16.956576098317232,21.15185680663785,2.035066776908934,1.05689138174057,3.013242172077298,1.0,1.0,1.0
train,False,22,22,0.9951625170642189,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03839055944925838,0.028515210709704336,0.048257063699533656,0.01159913566979495,0.0011936724185943604,0.025594651699066162,0.0,0.0,0.0
train,True,8,8,0.9967938677852338,0.9876543209876543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016301525624493374,0.01277230359806283,0.02181966656629672,0.006574699344734351,0.0024811774492263794,0.008623018860816956,0.0,0.0,0.0
val,False,7,7,0.0532064677722941,0.0,0.2716049382716049,0.42857142857142855,0.0,1.0,0.2857142857142857,0.0,1.0,18.341689098008967,6.269797698659477,32.036007976528936,4.57488858753017,0.17650526762008667,8.135985884815454,0.7142857142857143,0.5714285714285714,0.7142857142857143
val,True,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,25.715636130701586,9.01101021630846,46.07097115009797,2.624838515650481,1.400829330086708,3.837088353931904,1.0,1.0,1.0
