split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,pred_area,target_area,area_diff,pred_component_count,true_component_count,out_of_grid_vertex_count,x_bin_acc,y_bin_acc,both_bin_acc,all_x_bins_correct,all_y_bins_correct,all_bins_correct,any_x_bin_wrong,any_y_bin_wrong,any_bin_wrong,presence_correct,present_type_correct,center_offset_error_mean,center_grid_error_mean,local_vertex_grid_mae_mean,local_vertex_grid_max_error,decoded_vertex_mae_mean,is_true_rotated,is_true_multi_component,type_true_values,type_pred_values,true_center_bin_pairs,pred_center_bin_pairs
val,0,bins_correct_center_or_offset_bad,1,0.0,True,110,71,39,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,0.3350684642791748,30.52548019558419,0.7731305509805679,1.0749835968017578,0.003942275885492563,True,False,1,0,19:3,20:7
val,2,both_bins_wrong_like,1,0.0,True,97,84,13,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.11861895769834518,6.269797698659477,0.9177088141441345,1.8494091033935547,0.0009475061669945717,True,False,1,1,10:4,10:3
val,3,both_bins_wrong_like,2,0.0,True,33,152,-119,1,2,0,0.0,0.0,0.0,False,False,False,True,True,True,False,True,0.28753305971622467,46.07097115009797,3.837088353931904,17.05053472518921,0.010075151454657316,True,True,1;0,1;0,13:4;15:5,9:5;7:7
val,4,geometry_or_type_interaction,2,0.0,True,34,102,-68,2,2,0,0.0,0.5,0.0,False,False,False,True,True,True,True,True,0.2101663053035736,9.01101021630846,2.636597862932831,8.97688764333725,0.0019206521101295948,True,True,1;0,1;0,14:5;16:6,15:5;17:5
val,5,geometry_or_type_interaction,2,0.0,True,49,102,-53,2,2,0,0.0,0.0,0.0,False,False,False,True,True,True,True,True,0.3092954158782959,22.06492702569834,1.400829330086708,2.533022880554199,0.003220479702576995,True,True,1;0,1;0,5:4;8:5,6:7;7:7
val,6,rare_y_bin_wrong,1,0.0,True,140,140,0,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.014206528663635254,32.036007976528936,0.17650526762008667,0.3899545669555664,0.0032943920232355595,True,False,1,1,13:4,13:8
val,7,x_bin_wrong_like,1,0.0,True,46,202,-156,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.33458518981933594,12.050173476097347,8.054928556084633,20.94210195541382,0.0038659023120999336,True,False,1,1,13:6,13:8
val,8,x_bin_wrong_like,1,0.0,True,27,224,-197,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,0.23136882483959198,28.546388072468186,8.135985884815454,19.421442985534668,0.005506540182977915,False,False,0,1,12:5,11:2
test,0,bins_correct_center_or_offset_bad,1,0.0,True,119,61,58,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,True,0.1708235740661621,41.116213833513584,2.7549529671669006,5.454860687255859,0.005306274630129337,True,False,1,1,12:3,13:8
test,2,both_bins_wrong_like,1,0.0,True,120,88,32,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.019923552870750427,8.155211122672586,0.8019540905952454,1.2614450454711914,0.0010615474311634898,True,False,1,1,12:7,12:6
test,3,both_bins_wrong_like,1,0.0,True,53,96,-43,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,False,0.44765159487724304,5.51037340914005,1.6006580740213394,3.091054916381836,0.0011266943765804172,True,False,1,0,10:6,10:7
test,4,geometry_or_type_interaction,2,0.0,True,101,109,-8,1,2,0,0.5,0.0,0.0,False,False,False,True,True,True,False,True,0.21546795964241028,16.956576098317232,1.05689138174057,2.73256778717041,0.002300129854120314,True,True,1;0,1;0,14:4;16:3,14:6;17:5
