split,is_true_rotated,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,x_bin_acc_mean,x_bin_acc_min,x_bin_acc_max,y_bin_acc_mean,y_bin_acc_min,y_bin_acc_max,center_grid_error_mean_mean,center_grid_error_mean_min,center_grid_error_mean_max,local_vertex_grid_mae_mean_mean,local_vertex_grid_mae_mean_min,local_vertex_grid_mae_mean_max,zero_iou_rate,any_x_bin_wrong_rate,any_y_bin_wrong_rate
test,False,3,3,0.2412280701754386,0.0,0.7236842105263158,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1.0,10.66117761174908,0.39264503979354287,15.809381132147037,2.685002083579699,0.5113641023635864,6.189236685633659,0.6666666666666666,0.3333333333333333,0.6666666666666666
test,True,7,7,0.0,0.0,0.0,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,16.15356597919197,5.51037340914005,41.116213833513584,3.3593962022236417,0.8019540905952454,8.491919159889221,1.0,0.42857142857142855,1.0
train,False,9,9,0.9956497124638718,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03694455205851241,0.028515210709704336,0.04473953051453927,0.009358050094710456,0.0019765645265579224,0.014755725860595703,0.0,0.0,0.0
train,True,21,21,0.9955751859771352,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030595406873953315,0.01277230359806283,0.048257063699533656,0.010645529935284266,0.0011936724185943604,0.025594651699066162,0.0,0.0,0.0
val,False,2,2,0.05042016806722689,0.0,0.10084033613445378,0.0,0.0,0.0,0.5,0.0,1.0,18.070162182527653,7.593936292587121,28.546388072468186,7.173843527212739,6.2117011696100235,8.135985884815454,0.5,1.0,0.5
val,True,8,8,0.033950617283950615,0.0,0.2716049382716049,0.375,0.0,1.0,0.1875,0.0,1.0,21.174800964139028,6.269797698659477,46.07097115009797,3.1938810756546445,0.17650526762008667,8.054928556084633,0.875,0.625,0.875
