split,hard_case_type,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,x_bin_acc_mean,x_bin_acc_min,x_bin_acc_max,y_bin_acc_mean,y_bin_acc_min,y_bin_acc_max,center_grid_error_mean_mean,center_grid_error_mean_min,center_grid_error_mean_max,local_vertex_grid_mae_mean_mean,local_vertex_grid_mae_mean_min,local_vertex_grid_mae_mean_max,area_diff_mean,area_diff_min,area_diff_max,zero_iou_rate,any_x_bin_wrong_rate,any_y_bin_wrong_rate,presence_correct_rate,present_type_correct_rate
test,bins_correct_center_or_offset_bad,2,2,0.3618421052631579,0.0,0.7236842105263158,0.5,0.0,1.0,0.5,0.0,1.0,20.754429436653563,0.39264503979354287,41.116213833513584,1.6331585347652435,0.5113641023635864,2.7549529671669006,18.5,-21.0,58.0,0.5,0.5,0.5,1.0,1.0
test,both_bins_wrong_like,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.832792265906319,5.51037340914005,8.155211122672586,1.2013060823082924,0.8019540905952454,1.6006580740213394,-5.5,-43.0,32.0,1.0,0.0,1.0,1.0,0.5
test,geometry_or_type_interaction,2,2,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,19.05421645247754,16.956576098317232,21.15185680663785,2.035066776908934,1.05689138174057,3.013242172077298,-53.0,-98.0,-8.0,1.0,1.0,1.0,0.0,1.0
test,rare_y_bin_wrong,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.056086588130961,6.056086588130961,6.056086588130961,5.796155570074916,5.796155570074916,5.796155570074916,-96.0,-96.0,-96.0,1.0,0.0,1.0,1.0,1.0
test,x_bin_wrong_like,3,3,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,15.23984393046174,14.128643995931531,15.809381132147037,5.3451871027549105,1.3544054627418518,8.491919159889221,-128.66666666666666,-201.0,-28.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666
train,bins_correct_center_or_offset_bad,7,7,0.9953583116275964,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033246569070191356,0.028515210709704336,0.03824324284564676,0.00646895170211792,0.0011936724185943604,0.01612342894077301,-0.14285714285714285,-2.0,1.0,0.0,0.0,0.0,1.0,1.0
train,both_bins_wrong_like,5,5,0.9962886281726862,0.9876543209876543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02635779297299918,0.0175889261849763,0.037426841291935624,0.011580352485179902,0.006680667400360107,0.019394725561141968,0.6,0.0,2.0,0.0,0.0,0.0,1.0,1.0
train,geometry_or_type_interaction,5,5,0.9985815602836879,0.9929078014184397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014497114921722887,0.01277230359806283,0.016632020978584752,0.005919615427652994,0.0024811774492263794,0.008623018860816956,0.2,0.0,1.0,0.0,0.0,0.0,1.0,1.0
train,rare_y_bin_wrong,3,3,0.9975669099756691,0.9927007299270073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04514588819414903,0.0397546901685261,0.048257063699533656,0.020571450392405193,0.013882353901863098,0.025594651699066162,-0.3333333333333333,-1.0,0.0,0.0,0.0,0.0,1.0,1.0
train,x_bin_wrong_like,10,10,0.9933366464092634,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04025663253322345,0.03294997534404528,0.04473953051453927,0.011328172683715821,0.008639603853225708,0.014755725860595703,1.1,0.0,7.0,0.0,0.0,0.0,1.0,1.0
val,bins_correct_center_or_offset_bad,2,2,0.13580246913580246,0.0,0.2716049382716049,0.0,0.0,0.0,0.5,0.0,1.0,20.947760084860853,11.370039974137518,30.52548019558419,4.26369521021843,0.7731305509805679,7.754259869456291,46.5,39.0,54.0,0.5,1.0,0.5,1.0,0.0
val,both_bins_wrong_like,2,2,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,26.17038442437872,6.269797698659477,46.07097115009797,2.377398584038019,0.9177088141441345,3.837088353931904,-53.0,-119.0,13.0,1.0,0.5,1.0,0.5,1.0
val,geometry_or_type_interaction,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,15.5379686210034,9.01101021630846,22.06492702569834,2.0187135965097696,1.400829330086708,2.636597862932831,-60.5,-68.0,-53.0,1.0,1.0,1.0,1.0,1.0
val,rare_y_bin_wrong,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32.036007976528936,32.036007976528936,32.036007976528936,0.17650526762008667,0.17650526762008667,0.17650526762008667,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
val,x_bin_wrong_like,3,3,0.03361344537815126,0.0,0.10084033613445378,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,16.063499280384217,7.593936292587121,28.546388072468186,7.467538536836703,6.2117011696100235,8.135985884815454,-189.0,-214.0,-156.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
