split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,pred_area,target_area,area_diff,pred_component_count,true_component_count,out_of_grid_vertex_count,x_bin_acc,y_bin_acc,both_bin_acc,all_x_bins_correct,all_y_bins_correct,all_bins_correct,any_x_bin_wrong,any_y_bin_wrong,any_bin_wrong,presence_correct,present_type_correct,center_offset_error_mean,center_grid_error_mean,local_vertex_grid_mae_mean,local_vertex_grid_max_error,decoded_vertex_mae_mean,is_true_rotated,is_true_multi_component,type_true_values,type_pred_values,true_center_bin_pairs,pred_center_bin_pairs
train,0,bins_correct_center_or_offset_bad,1,1.0,False,63,63,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0024352818727493286,0.03283960628125341,0.0011936724185943604,0.0023134946823120117,7.130631729523884e-06,True,False,1,1,7:5,7:5
train,1,bins_correct_center_or_offset_bad,1,1.0,False,63,63,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0020903274416923523,0.028515210709704336,0.004816383123397827,0.010716438293457031,6.200889401952736e-06,False,False,0,0,14:6,14:6
train,2,bins_correct_center_or_offset_bad,1,0.9782608695652174,False,90,92,-2,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0025489330291748047,0.036579394230328056,0.01612342894077301,0.030481338500976562,7.838476449251175e-06,True,False,1,1,3:3,3:3
train,3,bins_correct_center_or_offset_bad,1,0.989247311827957,False,93,92,1,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002884022891521454,0.03824324284564676,0.007029339671134949,0.013345718383789062,8.341452485183254e-06,True,False,1,1,10:3,10:3
train,4,bins_correct_center_or_offset_bad,1,1.0,False,57,57,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0023051798343658447,0.028899607886267973,0.0019765645265579224,0.003224015235900879,6.456131814047694e-06,False,False,0,0,17:4,17:4
train,5,bins_correct_center_or_offset_bad,1,1.0,False,63,63,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002352416515350342,0.03590442029871912,0.009290099143981934,0.0171356201171875,7.5097777880728245e-06,True,False,1,1,6:4,6:4
train,6,bins_correct_center_or_offset_bad,1,1.0,False,74,74,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002050831913948059,0.03174450123941986,0.004853174090385437,0.010155677795410156,6.582791684195399e-06,True,False,1,1,6:3,6:3
train,7,both_bins_wrong_like,2,0.9876543209876543,False,162,160,2,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0012904629111289978,0.018518037636059546,0.008206076920032501,0.016594886779785156,4.640580300474539e-06,True,True,1;0,1;0,15:4;17:5,15:4;17:5
train,8,both_bins_wrong_like,1,1.0,False,120,120,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0029224753379821777,0.036435493185727696,0.015507519245147705,0.029938697814941406,8.142662409227341e-06,True,False,1,1,12:6,12:6
train,9,both_bins_wrong_like,2,1.0,False,184,184,0,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0014533661305904388,0.02181966656629672,0.008112773299217224,0.01566314697265625,4.93987454319722e-06,True,True,1;0,1;0,15:5;17:6,15:5;17:6
train,10,both_bins_wrong_like,2,0.9937888198757764,False,161,160,1,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0011599883437156677,0.0175889261849763,0.006680667400360107,0.01323699951171875,4.4294556573731825e-06,True,True,1;0,1;0,9:4;11:5,9:4;11:5
train,11,both_bins_wrong_like,1,1.0,False,120,120,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0029775500297546387,0.037426841291935624,0.019394725561141968,0.054282188415527344,1.034591332427226e-05,True,False,1,1,14:6,14:6
train,12,geometry_or_type_interaction,2,1.0,False,105,105,0,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0008372459560632706,0.01277230359806283,0.007151998579502106,0.01604175567626953,3.7025056371930987e-06,True,True,1;0,1;0,15:5;17:5,15:5;17:5
train,13,geometry_or_type_interaction,2,1.0,False,120,120,0,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0011002272367477417,0.01572533412608538,0.005398087203502655,0.013388633728027344,3.7570498534478247e-06,True,True,1;0,1;0,15:6;16:7,15:6;16:7
train,14,geometry_or_type_interaction,3,0.9929078014184397,False,141,140,1,3,3,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0010078462461630504,0.013256561766046393,0.005943795045216878,0.011682510375976562,3.3167501290639243e-06,True,True,1;0;1,1;0;1,5:7;7:7;6:6,5:7;7:7;6:6
train,15,geometry_or_type_interaction,2,1.0,False,105,105,0,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.00123697891831398,0.016632020978584752,0.008623018860816956,0.015089035034179688,4.510162398219109e-06,True,True,1;0,1;0,6:8;8:8,6:8;8:8
train,16,geometry_or_type_interaction,2,1.0,False,105,105,0,2,2,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0009304769337177277,0.014099354139835077,0.0024811774492263794,0.006198883056640625,3.137654857710004e-06,True,True,1;0,1;0,16:3;19:3,16:3;19:3
train,17,rare_y_bin_wrong,1,0.9927007299270073,False,136,137,-1,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0024942494928836823,0.0397546901685261,0.013882353901863098,0.028985023498535156,8.360366337001324e-06,True,False,1,1,11:2,11:2
train,18,rare_y_bin_wrong,1,1.0,False,140,140,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0031430721282958984,0.048257063699533656,0.025594651699066162,0.048858642578125,1.048613921739161e-05,True,False,1,1,13:3,13:3
train,19,rare_y_bin_wrong,1,1.0,False,132,132,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.003141731023788452,0.047425910714387336,0.022237345576286316,0.04188060760498047,1.014611916616559e-05,True,False,1,1,13:8,13:8
train,20,x_bin_wrong_like,1,1.0,False,224,224,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002380780875682831,0.03294997534404528,0.011106103658676147,0.0181121826171875,7.15086207492277e-06,False,False,0,0,20:7,20:7
train,21,x_bin_wrong_like,1,0.9947368421052631,False,190,189,1,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002827165648341179,0.04190439916873603,0.011566579341888428,0.01946258544921875,9.003750164993107e-06,True,False,1,1,3:5,3:5
train,22,x_bin_wrong_like,1,0.9911504424778761,False,226,224,2,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002874329686164856,0.03951190028429718,0.011444538831710815,0.019311904907226562,8.580527719459496e-06,False,False,0,0,10:5,10:5
train,23,x_bin_wrong_like,1,1.0,False,238,238,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.003259371966123581,0.04279559695562999,0.008667796850204468,0.013927459716796875,9.370527550345287e-06,False,False,0,0,17:5,17:5
train,24,x_bin_wrong_like,1,1.0,False,210,210,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.003184627741575241,0.04473953051453927,0.008639603853225708,0.013673782348632812,9.532610420137644e-06,False,False,0,0,6:6,6:6
train,25,x_bin_wrong_like,1,0.9696969696969697,False,231,224,7,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.003281187266111374,0.04273950264285778,0.014755725860595703,0.025012969970703125,9.411822247784585e-06,False,False,0,0,20:6,20:6
train,26,x_bin_wrong_like,1,1.0,False,204,204,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.002525651827454567,0.03431894967635547,0.010590285062789917,0.018701553344726562,7.441260095220059e-06,False,False,0,0,9:7,9:7
