split,sample_index,component_slot,type_true,rotation_true,rotation_bin,target_area_bin,center_x_true,center_x_pred,center_y_true,center_y_pred,center_x_error_abs,center_y_error_abs,center_error_l2,center_x_error_grid,center_y_error_grid,center_error_grid_l2,center_x_error_axis_relative,center_y_error_axis_relative,center_error_axis_relative_l2,axis_x_true,axis_y_true,pred_mask_iou,oracle_mask_iou,oracle_gap,target_area
train,0,0,rectangular_notch,0.0,0-5,small,-0.010499999858438969,-0.011080333963036537,-0.003000000026077032,-0.002982882084324956,0.0005803341045975685,1.711794175207615e-05,0.0005805865111151731,1.443581117453004,0.08473381356672526,1.4460657875174365,0.13189411539594756,0.0034235884269383943,0.13193854112349657,0.004399999976158142,0.004999999888241291,0.7474931631722881,0.8097014925373134,0.062208329365025294,964.0
train,0,1,rectangular_notch,0.0,0-5,small,0.0,-2.0988281903555617e-05,0.0044999998062849045,0.004450477194041014,2.0988281903555617e-05,4.952261224389076e-05,5.378658848376498e-05,0.05220835240204221,0.24513693608649678,0.25063485291238136,0.004372558522222035,0.009170853881355715,0.010159912841330566,0.004800000227987766,0.005400000140070915,0.7474931631722881,0.8097014925373134,0.062208329365025294,964.0
train,0,2,rectangular_notch,0.0,0-5,small,0.010499999858438969,0.011022227816283703,-0.003000000026077032,-0.0030574568081647158,0.0005222279578447342,5.745678208768368e-05,0.0005253792171018501,1.2990420741746294,0.2844110776911172,1.3298120061081362,0.10042845315828051,0.009906341865238425,0.10091585511165191,0.005200000014156103,0.005799999926239252,0.7474931631722881,0.8097014925373134,0.062208329365025294,964.0
train,1,0,rectangular_notch,0.0,0-5,medium,-0.013000000268220901,-0.012969919480383396,-0.004600000102072954,-0.004586465656757355,3.008078783750534e-05,1.3534445315599442e-05,3.298537565233964e-05,0.0748259614182851,0.06699550580968348,0.10043566249528114,0.00578476687607992,0.0023335250840899996,0.006237697261703927,0.005200000014156103,0.005799999926239252,0.8442906574394463,0.8530183727034121,0.008727715263965763,1092.0
train,1,1,rectangular_notch,0.0,0-5,medium,0.0007999999797903001,0.0007442551432177424,0.004999999888241291,0.0050668856129050255,5.574483657255769e-05,6.688572466373444e-05,8.707001187719029e-05,0.13866528407364787,0.33108434448579727,0.3589497237369261,0.010720160850154228,0.012386244986811437,0.01638111453859263,0.005200000014156103,0.005400000140070915,0.8442906574394463,0.8530183727034121,0.008727715263965763,1092.0
train,1,2,rectangular_notch,0.0,0-5,medium,0.014600000344216824,0.014285009354352951,-0.004600000102072954,-0.004554056096822023,0.00031499098986387253,4.5944005250930786e-05,0.00031832400995513956,0.783540104799869,0.2274228310754038,0.8158775888110553,0.06057519019353152,0.009188801255571871,0.061268162494862825,0.005200000014156103,0.004999999888241291,0.8442906574394463,0.8530183727034121,0.008727715263965763,1092.0
train,2,0,rectangular_notch,0.0,0-5,large,-0.01979999989271164,-0.019885895773768425,0.004600000102072954,0.004462244920432568,8.589588105678558e-05,0.00013775518164038658,0.00016234097588500987,0.2136660089045616,0.6818881643613017,0.7145800389440149,0.021473969244237587,0.02087199733133748,0.02994614545649942,0.004000000189989805,0.006599999964237213,0.6907993966817496,0.6790214974054856,-0.011777899276264048,1128.0
train,2,1,rectangular_notch,0.0,0-5,large,-0.0007999999797903001,-0.0009498281287960708,-0.00570000009611249,-0.005739210639148951,0.00014982814900577068,3.9210543036460876e-05,0.000154873951714643,0.3726975289822935,0.19409219236877992,0.42020855208815894,0.02675502756215996,0.007261211485069692,0.02772285504927022,0.00559999980032444,0.005400000140070915,0.6907993966817496,0.6790214974054856,-0.011777899276264048,1128.0
train,2,2,rectangular_notch,0.0,0-5,large,0.018200000748038292,0.017954733222723007,0.004600000102072954,0.004624685738235712,0.00024526752531528473,2.4685636162757874e-05,0.00024650667254061073,0.6101029828586351,0.12219390173689802,0.6222194141255082,0.047166831662997344,0.0037402479237150853,0.04731489684714935,0.005200000014156103,0.006599999964237213,0.6907993966817496,0.6790214974054856,-0.011777899276264048,1128.0
train,3,0,rectangular_notch,0.0,0-5,small,-0.00930000003427267,-0.009853358380496502,-0.003100000089034438,-0.003130001714453101,0.0005533583462238312,3.0001625418663025e-05,0.0005541710537941649,1.3764789169984815,0.14850804914179555,1.3844669911562408,0.1152829833209836,0.0060003252178503245,0.1154390321602973,0.004800000227987766,0.004999999888241291,0.7230483271375465,0.7844254510921178,0.06137712395457129,932.0
