split,center_error_metric,mask_metric,pearson,spearman,samples
train,center_l2_grid_mae,pred_mask_iou,-0.23435482912327363,-0.1747014701470147,100
train,center_axis_relative_l2_mae,pred_mask_iou,-0.22691036403610113,-0.1588958895889589,100
