group_by,group_value,count,center_x_grid_mae,center_y_grid_mae,center_l2_grid_mae,center_x_axis_relative_mae,center_y_axis_relative_mae,center_axis_relative_l2_mae,mask_iou_mean
component_slot,0,100,0.834899686544754,0.32942786245259337,0.9570624279600963,0.07048840538206524,0.01159307336911703,0.07296916229794687,0.6980715694294751
component_slot,1,100,0.8385514137967124,0.4155037298072964,1.0031105882954132,0.0714123199935308,0.014269111804554636,0.07470755906328631,0.6980715694294751
component_slot,2,100,0.7307018884800796,0.3469278077373909,0.8604982443770816,0.056490287604051795,0.01223758826710272,0.05930659829359742,0.6980715694294751
type_true,rectangular_notch,150,0.8834376312458486,0.3383020489655893,0.9985295618905832,0.07387287569346333,0.011807129620488743,0.07618224470948483,0.7045099405420217
type_true,rotated_rect,150,0.7193310279685157,0.3896042176992644,0.8819179451978107,0.05838779962630189,0.013592719340027516,0.06180663506040223,0.6916331983169286
rotation_bin,0-5,150,0.8834376312458486,0.3383020489655893,0.9985295618905832,0.07387287569346333,0.011807129620488743,0.07618224470948483,0.7045099405420217
rotation_bin,10-20,25,0.714473180613725,0.4417561717351415,0.9030075821444942,0.06110583797728487,0.015115192524654568,0.0649343288119155,0.7220893073463014
rotation_bin,20-30,26,0.867698247007948,0.4753417087974323,1.0737821788109465,0.07473268655768231,0.017439772373278074,0.07905791931114366,0.6874700358983212
rotation_bin,5-10,99,0.681592628865935,0.3539176154826049,0.8262036926967138,0.05340882973750932,0.012197919254369022,0.05648617309770416,0.6850356174800544
target_area_bin,large,99,0.7217497712000627,0.35136878344495853,0.8582967578771418,0.058080476801578844,0.011363663024289684,0.06063064282222675,0.6519101185487772
target_area_bin,medium,96,0.8049744326965249,0.3610834079827199,0.9394789157802749,0.06553799241310176,0.012892640997862333,0.06837614341503569,0.7295352704313992
target_area_bin,small,105,0.8731859618522096,0.3784421264032005,1.0181502011287205,0.07426177926619723,0.013783630179790245,0.07744560531656366,0.7128284107723742
