sample_index,polygon_mask_iou,polygon_dice,target_area,pred_area,true_component_count,pred_component_count,out_of_grid_vertex_count
0,1.0,1.0,63,63,1,1,0
1,1.0,1.0,63,63,1,1,0
2,0.9456521739130435,0.9720670391061452,92,87,1,1,0
3,0.92,0.9583333333333334,92,100,1,1,0
4,1.0,1.0,57,57,1,1,0
5,1.0,1.0,63,63,1,1,0
6,0.8181818181818182,0.9,74,66,1,1,0
7,0.9876543209876543,0.9937888198757764,160,162,2,2,0
8,1.0,1.0,120,120,1,1,0
9,1.0,1.0,184,184,2,2,0
10,0.963855421686747,0.9815950920245399,160,166,2,2,0
11,1.0,1.0,120,120,1,1,0
12,0.9813084112149533,0.9905660377358491,105,107,2,2,0
13,1.0,1.0,120,120,2,2,0
14,0.9785714285714285,0.9891696750902527,140,137,3,3,0
15,1.0,1.0,105,105,2,2,0
16,1.0,1.0,105,105,2,2,0
17,0.9637681159420289,0.981549815498155,137,134,1,1,0
18,1.0,1.0,140,140,1,1,0
19,0.9481481481481482,0.973384030418251,132,131,1,1,0
20,1.0,1.0,224,224,1,1,0
21,0.9792746113989638,0.9895287958115183,189,193,1,1,0
22,0.8571428571428571,0.9230769230769231,224,192,1,1,0
23,1.0,1.0,238,238,1,1,0
24,1.0,1.0,210,210,1,1,0
25,1.0,1.0,224,224,1,1,0
26,1.0,1.0,204,204,1,1,0
27,0.9827586206896551,0.991304347826087,228,232,1,1,0
28,1.0,1.0,210,210,1,1,0
29,1.0,1.0,217,217,1,1,0
