split,sample_index,hard_case_type,defect_type,component_type_combination,true_rotated,true_multi_component,component_count,center_x,center_y,axis_x,axis_y,rotation_angle,polygon_area_sum,polygon_area_max,polygon_signed_area_flip_count,bbox_width,bbox_height,orientation_deg,vertex_x_min,vertex_x_max,vertex_y_min,vertex_y_max,signal_std_mean,signal_std_min,signal_std_max,signal_peak_to_peak_mean,signal_peak_to_peak_min,signal_peak_to_peak_max,lift_off_std_ratio_last_first
train,0,x_bin_wrong_like,rotated_rect,rotated_rect,True,False,1,-0.0289054159687,-0.00156,0.0124444444444,0.00126666666667,0.5,1.5762962962980906e-05,1.5762962962980906e-05,0,0.0124734468958,0.0013073422682040002,91.3331265514629,-0.0351421394166,-0.0226686925208,-0.0022136711341,-0.000906328865896,2.5198702692700064e-06,2.43645611705297e-06,2.5657965753279835e-06,1.3734035746892914e-05,1.1971249023190467e-05,1.4647529951616889e-05,0.9495905250171752
train,1,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,-0.00655365717476,-0.00104,0.0129777777778,0.00136,0.0,1.7649777777843632e-05,1.7649777777843632e-05,0,0.0129777777778262,0.0013599999999999999,90.0,-0.0130425460637,-6.47682858738e-05,-0.00172,-0.00036,2.5385766492320477e-06,2.4892188780858827e-06,2.6057449171337385e-06,1.0053995310954633e-05,1.0005482181441039e-05,1.0092805837302876e-05,0.955281102811847
train,2,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,0.0161197096594,-0.00052,0.0135111111111,0.00145333333333,0.0,1.9636148148254203e-05,1.9636148148254203e-05,0,0.01351111111115,0.001453333333337,90.0,0.00936415410385,0.022875265215,-0.00124666666667,0.000206666666667,2.6310520380902018e-06,2.5907491535044584e-06,2.6869997822704285e-06,1.3615447339058543e-05,1.2932046956848353e-05,1.4927876691217534e-05,0.9641791453050876
train,3,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,-0.0194179787828,0.0,0.0140444444444,0.00126666666667,0.0,1.778962962956397e-05,1.778962962956397e-05,0,0.0140444444444,0.001266666666666,90.0,-0.026440201005,-0.0123957565606,-0.000633333333333,0.000633333333333,2.7501040905825778e-06,2.6502710714646497e-06,2.8115871268750176e-06,1.797342141192833e-05,1.57338949975383e-05,1.910017181216972e-05,0.9426245575431749
train,4,x_bin_wrong_like,rotated_rect,rotated_rect,True,False,1,0.00325538805138,0.00052,0.0124444444444,0.00136,1.0,1.6924444444423958e-05,1.6924444444423958e-05,0,0.012505843155960001,0.0014412374287830002,92.66501390107383,-0.00299753352661,0.00950830962935,-0.000200618714393,0.00124061871439,2.227214191489133e-06,2.214698038594704e-06,2.237288171147298e-06,9.795975756787811e-06,9.72528528109251e-06,9.852528137344052e-06,0.989902895458921
train,5,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,0.0256071468453,0.00104,0.0129777777778,0.00145333333333,0.0,1.8861037037116925e-05,1.8861037037116925e-05,0,0.0129777777778,0.0014533333333370002,90.0,0.0191182579564,0.0320960357342,0.000313333333333,0.00176666666667,2.4664499027294967e-06,2.4024025115527444e-06,2.574054858124596e-06,1.4198017197486479e-05,1.1564658052520826e-05,1.9339714981470024e-05,0.9333144178998135
train,6,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,-0.00960893355662,0.00156,0.0135111111111,0.00126666666667,0.0,1.7114074073985124e-05,1.7114074073985124e-05,0,0.013511111111079999,0.001266666666663,90.0,-0.0163644891122,-0.00285337800112,0.000926666666667,0.00219333333333,2.820801245242108e-06,2.7684092800629975e-06,2.8494921624676792e-06,1.7291960527169675e-05,1.7226318959728815e-05,1.734447414492024e-05,0.9715447954296307
train,7,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,0.0127428252373,-0.00156,0.0140444444444,0.00136,0.0,1.9100444444411196e-05,1.9100444444411196e-05,0,0.01404444444442,0.0013599999999999997,90.0,0.00572060301508,0.0197650474595,-0.00224,-0.00088,2.9032830443346154e-06,2.893411171757535e-06,2.9176462310385103e-06,2.0007291216946516e-05,1.9989299289591145e-05,2.0021684576931875e-05,0.9916936265188159
train,8,x_bin_wrong_like,rotated_rect,rotated_rect,True,False,1,-0.0224732551647,-0.00104,0.0124444444444,0.00145333333333,1.0,1.808592592597472e-05,1.808592592597472e-05,0,0.012510186866,0.0015345565470010001,92.66501390002588,-0.0287283485977,-0.0162181617317,-0.0018072782735,-0.000272721726499,2.1515125796017975e-06,2.1404739063592102e-06,2.1573934641193333e-06,9.89037539511628e-06,9.837492598308017e-06,9.932681678037625e-06,0.9924900614366006
train,9,x_bin_wrong_like,rectangular_notch,rectangular_notch,False,False,1,-0.000121496370667,-0.00052,0.0129777777778,0.00126666666667,0.0,1.6438518518473747e-05,1.6438518518473747e-05,0,0.01297777777778,0.001266666666663,90.0,-0.00661038525963,0.00636739251815,-0.00115333333333,0.000113333333333,2.6094033409355295e-06,2.587272672273839e-06,2.6308228621897743e-06,1.0716589144976751e-05,1.0639780271048949e-05,1.0778036312331096e-05,0.9834461717123417
