split,hard_case_type,sample_count,center_x_mean,center_x_min,center_x_max,center_y_mean,center_y_min,center_y_max,axis_x_mean,axis_x_min,axis_x_max,axis_y_mean,axis_y_min,axis_y_max,polygon_area_sum_mean,polygon_area_sum_min,polygon_area_sum_max,bbox_width_mean,bbox_width_min,bbox_width_max,bbox_height_mean,bbox_height_min,bbox_height_max,signal_std_mean_mean,signal_std_mean_min,signal_std_mean_max,signal_peak_to_peak_mean_mean,signal_peak_to_peak_mean_min,signal_peak_to_peak_mean_max,true_rotated_rate,true_multi_component_rate
test,bins_correct_center_or_offset_bad,2,0.01267046342818,0.00141418202116,0.0239267448352,-0.004483333333334999,-0.0048,-0.00416666666667,0.008044444444445,0.00782222222222,0.00826666666667,0.0007133333333335,0.00068,0.000746666666667,5.745777777758038e-06,5.319111111110121e-06,6.172444444405955e-06,0.00806865457692,0.00784528787344,0.008292021280399998,0.0007527591669750002,0.0007183378897600004,0.0007871804441900001,1.904579368502823e-06,1.5087464063535984e-06,2.3004123306520477e-06,1.2435587109393964e-05,1.1983172877686835e-05,1.2888001341101093e-05,1.0,0.0
test,both_bins_wrong_like,2,0.005146621998955,-0.00127749860409,0.011570742602,-0.000191414141435,-0.0014575757576,0.00107474747473,0.0119111111111,0.0096,0.0142222222222,0.0015666666666665002,0.000933333333333,0.0022,1.0832592592561671e-05,8.960000000000905e-06,1.2705185185122436e-05,0.011922109686604999,0.009615024548,0.01422919482521,0.0015829435555695,0.0009553069312279999,0.002210580179911,1.6645681435624532e-06,9.036393606803743e-07,2.425496926444532e-06,7.873030779611176e-06,4.2688977307155556e-06,1.1477163828506795e-05,1.0,0.5
test,geometry_or_type_interaction,2,0.01186666666665,0.0103288888889,0.0134044444444,-0.00215,-0.00314666666667,-0.00115333333333,0.0144,0.0133333333333,0.0154666666667,0.00161333333333,0.00161333333333,0.00161333333333,8.5333333333642e-06,8.533333333353644e-06,8.533333333374755e-06,0.0144108499445,0.01334418327779,0.015477516611210001,0.00163163135196,0.00163163135196,0.00163163135196,9.215895786257152e-07,8.576248991766862e-07,9.855542580747443e-07,7.654644643177258e-06,7.464095081862372e-06,7.845194204492145e-06,1.0,1.0
test,rare_y_bin_wrong,1,0.0048,0.0048,0.0048,-0.00333333333333,-0.00333333333333,-0.00333333333333,0.0114666666667,0.0114666666667,0.0114666666667,0.000913333333333,0.000913333333333,0.000913333333333,1.0472888888917005e-05,1.0472888888917005e-05,1.0472888888917005e-05,0.011497564726765,0.011497564726765,0.011497564726765,0.0009695403468100001,0.0009695403468100001,0.0009695403468100001,2.656155404279e-06,2.656155404279e-06,2.656155404279e-06,1.824379705794854e-05,1.824379705794854e-05,1.824379705794854e-05,1.0,0.0
test,x_bin_wrong_like,3,0.0064178671133533335,-0.00960893355662,0.0256071468453,0.0003466666666666666,-0.00156,0.00156,0.012977777777766666,0.0124444444444,0.0135111111111,0.00136,0.00126666666667,0.00145333333333,1.7633185185175336e-05,1.692444444442396e-05,1.886103703711692e-05,0.012998244014946666,0.012505843155960001,0.013511111111079999,0.0013870791429276667,0.001266666666663,0.0014533333333370002,2.4558994006841587e-06,2.3735439667913336e-06,2.579941671399521e-06,1.5110367712622974e-05,1.2679306564677972e-05,1.922459371902126e-05,0.3333333333333333,0.0
train,bins_correct_center_or_offset_bad,7,-0.0027207784956457142,-0.0275305415969,0.0207106644332,-0.002357142857142857,-0.0048,0.000266666666667,0.008520634920635714,0.00782222222222,0.0096,0.0007085714285712858,0.000613333333333,0.000813333333333,6.059851851852823e-06,4.797629629589922e-06,7.808000000015879e-06,0.008538391166832858,0.0078222222222,0.00962756742311,0.0007387572851673712,0.0006133333333300001,0.0008603861971499998,2.2904521430690582e-06,1.8812946691239357e-06,2.8338078829486984e-06,1.3545680822008286e-05,1.0067376365441305e-05,1.9352382726841217e-05,0.7142857142857143,0.0
train,both_bins_wrong_like,5,0.0003879843663020001,-0.00772573981013,0.011570742602,-0.00011046464646800001,-0.003018989899,0.00269090909093,0.011128888888884001,0.00853333333333,0.0144,0.0013933333333325999,0.0008,0.00223333333333,9.851259259234457e-06,6.826666666618635e-06,1.3653333333313369e-05,0.011139209379082,0.00854256049533,0.014407512274,0.0014089018678917998,0.00081395497428,0.00224432013228,1.7504201413379186e-06,8.464929858350137e-07,2.5571246514287323e-06,8.467646632899968e-06,3.7240758173166335e-06,1.1325031778142147e-05,1.0,0.4
train,geometry_or_type_interaction,5,1.5999999987999226e-05,-0.0187555555556,0.01296,0.0014575111111046599,1.33333333333e-05,0.00399333333333,0.014151111111120001,0.0117333333333,0.0154666666667,0.0016733333333300003,0.00141333333333,0.00211333333333,9.087999999994606e-06,8.53333333333423e-06,1.1306666666567704e-05,0.014160528630448,0.01173702115198,0.0154775166112,0.0016918063297467999,0.0014194389201660001,0.002144698672694,1.176683766388674e-06,7.190346622825203e-07,1.519687945146373e-06,8.734727521186869e-06,5.370587283929733e-06,1.266717314744407e-05,1.0,1.0
train,rare_y_bin_wrong,3,0.0010666666666666665,-0.00266666666667,0.0048,-0.0033117845117800002,-0.00656565656565,0.0015797979798,0.011614814814833334,0.0110222222222,0.0123555555556,0.0009133333333330001,0.000833333333333,0.000993333333333,1.0584493827167857e-05,1.0066962962953018e-05,1.1390222222194135e-05,0.011645700182667333,0.011053158358919998,0.01238358501529,0.0009702675465600002,0.0008939103991300002,0.00104953349301,2.4778626349589465e-06,2.395534281927406e-06,2.621968517809208e-06,1.1556711481514665e-05,1.0459684631314303e-05,1.2804004957918854e-05,1.0,0.0
train,x_bin_wrong_like,10,-0.0029355667224867004,-0.0289054159687,0.0256071468453,-0.000312,-0.00156,0.00156,0.013137777777760002,0.0124444444444,0.0140444444444,0.0013506666666670002,0.00126666666667,0.00145333333333,1.773629629630284e-05,1.5762962962980906e-05,1.9636148148254203e-05,0.01315339213622162,0.0124734468958,0.01404444444442,0.0013709802910654,0.001266666666663,0.0015345565470010001,2.5618267351507514e-06,2.1515125796017975e-06,2.9032830443346154e-06,1.3727710904731793e-05,9.795975756787811e-06,2.0007291216946516e-05,0.3,0.0
