sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
386,per_sample_zscore,film,1.0,7,7,296.58868408203125,4.519133567810059
387,per_sample_zscore,film,1.0,4,4,115.84020233154297,2.2274930477142334
388,per_sample_zscore,film,1.0,4,4,282.9751281738281,5.924459457397461
389,per_sample_zscore,film,0.0,0,6,30361.154296875,32.51405334472656
390,per_sample_zscore,film,1.0,5,5,494.256103515625,9.774608612060547
391,per_sample_zscore,film,1.0,3,3,244.4686737060547,3.149047613143921
392,per_sample_zscore,film,1.0,12,12,861.103271484375,9.881176948547363
393,per_sample_zscore,film,1.0,5,5,224.60328674316406,3.571303606033325
394,per_sample_zscore,film,1.0,7,7,771.641845703125,11.96867561340332
395,per_sample_zscore,film,1.0,7,7,1908.0699462890625,16.054410934448242
396,per_sample_zscore,film,1.0,8,8,1168.164794921875,14.238105773925781
397,per_sample_zscore,film,1.0,5,5,551.1793212890625,8.050576210021973
398,per_sample_zscore,film,1.0,9,9,690.2511596679688,10.668078422546387
399,per_sample_zscore,film,1.0,14,14,1362.1689453125,16.378271102905273
400,per_sample_zscore,film,1.0,7,7,608.0040893554688,7.5522141456604
401,per_sample_zscore,film,1.0,3,3,138.77841186523438,2.722900629043579
402,per_sample_zscore,film,1.0,16,16,453.2167053222656,6.709768772125244
403,per_sample_zscore,film,1.0,6,6,706.4698486328125,10.682019233703613
404,per_sample_zscore,film,1.0,6,6,455.71917724609375,5.9424214363098145
405,per_sample_zscore,film,1.0,7,7,759.2800903320312,9.036347389221191
406,per_sample_zscore,film,1.0,13,13,172.44912719726562,3.2797374725341797
407,per_sample_zscore,film,1.0,14,14,831.6046752929688,10.879883766174316
408,per_sample_zscore,film,1.0,7,7,730.5086669921875,8.94929313659668
409,per_sample_zscore,film,1.0,6,6,482.1483154296875,6.997682094573975
410,per_sample_zscore,film,1.0,13,13,416.5745849609375,6.491568088531494
411,per_sample_zscore,film,1.0,10,10,333.1679992675781,5.81219482421875
412,per_sample_zscore,film,1.0,4,4,163.5561065673828,2.8769779205322266
413,per_sample_zscore,film,1.0,9,9,411.1724853515625,6.436014175415039
414,per_sample_zscore,film,1.0,6,6,395.68011474609375,7.021902561187744
415,per_sample_zscore,film,0.0,0,6,29934.962890625,30.067338943481445
416,per_sample_zscore,film,1.0,5,5,319.5795593261719,4.1542487144470215
417,per_sample_zscore,film,1.0,10,10,902.779296875,11.31551742553711
418,per_sample_zscore,film,1.0,5,5,166.91226196289062,2.9659295082092285
419,per_sample_zscore,film,1.0,3,3,85.82382202148438,2.1812703609466553
420,per_sample_zscore,film,1.0,9,9,243.22637939453125,4.556387424468994
421,per_sample_zscore,film,1.0,9,9,601.9205932617188,8.044633865356445
422,per_sample_zscore,film,1.0,8,8,212.94546508789062,4.560276031494141
423,per_sample_zscore,film,1.0,9,9,355.25799560546875,4.712085723876953
424,per_sample_zscore,film,1.0,13,13,646.033447265625,6.561978816986084
425,per_sample_zscore,film,1.0,9,9,2307.5986328125,27.949573516845703
426,per_sample_zscore,film,1.0,9,9,248.5738525390625,3.7031381130218506
427,per_sample_zscore,film,1.0,4,4,116.91301727294922,3.3190548419952393
428,per_sample_zscore,film,1.0,9,9,596.0547485351562,7.537621974945068
429,per_sample_zscore,film,1.0,11,11,341.1014099121094,4.766265869140625
430,per_sample_zscore,film,1.0,8,8,562.7967529296875,7.598939895629883
431,per_sample_zscore,film,1.0,6,6,879.3760375976562,10.025607109069824
432,per_sample_zscore,film,1.0,4,4,48.362308502197266,1.8168433904647827
433,per_sample_zscore,film,1.0,9,9,930.1239624023438,10.691754341125488
434,per_sample_zscore,film,1.0,9,9,563.1053466796875,7.583123207092285
435,per_sample_zscore,film,1.0,4,4,190.62522888183594,4.686083793640137
436,per_sample_zscore,film,1.0,6,6,231.42724609375,4.738860607147217
437,per_sample_zscore,film,1.0,8,8,275.148193359375,4.604897499084473
438,per_sample_zscore,film,1.0,5,5,647.2208251953125,7.904542446136475
439,per_sample_zscore,film,1.0,10,10,1497.2042236328125,15.785135269165039
440,per_sample_zscore,film,1.0,6,6,180.1873016357422,3.4365346431732178
441,per_sample_zscore,film,1.0,8,8,484.54962158203125,6.246499538421631
442,per_sample_zscore,film,1.0,6,6,829.232666015625,13.950170516967773
443,per_sample_zscore,film,1.0,2,2,108.12059783935547,2.9061765670776367
444,per_sample_zscore,film,1.0,17,17,1299.5430908203125,12.884299278259277
445,per_sample_zscore,film,1.0,7,7,650.1521606445312,7.578959941864014
446,per_sample_zscore,film,1.0,6,6,1141.9425048828125,18.14946937561035
447,per_sample_zscore,film,1.0,6,6,118.2949447631836,2.112156629562378
448,per_sample_zscore,film,1.0,8,8,859.2432861328125,9.473367691040039
449,per_sample_zscore,film,1.0,15,15,263.118896484375,4.670426845550537
450,per_sample_zscore,film,1.0,10,10,716.868408203125,8.639762878417969
451,per_sample_zscore,film,1.0,9,9,787.1529541015625,10.429826736450195
452,per_sample_zscore,film,1.0,13,13,1210.10693359375,13.364585876464844
453,per_sample_zscore,film,1.0,12,12,1209.799560546875,14.722813606262207
454,per_sample_zscore,film,1.0,4,4,11.853821754455566,0.8316904306411743
455,per_sample_zscore,film,1.0,9,9,571.0138549804688,8.657413482666016
456,per_sample_zscore,film,1.0,5,5,726.0765380859375,8.757895469665527
457,per_sample_zscore,film,1.0,6,6,389.310791015625,8.058122634887695
458,per_sample_zscore,film,1.0,9,9,189.2541046142578,3.973067045211792
459,per_sample_zscore,film,0.0,0,4,20067.728515625,21.467756271362305
460,per_sample_zscore,film,1.0,3,3,170.67062377929688,4.092441082000732
461,per_sample_zscore,film,1.0,6,6,207.57017517089844,3.566779851913452
462,per_sample_zscore,film,1.0,6,6,745.7098999023438,9.863636016845703
463,per_sample_zscore,film,0.0,0,5,25412.365234375,29.46829605102539
464,per_sample_zscore,film,1.0,15,15,1081.5487060546875,11.24902629852295
465,per_sample_zscore,film,1.0,8,8,193.17918395996094,2.940977096557617
466,per_sample_zscore,film,1.0,6,6,848.8275146484375,13.975194931030273
467,per_sample_zscore,film,0.0,0,4,19961.017578125,20.15137481689453
468,per_sample_zscore,film,1.0,4,4,135.50137329101562,3.2195487022399902
469,per_sample_zscore,film,1.0,7,7,155.7740478515625,4.501737594604492
470,per_sample_zscore,film,1.0,4,4,208.6876220703125,3.9251999855041504
471,per_sample_zscore,film,1.0,14,14,1598.4693603515625,14.311960220336914
472,per_sample_zscore,film,1.0,6,6,393.1990661621094,4.994439125061035
473,per_sample_zscore,film,1.0,6,6,483.1949462890625,8.279012680053711
474,per_sample_zscore,film,1.0,10,10,737.1777954101562,8.68250846862793
475,per_sample_zscore,film,1.0,7,7,891.2430419921875,9.130448341369629
476,per_sample_zscore,film,1.0,12,12,965.352783203125,13.383332252502441
477,per_sample_zscore,film,1.0,19,19,934.38330078125,11.117016792297363
478,per_sample_zscore,film,1.0,4,4,106.60874938964844,2.4760947227478027
479,per_sample_zscore,film,1.0,14,14,556.5086059570312,9.316027641296387
