phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,batch_iou,batch_area_pred,batch_area_label,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
pretrain,1,1.284308910369873,0.45416897535324097,0.8301399946212769,214272.078125,0.05362533042501453,168.6999969482422,491.0799865722656,550.319091796875,485.9570617675781,631.143310546875,0.27989545464515686,bce,random,4096
pretrain,250,0.815476655960083,0.28251251578330994,0.5329641103744507,111231.8203125,0.36856261156153525,716.3800048828125,474.94000244140625,710.659423828125,274.5024719238281,974.5112915039062,0.17615295946598053,bce,random,4096
pretrain,500,0.651332437992096,0.2223447561264038,0.42898768186569214,83974.0234375,0.4771904299053118,570.6799926757812,494.7799987792969,761.850341796875,350.5909729003906,986.2529907226562,0.1461239904165268,bce,random,4096
pretrain,750,0.6293379068374634,0.22625507414340973,0.40308281779289246,81404.2265625,0.5093744390434086,619.0599975585938,492.8599853515625,766.9073486328125,317.808837890625,984.5556030273438,0.15448921918869019,bce,random,4096
pretrain,1000,0.6210251450538635,0.21624137461185455,0.40478378534317017,79105.0703125,0.5088972099128014,619.5,470.8800048828125,772.6356201171875,265.0169982910156,985.860107421875,0.15425820648670197,bce,random,4096
pretrain,1250,0.5970964431762695,0.20474132895469666,0.3923550844192505,73354.6484375,0.5235517675768198,556.5599975585938,488.9200134277344,790.3204956054688,226.3452606201172,988.9317016601562,0.14001673460006714,bce,random,4096
pretrain,1500,0.5939388275146484,0.2048218697309494,0.38911697268486023,75640.1328125,0.5318441021216251,576.6799926757812,490.9599914550781,782.2357177734375,152.64048767089844,990.0899047851562,0.14704489707946777,bce,random,4096
pretrain,1750,0.598196804523468,0.2139146775007248,0.3842821419239044,76778.3515625,0.5233276480963561,625.5800170898438,491.739990234375,775.66796875,101.45650482177734,992.0014038085938,0.162427619099617,bce,random,4096
pretrain,2000,0.583299994468689,0.19740928709506989,0.3858907222747803,73969.671875,0.5327340614840554,578.0999755859375,470.05999755859375,783.2723999023438,75.88340759277344,994.4421997070312,0.14851778745651245,bce,random,4096
finetune,1,7.7334747314453125,6.814563751220703,0.9189112186431885,691954.0625,0.04208251953125,3399.679931640625,207.08999633789062,204.4730987548828,42.80364227294922,962.29150390625,0.8302792906761169,bce,random,4096
finetune,250,1.1562303304672241,0.2216828465461731,0.934547483921051,155379.3125,0.0,0.0,233.38999938964844,624.0855712890625,619.2249145507812,628.3220825195312,0.07716967910528183,bce,random,4096
finetune,500,1.145294427871704,0.20552998781204224,0.9397644996643066,152369.046875,0.0,0.0,208.5800018310547,626.425537109375,617.4765014648438,632.0260009765625,0.07396265119314194,bce,random,4096
finetune,750,1.1476325988769531,0.2082110345363617,0.939421534538269,152032.875,0.0,0.0,213.4600067138672,627.42431640625,614.6917114257812,634.3211669921875,0.07272149622440338,bce,random,4096
finetune,1000,1.146472454071045,0.20840758085250854,0.9380648732185364,154409.625,0.0,0.0,211.02999877929688,623.4949340820312,616.0223388671875,632.5111083984375,0.07806655019521713,bce,random,4096
finetune,1250,1.1438628435134888,0.20619915425777435,0.937663733959198,157189.359375,0.0,0.0,201.22999572753906,618.43408203125,611.44775390625,634.890869140625,0.08595313876867294,bce,random,4096
finetune,1500,1.145857572555542,0.20819596946239471,0.9376615881919861,155327.59375,0.0,0.0,209.05999755859375,621.91845703125,616.601806640625,632.7453002929688,0.0804058238863945,bce,random,4096
finetune,1750,1.1510391235351562,0.21451309323310852,0.9365260601043701,154477.4375,0.0,0.0,221.8800048828125,624.3980712890625,615.1759643554688,630.0919189453125,0.07677140086889267,bce,random,4096
finetune,2000,1.1515274047851562,0.21707922220230103,0.9344482421875,157762.875,0.0,0.0,220.32000732421875,619.2731323242188,610.25146484375,640.7288208007812,0.08498334139585495,bce,random,4096
finetune,2250,1.1511701345443726,0.21093662083148956,0.9402334690093994,150064.109375,0.0,0.0,219.16000366210938,631.1253051757812,608.1995849609375,641.4498291015625,0.06837928295135498,bce,random,4096
finetune,2500,1.1520901918411255,0.21784217655658722,0.9342479705810547,157537.296875,0.0,0.0,222.4600067138672,619.7877197265625,606.6790161132812,639.4000244140625,0.08408022671937943,bce,random,4096
finetune,2750,1.1494622230529785,0.21296526491641998,0.9364969730377197,155131.484375,0.0,0.0,218.30999755859375,623.0414428710938,611.5623779296875,633.835205078125,0.07878251373767853,bce,random,4096
finetune,3000,1.1539356708526611,0.22121287882328033,0.932722806930542,158606.65625,0.0,0.0,227.64999389648438,618.5675048828125,605.7028198242188,632.4330444335938,0.08565834909677505,bce,random,4096
