sample_index,signal_normalization,conditioning_mode,encoder_type,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
908,per_sample_zscore,film,cnn,1.0,5,5,8.880142211914062,0.6281628608703613
909,per_sample_zscore,film,cnn,1.0,4,4,18.064743041992188,0.8086087107658386
910,per_sample_zscore,film,cnn,1.0,6,6,16.665725708007812,0.7288162112236023
911,per_sample_zscore,film,cnn,1.0,6,6,11.342096328735352,0.9392381310462952
912,per_sample_zscore,film,cnn,1.0,4,4,0.9816896319389343,0.37979668378829956
913,per_sample_zscore,film,cnn,1.0,8,8,20.13741683959961,0.8207461833953857
914,per_sample_zscore,film,cnn,1.0,10,10,106.19789123535156,2.4659242630004883
915,per_sample_zscore,film,cnn,1.0,3,3,10.398865699768066,0.7134726643562317
916,per_sample_zscore,film,cnn,1.0,10,10,104.22864532470703,2.489178419113159
917,per_sample_zscore,film,cnn,1.0,9,9,438.6097717285156,4.910822868347168
918,per_sample_zscore,film,cnn,1.0,15,15,555.2498168945312,8.240609169006348
919,per_sample_zscore,film,cnn,1.0,6,6,282.716064453125,3.406287431716919
920,per_sample_zscore,film,cnn,1.0,3,3,8.532064437866211,0.547101616859436
921,per_sample_zscore,film,cnn,1.0,6,6,197.72006225585938,3.3949530124664307
922,per_sample_zscore,film,cnn,1.0,8,8,516.6604614257812,5.960317611694336
923,per_sample_zscore,film,cnn,1.0,8,8,128.8671417236328,2.4345061779022217
924,per_sample_zscore,film,cnn,1.0,5,5,107.35514831542969,2.264106512069702
925,per_sample_zscore,film,cnn,1.0,5,5,170.87318420410156,2.198415994644165
926,per_sample_zscore,film,cnn,1.0,5,5,23.270885467529297,1.473547339439392
927,per_sample_zscore,film,cnn,1.0,4,4,123.06842041015625,2.8544042110443115
928,per_sample_zscore,film,cnn,1.0,7,7,177.48411560058594,3.006666660308838
929,per_sample_zscore,film,cnn,1.0,16,16,164.6020050048828,3.8969082832336426
930,per_sample_zscore,film,cnn,1.0,2,2,2.015590190887451,0.322292298078537
931,per_sample_zscore,film,cnn,1.0,5,5,13.488765716552734,0.9136731028556824
932,per_sample_zscore,film,cnn,1.0,8,8,134.96395874023438,3.427194595336914
933,per_sample_zscore,film,cnn,1.0,12,12,80.92395782470703,1.977599024772644
934,per_sample_zscore,film,cnn,1.0,12,12,248.81300354003906,4.293959140777588
935,per_sample_zscore,film,cnn,1.0,9,9,24.1925106048584,0.9876082539558411
936,per_sample_zscore,film,cnn,1.0,6,6,4.258556842803955,0.4782732427120209
937,per_sample_zscore,film,cnn,1.0,9,9,142.11041259765625,2.2056567668914795
938,per_sample_zscore,film,cnn,1.0,4,4,8.984936714172363,0.4581688642501831
939,per_sample_zscore,film,cnn,1.0,9,9,313.62567138671875,4.581780910491943
940,per_sample_zscore,film,cnn,1.0,5,5,49.079620361328125,1.386613130569458
941,per_sample_zscore,film,cnn,1.0,6,6,9.708178520202637,0.4534790515899658
942,per_sample_zscore,film,cnn,1.0,16,16,133.54542541503906,3.0589606761932373
943,per_sample_zscore,film,cnn,1.0,6,6,19.037376403808594,0.8971101641654968
944,per_sample_zscore,film,cnn,1.0,6,6,21.521188735961914,0.9449443221092224
945,per_sample_zscore,film,cnn,1.0,5,5,14.088627815246582,0.6773970723152161
946,per_sample_zscore,film,cnn,1.0,7,7,106.75860595703125,2.5864944458007812
947,per_sample_zscore,film,cnn,1.0,6,6,56.65000915527344,1.8984971046447754
948,per_sample_zscore,film,cnn,1.0,6,6,58.729461669921875,2.3416144847869873
949,per_sample_zscore,film,cnn,1.0,4,4,4.141663551330566,0.5027533769607544
950,per_sample_zscore,film,cnn,1.0,8,8,31.891820907592773,1.0325498580932617
951,per_sample_zscore,film,cnn,1.0,8,8,76.1117935180664,1.7669591903686523
952,per_sample_zscore,film,cnn,1.0,8,8,48.491241455078125,1.7033801078796387
953,per_sample_zscore,film,cnn,1.0,5,5,6.718077182769775,0.5642023682594299
954,per_sample_zscore,film,cnn,1.0,9,9,74.49431610107422,2.1800034046173096
955,per_sample_zscore,film,cnn,1.0,8,8,164.2649383544922,3.032815456390381
956,per_sample_zscore,film,cnn,1.0,11,11,58.56596374511719,2.255730628967285
957,per_sample_zscore,film,cnn,1.0,6,6,109.34796905517578,2.4566755294799805
958,per_sample_zscore,film,cnn,1.0,6,6,0.7119231224060059,0.23744769394397736
959,per_sample_zscore,film,cnn,1.0,7,7,112.254638671875,2.514955759048462
960,per_sample_zscore,film,cnn,1.0,5,5,3.518357276916504,0.49671393632888794
961,per_sample_zscore,film,cnn,1.0,10,10,27.622386932373047,1.1953210830688477
962,per_sample_zscore,film,cnn,1.0,5,5,24.137380599975586,0.8640825152397156
963,per_sample_zscore,film,cnn,1.0,14,14,1004.3029174804688,10.044001579284668
964,per_sample_zscore,film,cnn,1.0,5,5,225.99734497070312,5.850025177001953
965,per_sample_zscore,film,cnn,1.0,10,10,43.1021728515625,1.567550539970398
