sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
926,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,149.7762908935547,1.7312963008880615
927,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,4,19966.9453125,20.362390518188477
928,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,2139.4560546875,8.927668571472168
929,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,16,16,409.4010925292969,3.7904272079467773
930,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,2,2,3.7849769592285156,0.2035866677761078
931,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,20.893341064453125,0.7723087072372437
932,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,36.52200698852539,1.005757212638855
933,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,334.59405517578125,3.2018699645996094
934,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,974.3594970703125,6.350684642791748
935,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,1699.07177734375,8.122464179992676
936,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,99.6614990234375,0.915930449962616
937,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,57.189002990722656,1.1327862739562988
938,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,195.20828247070312,2.2450883388519287
939,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,378.9408874511719,3.604612112045288
940,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,69.51211547851562,1.3848222494125366
941,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,42.45915603637695,0.7336969375610352
942,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,16,16,1287.404296875,8.240826606750488
943,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,160.13949584960938,2.0913636684417725
944,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,97.86661529541016,1.7258466482162476
945,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,92.8402099609375,1.1792422533035278
946,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,898.029541015625,6.773097991943359
947,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,31.88429832458496,0.9348466396331787
948,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,124.51664733886719,1.4815119504928589
949,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,14.070597648620605,0.6805987358093262
950,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,212.82427978515625,2.3376009464263916
951,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,816.5499877929688,5.433428764343262
952,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,238.49058532714844,3.105336904525757
953,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,26.091928482055664,0.876941978931427
954,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,473.7987060546875,2.7265031337738037
955,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,8,39921.8359375,40.29010009765625
956,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,11,11,237.7130584716797,2.9111530780792236
957,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,243.00323486328125,3.0581929683685303
958,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,3.334670066833496,0.25713449716567993
959,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,356.0650634765625,3.247897148132324
960,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,25090.216796875,26.088476181030273
961,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,371.39508056640625,2.8803160190582275
962,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,590.290283203125,3.7055633068084717
963,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,14,14,1101.6507568359375,8.015637397766113
964,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,411.5601501464844,2.935725688934326
965,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,633.9033203125,4.078125476837158
966,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,25028.87890625,25.97816276550293
967,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,9.46678352355957,0.43191254138946533
968,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,314.4936218261719,3.1654632091522217
969,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,221.9163818359375,2.7952187061309814
970,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,186.41444396972656,2.6164498329162598
971,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,115.04483795166016,1.7267544269561768
972,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,261.0386657714844,2.900418281555176
973,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,24950.46484375,25.03968048095703
974,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,23.796310424804688,0.6589936017990112
975,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,135.54393005371094,1.7397613525390625
976,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,41.563880920410156,1.1997138261795044
977,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,451.5378723144531,3.782925844192505
978,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,186.39651489257812,1.6212098598480225
979,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,55.461341857910156,1.9363888502120972
980,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,226.63009643554688,2.4660067558288574
981,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,834.3502807617188,4.962637901306152
982,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,25108.14453125,26.252689361572266
983,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,112.96611022949219,1.5261350870132446
984,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,14,14,951.9132690429688,6.007564544677734
985,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,36.41846466064453,0.7270458936691284
986,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,265.30810546875,2.472917079925537
987,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,434.8334655761719,3.103694438934326
988,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,3,14979.0625,15.29638671875
989,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,2.6154372692108154,0.2096916139125824
990,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,115.2070083618164,1.5123651027679443
991,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,100.8062515258789,1.1723952293395996
992,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,1039.11669921875,6.356386661529541
993,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,1159.74609375,6.540375709533691
994,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.5,3,6,15599.4912109375,18.558761596679688
995,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,816.5516967773438,5.882752418518066
996,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,560.9115600585938,4.388940811157227
997,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,13,13,557.2117919921875,4.602175712585449
998,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,661.9259033203125,5.241434097290039
999,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,49.59233856201172,0.8951944708824158
