phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,threshold_margin_loss,positive_margin_loss,negative_margin_loss,sampled_positive_count,sampled_negative_count,sampled_mu_positive_mean,sampled_mu_negative_mean,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,eval_iou_at_step,eval_loss_at_step,is_best_step,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,7275.47314453125,0.8254656195640564,0.9064977765083313,258678.78125,0.25612789392471313,7271.1796875,2704.94189453125,4566.23779296875,21125,388475,490.4010925292969,491.5686340332031,0.02993408203125,2343.8798828125,211.25,2192.516357421875,211.25,491.50836181640625,393.5027770996094,562.950927734375,0.5352823734283447,,,False,bce,random,4096
finetune,250,4997.109375,0.6965204477310181,0.9024077653884888,250272.453125,0.20056641101837158,4993.5048828125,2453.757080078125,2539.748046875,22148,387452,499.51165771484375,499.6299133300781,0.04408513049134635,2495.090087890625,221.47999572753906,2055.70849609375,221.47999572753906,499.6235046386719,494.2453918457031,505.6832275390625,0.5018819570541382,,,False,bce,random,4096
finetune,500,4995.8408203125,0.6937902569770813,0.903580904006958,249987.421875,0.19987986981868744,4992.24462890625,2481.274169921875,2510.970458984375,21848,387752,499.762451171875,499.9499206542969,0.039201845375985644,1945.3199462890625,218.47999572753906,2049.2275390625,218.47999572753906,499.9399108886719,493.0093994140625,507.8843688964844,0.5002997517585754,0.04187805267917506,,True,bce,random,4096
finetune,750,4982.71484375,0.6694069504737854,0.9031437635421753,247515.0625,0.18747657537460327,4979.267578125,2735.94140625,2243.326171875,21966,387634,502.2569885253906,502.71185302734375,0.01530156314298013,655.6900024414062,219.66000366210938,1993.0128173828125,219.66000366210938,502.6875,492.8945007324219,513.3695068359375,0.4865753650665283,,,False,bce,random,4096
finetune,1000,5313.66162109375,0.6284822821617126,0.9034611582756042,242873.921875,0.1667705774307251,5310.4619140625,3467.011962890625,1843.4498291015625,22143,387457,508.1524963378906,508.1037292480469,0.00410549029610167,301.80999755859375,221.42999267578125,1884.1416015625,221.42999267578125,508.1063537597656,476.2813415527344,552.152099609375,0.4599955677986145,0.008637500000000001,,False,bce,random,4096
finetune,1250,4994.77294921875,0.6920035481452942,0.9081483483314514,249825.703125,0.2014170140028,4991.15869140625,2502.08056640625,2489.078125,20726,388874,500.001220703125,500.13287353515625,0.02600655895288733,1589.4300537109375,207.25999450683594,2045.415283203125,207.25999450683594,500.12615966796875,491.98388671875,508.9956359863281,0.4993690252304077,,,False,bce,random,4096
finetune,1500,4986.68896484375,0.6891031861305237,0.9005551338195801,249525.4375,0.19588813185691833,4983.140625,2525.4443359375,2457.696533203125,22611,386989,500.22454833984375,500.4610290527344,0.032842611034113844,1464.5400390625,226.11000061035156,2038.8292236328125,226.11000061035156,500.4479675292969,492.5052490234375,510.170166015625,0.497761070728302,0.037514308537207795,,False,bce,random,4096
finetune,1750,5024.75634765625,0.7243618965148926,0.9057945013046265,252949.875,0.21671651303768158,5020.958984375,2157.231689453125,2863.72705078125,21169,388431,496.25726318359375,496.6630554199219,0.04436436923541855,3282.679931640625,211.69000244140625,2116.680419921875,211.69000244140625,496.64215087890625,488.0386962890625,514.1220703125,0.516767680644989,,,False,bce,random,4096
finetune,2000,4997.07275390625,0.7050732374191284,0.898612380027771,251118.40625,0.20289523899555206,4993.43994140625,2356.075439453125,2637.364501953125,23056,386544,498.51141357421875,498.6715087890625,0.057150448229195926,3883.31005859375,230.55999755859375,2075.3779296875,230.55999755859375,498.6625061035156,488.3523864746094,510.44415283203125,0.5066840648651123,0.054670768425229846,,True,bce,random,4096
finetune,2250,4995.6103515625,0.6995320916175842,0.9022253155708313,250555.140625,0.2021496742963791,4991.9873046875,2415.7763671875,2576.2109375,22147,387453,499.1050109863281,499.312744140625,0.05355625535573564,3482.219970703125,221.47000122070312,2062.332275390625,221.47000122070312,499.3014831542969,494.031494140625,519.09814453125,0.5034991502761841,,,False,bce,random,4096
finetune,2500,4976.2724609375,0.6616554856300354,0.9018440842628479,246715.59375,0.18302935361862183,4972.87890625,2813.22314453125,2159.656005859375,22269,387331,502.9939880371094,503.6089172363281,0.013661591350797015,217.69000244140625,222.69000244140625,1974.8668212890625,222.69000244140625,503.57550048828125,488.34185791015625,527.336181640625,0.48214519023895264,0.01879085128164103,,False,bce,random,4096
finetune,2750,4845.2041015625,0.7089386582374573,0.9073188304901123,251316.453125,0.21055255830287933,4841.482421875,2127.1083984375,2714.373779296875,20395,389205,495.8681945800781,498.4029235839844,0.05813687425580361,3634.110107421875,203.9499969482422,2083.291259765625,203.9499969482422,498.2767333984375,466.7236633300781,550.2340087890625,0.5086160898208618,,,False,bce,random,4096
finetune,3000,4999.2587890625,0.6931891441345215,0.9015753865242004,249948.296875,0.19843916594982147,4995.6796875,2494.757568359375,2500.921875,22368,387232,499.94580078125,499.99420166015625,0.042299577196862295,2237.239990234375,223.67999267578125,2048.173095703125,223.67999267578125,499.99151611328125,498.298828125,501.64898681640625,0.5000423192977905,0.05244243038897212,,False,bce,random,4096
