sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05355,20000,1071,250559.546875,500.5589599609375
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.04935,20000,987,250397.265625,500.39691162109375
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0617,20000,1234,250585.546875,500.58489990234375
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0514,20000,1028,250533.0625,500.5325622558594
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05575,20000,1115,250352.953125,500.35260009765625
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0601,20000,1202,251436.796875,501.43359375
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.04965,20000,993,250563.25,500.5626525878906
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0539,20000,1078,251279.0,501.27655029296875
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.03728303223521077,10545,1168,250039.984375,500.03271484375
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05565,20000,1113,250508.71875,500.5082092285156
