sample_index,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,1.0,3,3,561.3150634765625,4.707114219665527
1,1.0,7,7,2513.042236328125,9.221626281738281
2,1.0,6,6,768.00244140625,5.526501655578613
3,1.0,4,4,153.61337280273438,1.9263972043991089
4,1.0,6,6,175.97695922851562,2.3796370029449463
5,1.0,6,6,934.018798828125,5.342448711395264
6,1.0,6,6,74.78543853759766,1.1923710107803345
7,0.0,0,6,30035.970703125,31.36419677734375
8,1.0,5,5,415.9102478027344,4.557936191558838
9,1.0,12,12,579.6045532226562,4.784616470336914
10,1.0,10,10,475.9415588378906,4.039587497711182
11,1.0,4,4,87.71650695800781,1.470068335533142
12,1.0,3,3,185.32742309570312,2.154390335083008
13,1.0,9,9,581.1176147460938,4.427502155303955
14,1.0,8,8,645.4486694335938,5.308931827545166
15,1.0,6,6,126.09632873535156,1.7261097431182861
16,1.0,6,6,107.82180786132812,1.2809888124465942
17,1.0,3,3,181.86203002929688,2.0271120071411133
18,1.0,6,6,182.6782989501953,2.365887403488159
19,0.0,0,4,20467.798828125,22.361650466918945
20,1.0,6,6,181.03387451171875,2.3702707290649414
21,1.0,8,8,1388.405029296875,7.472789764404297
22,1.0,11,11,264.0767822265625,3.1913938522338867
23,1.0,12,12,760.8607177734375,5.445519924163818
24,1.0,8,8,146.97662353515625,2.0592925548553467
25,1.0,3,3,122.06752014160156,1.8401199579238892
26,1.0,9,9,527.7778930664062,4.49899959564209
27,1.0,7,7,1284.2945556640625,7.262675762176514
28,1.0,13,13,252.2515106201172,2.4050772190093994
29,1.0,6,6,1060.665771484375,6.0456414222717285
30,0.8,4,5,5681.634765625,9.141853332519531
31,1.0,9,9,425.0649108886719,3.8069252967834473
32,1.0,11,11,818.7265625,5.2231645584106445
33,0.0,0,7,34972.36328125,35.638675689697266
34,1.0,3,3,199.16336059570312,2.350994825363159
35,0.75,3,4,5146.1279296875,6.686758995056152
36,1.0,4,4,307.77008056640625,2.9560794830322266
37,1.0,6,6,708.8702392578125,5.369340419769287
38,1.0,5,5,835.9724731445312,5.725289344787598
39,0.0,0,7,34947.69140625,35.445892333984375
40,1.0,9,9,382.0284118652344,3.4533016681671143
41,1.0,16,16,1163.5233154296875,6.741848945617676
42,1.0,6,6,1927.44580078125,10.274951934814453
43,1.0,9,9,571.6998901367188,4.321799278259277
44,1.0,6,6,65.49148559570312,1.5233395099639893
45,1.0,5,5,258.7135314941406,2.748180866241455
46,1.0,5,5,1406.5174560546875,6.387438774108887
47,1.0,7,7,1701.10546875,8.376875877380371
48,1.0,7,7,253.48779296875,2.9171085357666016
49,1.0,6,6,431.0380554199219,3.93660831451416
50,1.0,3,3,383.2307434082031,3.961174964904785
51,0.875,7,8,5920.6650390625,10.726728439331055
52,0.6363636363636364,7,11,20975.6640625,25.90941619873047
53,1.0,6,6,177.1890869140625,2.0221333503723145
54,1.0,5,5,221.50177001953125,2.3168225288391113
55,1.0,10,10,805.11376953125,4.948683261871338
56,0.9090909090909091,10,11,7250.59765625,16.689416885375977
57,1.0,14,14,727.2084350585938,4.576669692993164
58,1.0,11,11,308.58575439453125,2.8513474464416504
59,1.0,6,6,181.61148071289062,2.0053505897521973
60,1.0,12,12,369.8724670410156,3.325929880142212
61,0.6,3,5,10485.29296875,13.267866134643555
62,1.0,4,4,540.7764282226562,4.267187595367432
63,1.0,4,4,527.1019287109375,4.4718170166015625
64,1.0,9,9,368.34942626953125,3.3859856128692627
65,1.0,5,5,2316.855224609375,12.962085723876953
66,1.0,8,8,1064.5426025390625,7.600773811340332
67,0.75,3,4,5282.68994140625,7.595341682434082
68,1.0,15,15,2450.584716796875,12.567096710205078
69,1.0,16,16,498.9020690917969,5.096044540405273
70,1.0,8,8,260.3736877441406,3.1237072944641113
71,1.0,9,9,441.54376220703125,3.863875389099121
72,1.0,4,4,123.9893569946289,1.6150380373001099
73,1.0,4,4,582.3847045898438,3.8681578636169434
74,0.0,0,3,15290.6533203125,17.168739318847656
75,1.0,8,8,421.280517578125,3.751858711242676
76,1.0,9,9,612.0335083007812,4.713400363922119
77,1.0,10,10,471.4835205078125,4.192397594451904
78,0.8333333333333334,5,6,6912.0986328125,14.563715934753418
79,1.0,13,13,1381.925048828125,8.033814430236816
80,1.0,6,6,170.6685333251953,2.3079473972320557
81,1.0,17,17,2876.821533203125,15.563630104064941
82,1.0,9,9,238.7569122314453,2.6365392208099365
83,1.0,9,9,223.99513244628906,3.2594592571258545
84,1.0,10,10,319.88153076171875,3.2677783966064453
85,1.0,6,6,378.9501953125,3.1583919525146484
86,1.0,17,17,714.1760864257812,5.343410491943359
87,1.0,15,15,873.3223266601562,5.317733287811279
88,1.0,8,8,410.0855407714844,4.546679973602295
89,1.0,5,5,131.6543426513672,2.0354058742523193
90,1.0,4,4,76.85175323486328,1.449349045753479
91,1.0,3,3,220.43792724609375,2.321883201599121
92,1.0,8,8,1408.5740966796875,6.938079357147217
93,1.0,10,10,437.33221435546875,4.502514839172363
94,1.0,9,9,1033.663818359375,6.181058883666992
95,1.0,8,8,452.3746032714844,4.075809955596924
96,1.0,6,6,1236.8009033203125,8.774988174438477
97,1.0,5,5,2251.9140625,10.536650657653809
98,1.0,6,6,145.57102966308594,1.5225474834442139
99,1.0,10,10,217.72398376464844,2.705707311630249
100,1.0,13,13,1275.16748046875,8.906192779541016
101,1.0,17,17,1808.9945068359375,11.174125671386719
102,1.0,14,14,470.058837890625,4.062164783477783
103,1.0,4,4,116.27462005615234,1.9117248058319092
104,0.875,7,8,5509.142578125,11.13663101196289
105,1.0,13,13,1507.8145751953125,8.564630508422852
106,1.0,4,4,884.4161987304688,6.7395758628845215
107,0.75,3,4,5626.6875,9.005956649780273
108,1.0,8,8,707.0184326171875,4.590571403503418
109,1.0,8,8,287.9825439453125,3.495807409286499
110,1.0,5,5,541.9297485351562,3.879253625869751
111,1.0,13,13,1287.49462890625,6.981789588928223
112,0.8571428571428571,6,7,5656.6630859375,10.341706275939941
113,1.0,9,9,484.6124572753906,3.9446611404418945
114,1.0,9,9,613.9923706054688,4.947533130645752
115,0.0,0,4,20533.91796875,24.294822692871094
116,1.0,8,8,344.308837890625,2.960557222366333
117,1.0,2,2,61.4946174621582,1.0337733030319214
118,1.0,7,7,1401.15185546875,8.133111953735352
119,1.0,11,11,1346.457763671875,7.242428779602051
120,1.0,4,4,167.94923400878906,1.9708061218261719
121,0.6666666666666666,2,3,5770.541015625,9.473180770874023
122,1.0,9,9,215.49156188964844,2.543283700942993
123,1.0,9,9,480.1303405761719,4.156169891357422
124,1.0,4,4,179.3956298828125,2.3838884830474854
125,1.0,3,3,415.7504577636719,3.990705966949463
126,1.0,6,6,173.80543518066406,2.6535122394561768
127,1.0,12,12,393.37286376953125,3.992931842803955
128,0.8888888888888888,8,9,6171.76171875,12.320306777954102
129,1.0,5,5,288.0459289550781,3.0758867263793945
130,1.0,5,5,275.0373840332031,2.212463140487671
131,1.0,6,6,388.07110595703125,3.0542123317718506
132,1.0,12,12,883.7257690429688,6.152019023895264
133,1.0,11,11,492.1156311035156,4.771113872528076
134,1.0,6,6,557.5894165039062,4.870757579803467
135,1.0,5,5,1660.5096435546875,8.694222450256348
