runner config | sample=1 | center_mode=three | test_centers=3 | test_radius=5.000000e+00 | lambda_area_prior=1.000000e+00 | lambda_mask_prior=1.000000e+00 | lambda_mask_bce_prior=0.000000e+00
sample=1 | outer=1/20 | loss_phi=2.299294e+00 | loss_mu=1.786034e+00 | mu_mse=2.766369e+05 | mu_mae=5.187184e+02 | defect_area_pred=343 | defect_area_label=20 | defect_iou=5.830904e-02
sample=1 | outer=2/20 | loss_phi=2.273626e+00 | loss_mu=1.094225e+00 | mu_mse=2.077268e+05 | mu_mae=4.428661e+02 | defect_area_pred=200 | defect_area_label=20 | defect_iou=5.263158e-02
sample=1 | outer=3/20 | loss_phi=2.267177e+00 | loss_mu=9.923810e-01 | mu_mse=1.644219e+05 | mu_mae=3.895005e+02 | defect_area_pred=161 | defect_area_label=20 | defect_iou=5.847953e-02
sample=1 | outer=4/20 | loss_phi=2.264675e+00 | loss_mu=8.933424e-01 | mu_mse=1.302803e+05 | mu_mae=3.455191e+02 | defect_area_pred=55 | defect_area_label=20 | defect_iou=2.096774e-01
sample=1 | outer=5/20 | loss_phi=2.263602e+00 | loss_mu=8.400548e-01 | mu_mse=1.115714e+05 | mu_mae=3.156086e+02 | defect_area_pred=78 | defect_area_label=20 | defect_iou=1.951219e-01
sample=1 | outer=6/20 | loss_phi=2.262784e+00 | loss_mu=8.182749e-01 | mu_mse=9.437224e+04 | mu_mae=2.852657e+02 | defect_area_pred=56 | defect_area_label=20 | defect_iou=2.459016e-01
sample=1 | outer=7/20 | loss_phi=2.262244e+00 | loss_mu=8.231983e-01 | mu_mse=8.488647e+04 | mu_mae=2.673820e+02 | defect_area_pred=42 | defect_area_label=20 | defect_iou=3.478261e-01
sample=1 | outer=8/20 | loss_phi=2.261595e+00 | loss_mu=8.426474e-01 | mu_mse=7.705247e+04 | mu_mae=2.514303e+02 | defect_area_pred=38 | defect_area_label=20 | defect_iou=4.146341e-01
sample=1 | outer=9/20 | loss_phi=2.260901e+00 | loss_mu=8.872363e-01 | mu_mse=7.204691e+04 | mu_mae=2.398926e+02 | defect_area_pred=38 | defect_area_label=20 | defect_iou=4.146341e-01
sample=1 | outer=10/20 | loss_phi=2.260084e+00 | loss_mu=9.625420e-01 | mu_mse=7.078163e+04 | mu_mae=2.361104e+02 | defect_area_pred=43 | defect_area_label=20 | defect_iou=4.318182e-01
sample=1 | outer=11/20 | loss_phi=2.259041e+00 | loss_mu=1.080332e+00 | mu_mse=7.467432e+04 | mu_mae=2.429093e+02 | defect_area_pred=47 | defect_area_label=20 | defect_iou=3.958333e-01
sample=1 | outer=12/20 | loss_phi=2.257563e+00 | loss_mu=1.043118e+00 | mu_mse=2.926830e+05 | mu_mae=4.459374e+02 | defect_area_pred=306 | defect_area_label=20 | defect_iou=6.535948e-02
sample=1 | outer=13/20 | loss_phi=2.236272e+00 | loss_mu=1.025796e+00 | mu_mse=3.190115e+05 | mu_mae=4.373693e+02 | defect_area_pred=295 | defect_area_label=20 | defect_iou=6.779661e-02
sample=1 | outer=14/20 | loss_phi=2.197329e+00 | loss_mu=1.166965e+00 | mu_mse=3.941034e+05 | mu_mae=5.059323e+02 | defect_area_pred=352 | defect_area_label=20 | defect_iou=5.681818e-02
sample=1 | outer=15/20 | loss_phi=2.117407e+00 | loss_mu=1.120683e+00 | mu_mse=3.699565e+05 | mu_mae=4.709814e+02 | defect_area_pred=327 | defect_area_label=20 | defect_iou=6.116208e-02
sample=1 | outer=16/20 | loss_phi=2.058748e+00 | loss_mu=1.103221e+00 | mu_mse=3.785644e+05 | mu_mae=4.753321e+02 | defect_area_pred=331 | defect_area_label=20 | defect_iou=6.042296e-02
sample=1 | outer=17/20 | loss_phi=1.970156e+00 | loss_mu=1.060984e+00 | mu_mse=3.670984e+05 | mu_mae=4.554492e+02 | defect_area_pred=322 | defect_area_label=20 | defect_iou=6.211180e-02
sample=1 | outer=18/20 | loss_phi=1.882833e+00 | loss_mu=1.023976e+00 | mu_mse=3.383479e+05 | mu_mae=4.168409e+02 | defect_area_pred=299 | defect_area_label=20 | defect_iou=6.333333e-02
sample=1 | outer=19/20 | loss_phi=1.829797e+00 | loss_mu=9.979658e-01 | mu_mse=3.050693e+05 | mu_mae=3.743694e+02 | defect_area_pred=271 | defect_area_label=20 | defect_iou=6.593407e-02
sample=1 | outer=20/20 | loss_phi=1.813247e+00 | loss_mu=1.039495e+00 | mu_mse=3.347968e+05 | mu_mae=4.182803e+02 | defect_area_pred=286 | defect_area_label=20 | defect_iou=5.517241e-02
