sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0514,20000,1028,946189.9375,947.4080810546875
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0473,20000,946,950318.5,951.5203857421875
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0592,20000,1184,938345.6875,939.590087890625
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0502,20000,1004,947391.875,948.6085815429688
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04595,20000,919,951645.6875,952.8590698242188
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05815,20000,1163,939456.9375,940.6685180664062
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04875,20000,975,948846.6875,950.0604248046875
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0515,20000,1030,946174.75,947.3483276367188
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05575,20000,1115,941781.1875,943.0319213867188
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04755,20000,951,950012.9375,951.2440185546875
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05015,20000,1003,947663.25,948.7636108398438
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0546,20000,1092,942937.6875,944.1845092773438
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05265,20000,1053,944963.0,946.1693725585938
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04865,20000,973,948914.6875,950.1452026367188
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0537,20000,1074,943927.3125,945.1265869140625
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0514,20000,1028,946111.6875,947.37109375
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0473,20000,946,950327.0625,951.5244140625
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0592,20000,1184,938304.9375,939.5709838867188
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0502,20000,1004,947386.1875,948.6058959960938
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04595,20000,919,951785.875,952.92578125
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05815,20000,1163,939414.75,940.6486206054688
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04875,20000,975,948770.3125,950.024169921875
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0515,20000,1030,946042.875,947.2858276367188
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05575,20000,1115,941793.6875,943.0377807617188
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05355,20000,1071,943982.3125,945.2316284179688
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04935,20000,987,948226.875,949.4512939453125
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0617,20000,1234,936056.625,937.189697265625
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0514,20000,1028,946087.25,947.3594970703125
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05575,20000,1115,941869.6875,943.07373046875
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0601,20000,1202,937570.9375,938.7490844726562
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04965,20000,993,947934.625,949.1550903320312
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0539,20000,1078,943636.5625,944.8839111328125
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0584,20000,1168,939288.1875,940.456787109375
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05565,20000,1113,941943.8125,943.161376953125
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05305,20000,1061,944504.1875,945.7418212890625
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.057,20000,1140,940622.0,941.8250732421875
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0535,20000,1070,944056.75,945.293212890625
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0512,20000,1024,946339.4375,947.584228515625
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.06325,20000,1265,934276.375,935.53271484375
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05355,20000,1071,944038.625,945.25830078125
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04935,20000,987,948184.5,949.4310913085938
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0617,20000,1234,935794.5,937.0671997070312
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0514,20000,1028,946196.5625,947.4113159179688
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05575,20000,1115,941796.4375,943.0390014648438
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0601,20000,1202,937563.9375,938.7459106445312
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.04965,20000,993,947971.0,949.1723022460938
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0539,20000,1078,943748.9375,944.9368286132812
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.0584,20000,1168,939426.4375,940.521728515625
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,positive_hinge,1.0,0.05565,20000,1113,941917.1875,943.14892578125
