sample_index,area3_bce7_iou,temp25_lambda5_iou,baseline_iou,area3_bce7_defect_area_pred,defect_area_label,area_abs_error,area_signed_error,area_ratio,area3_bce7_mu_mse,area3_bce7_mu_mae,pred_centroid_x,pred_centroid_y,label_centroid_x,label_centroid_y,centroid_distance,improvement_vs_baseline,improvement_vs_temp25
0,0.976893424987793,0.9754838943481445,0.06103958189487457,772.0,768.0,4.0,4.0,1.0052083333333333,45872.48828125,190.77928161621094,0.29760199785232544,5.5064897537231445,0.2887484133243561,5.503997802734375,0.00919759635580557,0.9158538430929184,0.0014095306396484375
1,0.8834532499313354,0.8609179258346558,0.058472342789173126,643.0,666.0,23.0,-23.0,0.9654654654654654,45074.3671875,190.0650634765625,5.116132736206055,5.7567901611328125,5.125628471374512,5.757575511932373,0.009528156289012164,0.8249809071421623,0.022535324096679688
2,0.9068182110786438,0.887514054775238,0.07160578668117523,838.0,840.0,2.0,-2.0,0.9976190476190476,36616.75,151.4724578857422,1.0603134632110596,3.0785179138183594,1.0552763938903809,3.080808162689209,0.005533290813950646,0.8352124243974686,0.01930415630340576
3,0.9723577499389648,0.9536208510398865,0.12283207476139069,1222.0,1204.0,18.0,18.0,1.0149501661129567,50199.546875,185.8397674560547,6.16153621673584,5.270214557647705,6.154360294342041,5.237256050109863,0.03373065491987664,0.8495256751775742,0.01873689889907837
4,0.7333333492279053,0.15156950056552887,0.06810120493173599,1060.0,864.0,196.0,196.0,1.2268518518518519,109088.375,320.2242431640625,1.6407984495162964,4.410139083862305,1.5075377225875854,4.3434343338012695,0.14902330362152638,0.6652321442961693,0.5817638486623764
5,0.2542005479335785,0.604600191116333,0.04171305522322655,1649.0,665.0,984.0,984.0,2.479699248120301,137840.34375,342.785888671875,-1.62332284450531,7.558238506317139,-4.296482086181641,5.55555534362793,3.3401377488777957,0.21248749271035194,-0.3503996431827545
6,0.9125096201896667,0.7825465202331543,0.12471956014633179,1269.0,1223.0,46.0,46.0,1.0376124284546198,34885.03125,127.10906219482422,3.864654064178467,5.9863409996032715,3.8231427669525146,5.911858081817627,0.0852695305442948,0.787790060043335,0.12996309995651245
7,0.5025621056556702,0.30697542428970337,0.10099085420370102,2487.0,1325.0,1162.0,1162.0,1.8769811320754717,73823.34375,131.14163208007812,-2.6679537296295166,5.120078086853027,-4.4674882888793945,3.0818369388580322,2.718961494268466,0.40157125145196915,0.1955866813659668
8,0.3944149613380432,0.3466588258743286,0.1235208660364151,4257.0,1785.0,2472.0,2472.0,2.384873949579832,153787.359375,303.8509826660156,2.086064577102661,4.988100528717041,3.9244542121887207,3.7629518508911133,2.2092228799219136,0.2708940953016281,0.0477561354637146
9,0.9878296256065369,0.9848331809043884,0.12115193903446198,983.0,977.0,6.0,6.0,1.0061412487205732,37988.9609375,161.97853088378906,7.159576892852783,6.165109634399414,7.16080379486084,6.171334743499756,0.00634486184629198,0.8666776865720749,0.0029964447021484375
