phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,threshold_margin_loss,positive_margin_loss,negative_margin_loss,sampled_positive_count,sampled_negative_count,sampled_mu_positive_mean,sampled_mu_negative_mean,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,eval_iou_at_step,eval_loss_at_step,is_best_step,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,10249.3701171875,1.0091304779052734,0.9081162214279175,271621.375,0.0,10247.453125,2864.30322265625,7383.150390625,20745,388855,478.7552185058594,479.09130859375,0.03516602970291161,2817.590087890625,207.4499969482422,2402.7607421875,207.4499969482422,479.0743103027344,337.5181579589844,646.8008422851562,0.5866115689277649,,,False,bce,random,4096
finetune,250,4993.91259765625,0.691508948802948,0.9030104279518127,249772.515625,0.0,4992.31787109375,2508.808349609375,2483.509521484375,22001,387599,500.0656433105469,500.1900634765625,0.031776361842363404,1762.3299560546875,220.00999450683594,2044.244384765625,220.00999450683594,500.18341064453125,494.033203125,504.880615234375,0.4990830719470978,,,False,bce,random,4096
finetune,500,4987.25390625,0.6902804374694824,0.9069341421127319,249641.984375,0.0,4985.65673828125,2513.97900390625,2471.677734375,21012,388588,500.0960388183594,500.3338928222656,0.034341662188420385,1757.300048828125,210.1199951171875,2041.41455078125,210.1199951171875,500.3216552734375,492.56976318359375,507.3203430175781,0.4983922243118286,0.019132319377845035,,True,bce,random,4096
finetune,750,4993.62646484375,0.7152617573738098,0.902353048324585,252103.5625,0.0,4992.0087890625,2236.043212890625,2755.96533203125,22069,387531,497.2197570800781,497.5761413574219,0.05399863374318649,3335.989990234375,220.69000244140625,2097.983154296875,220.69000244140625,497.5569152832031,486.8302001953125,506.51904296875,0.5122028589248657,,,False,bce,random,4096
finetune,1000,4881.458984375,0.681308388710022,0.9064475297927856,248704.015625,0.0,4879.87109375,2496.348876953125,2383.522216796875,20891,388709,499.88818359375,501.3221130371094,0.054639589174095296,1563.8299560546875,208.91000366210938,2022.4716796875,208.91000366210938,501.2489013671875,489.6382141113281,520.75390625,0.49376755952835083,0.05467834871902903,,True,bce,random,4096
finetune,1250,3932.102783203125,0.6284624934196472,0.8936614394187927,242036.296875,0.0,3930.58056640625,1880.1220703125,2050.45849609375,21014,388586,493.0473937988281,508.35528564453125,0.10647816201478463,1792.47998046875,210.13999938964844,1900.1324462890625,210.13999938964844,507.5699462890625,480.6282043457031,566.86328125,0.46389952301979065,,,False,bce,random,4096
finetune,1500,3573.464599609375,0.5535239577293396,0.8714932799339294,228236.0,0.0,3572.03955078125,1601.4322509765625,1970.607177734375,21725,387875,488.701171875,524.6361694335938,0.11384979305128175,1623.260009765625,217.25,1670.705322265625,217.25,522.730224609375,460.34136962890625,636.8748168945312,0.4078870415687561,0.1111537872750786,,True,bce,random,4096
finetune,1750,3475.95751953125,0.5628353953361511,0.8649896383285522,226945.015625,0.0,3474.52978515625,1246.2103271484375,2228.3193359375,21914,387686,484.1612243652344,526.5745849609375,0.12542372634655372,1717.4000244140625,219.13999938964844,1677.4769287109375,219.13999938964844,524.305419921875,450.38507080078125,664.8165283203125,0.4095402956008911,,,False,bce,random,4096
finetune,2000,3397.29052734375,0.5507581233978271,0.857555627822876,222976.0,0.0,3395.88232421875,1084.3997802734375,2311.482666015625,21920,387680,481.7171936035156,531.6509399414062,0.13056185167117154,1676.969970703125,219.1999969482422,1629.2376708984375,219.1999969482422,528.9786987304688,446.6969909667969,684.9461669921875,0.39776310324668884,0.12107855162310069,,True,bce,random,4096
finetune,2250,3278.177490234375,0.5294191241264343,0.8538596630096436,219409.5625,0.0,3276.794189453125,1156.9990234375,2119.795166015625,21937,387663,483.06549072265625,536.1807861328125,0.14141925859126417,1582.550048828125,219.3699951171875,1579.1602783203125,219.3699951171875,533.3361206054688,445.1346435546875,706.3154296875,0.38553714752197266,,,False,bce,random,4096
finetune,2500,3351.0849609375,0.5100791454315186,0.8531751036643982,217163.125,0.0,3349.7216796875,1421.884033203125,1927.8377685546875,22495,387105,486.64111328125,538.9100952148438,0.14298204199850764,1462.8699951171875,224.9499969482422,1531.59423828125,224.9499969482422,536.03955078125,446.84808349609375,708.8819580078125,0.3739243745803833,0.12347512829084191,,True,bce,random,4096
finetune,2750,3316.42724609375,0.558761477470398,0.8535502552986145,221864.15625,0.0,3315.014892578125,823.9904174804688,2491.0244140625,21754,387846,477.2633972167969,533.4249267578125,0.12994022689458246,1741.5799560546875,217.5399932861328,1640.02490234375,217.5399932861328,530.442138671875,444.32208251953125,711.6051025390625,0.4003967046737671,,,False,bce,random,4096
finetune,3000,3057.816650390625,0.510219156742096,0.8460491895675659,215156.015625,0.0,3056.46044921875,985.105224609375,2071.355224609375,21853,387747,480.1595153808594,541.4313354492188,0.15168678502842045,1509.1300048828125,218.52999877929688,1526.70263671875,218.52999877929688,538.1622924804688,451.1080322265625,720.617431640625,0.3727301359176636,0.13444802584624624,,True,bce,random,4096
