sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.16847256204124433,5722,964,197225.421875,438.9396057128906
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.15445544554455445,7070,1092,212861.03125,457.3403015136719
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.11888924084046035,9469,1128,241748.5625,490.8428649902344
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.16231278300243818,5742,932,197933.46875,439.7607116699219
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.15512223515715948,6872,1066,211634.796875,455.9191589355469
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.12074098577571948,9060,1104,241344.875,490.4429016113281
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.17532029669588672,5932,1040,199005.453125,441.1445617675781
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.15102401650213643,6782,1030,210584.75,454.7439880371094
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.11696368147981051,8823,1080,241255.78125,490.3955993652344
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,foreground_floor,10.0,bidirectional_hinge,1.0,0.17018402836400473,5923,1008,198943.4375,440.9223937988281
