sample_index,polygon_iou,polygon_dice,target_area,raster_area,area_diff
0,1.0,1.0,189,189,0
1,1.0,1.0,224,224,0
2,1.0,1.0,238,238,0
3,1.0,1.0,210,210,0
4,1.0,1.0,217,217,0
5,1.0,1.0,224,224,0
6,1.0,1.0,204,204,0
7,1.0,1.0,245,245,0
8,1.0,1.0,228,228,0
9,1.0,1.0,224,224,0
10,1.0,1.0,84,84,0
11,1.0,1.0,184,184,0
12,1.0,1.0,88,88,0
13,1.0,1.0,160,160,0
14,1.0,1.0,120,120,0
15,1.0,1.0,76,76,0
16,1.0,1.0,63,63,0
17,1.0,1.0,63,63,0
18,1.0,1.0,92,92,0
19,1.0,1.0,92,92,0
20,1.0,1.0,57,57,0
21,1.0,1.0,63,63,0
22,1.0,1.0,102,102,0
23,1.0,1.0,105,105,0
24,1.0,1.0,120,120,0
25,1.0,1.0,140,140,0
26,1.0,1.0,105,105,0
27,1.0,1.0,137,137,0
28,1.0,1.0,116,116,0
29,1.0,1.0,140,140,0
