phase,step,total_loss,bce_loss,dice_loss,mu_mse_loss,area_loss,batch_iou,batch_area_pred,batch_area_label,pred_area_soft_mean,true_area_mean,mean_mu,min_mu,max_mu,mean_soft_defect,mask_bce_mode,point_sampling_mode,train_point_subsample
finetune,1,5.948333740234375,1.1443613767623901,0.9018032550811768,285105.46875,0.3902169167995453,0.045325448236893176,3481.219970703125,219.17999267578125,2690.47900390625,219.17999267578125,463.8313293457031,380.60418701171875,571.2227783203125,0.6568552255630493,bce,random,4096
finetune,250,1.1561481952667236,0.21522526443004608,0.9381768703460693,151934.6875,0.00027460468118079007,0.0,0.0,225.5500030517578,289.963134765625,225.5500030517578,628.75830078125,627.4108276367188,642.130126953125,0.07079178094863892,bce,random,4096
finetune,500,1.1516274213790894,0.20627325773239136,0.9448346495628357,144767.21875,5.1953345973743126e-05,0.0,0.0,215.27000427246094,238.59226989746094,215.27000427246094,639.1567993164062,637.072021484375,645.2821655273438,0.0582500658929348,bce,random,4096
finetune,750,1.156622290611267,0.21493202447891235,0.9408116340637207,148460.515625,8.786788384895772e-05,0.0,0.0,227.3000030517578,260.52447509765625,227.3000030517578,634.474853515625,631.3071899414062,638.7571411132812,0.06360460817813873,bce,random,4096
finetune,1000,1.1597696542739868,0.21636974811553955,0.9431841969490051,145406.4375,2.156664413632825e-05,0.0,0.0,230.1999969482422,235.89918518066406,230.1999969482422,639.760986328125,635.8374633789062,643.78955078125,0.057592567056417465,bce,random,4096
finetune,1250,1.153319001197815,0.21057263016700745,0.94144606590271,148403.90625,0.00013003005005884916,0.0,0.0,220.52000427246094,263.62701416015625,220.52000427246094,633.8497924804688,628.2803344726562,637.52490234375,0.0643620640039444,bce,random,4096
finetune,1500,1.160454273223877,0.21961770951747894,0.9404332637786865,148125.078125,4.033180812257342e-05,0.0,0.0,234.77000427246094,254.2026824951172,234.77000427246094,635.8011474609375,628.5158081054688,640.720947265625,0.06206119433045387,bce,random,4096
finetune,1750,1.154986023902893,0.21382278203964233,0.9390962719917297,150815.09375,0.00020669489458668977,0.0,0.0,224.33999633789062,281.34442138671875,224.33999633789062,630.386474609375,621.747314453125,636.6300659179688,0.06868760287761688,bce,random,4096
finetune,2000,1.1515250205993652,0.2065931111574173,0.9444830417633057,144954.546875,4.48777100245934e-05,0.0,0.0,215.91000366210938,239.96043395996094,215.91000366210938,638.8988647460938,629.8565063476562,646.9810180664062,0.05858408287167549,bce,random,4096
finetune,2250,1.1535271406173706,0.2106192260980606,0.9381335973739624,153075.09375,0.00047743270988576114,0.0,0.0,216.88999938964844,304.94427490234375,216.88999938964844,626.0909423828125,616.2720336914062,636.3944091796875,0.07444929331541061,bce,random,4096
finetune,2500,1.1561836004257202,0.21221590042114258,0.9438086152076721,144659.140625,1.5908561181277037e-05,0.0,0.0,224.64999389648438,234.04409790039062,224.64999389648438,640.3103637695312,629.818359375,655.335693359375,0.05713966488838196,bce,random,4096
finetune,2750,1.1526403427124023,0.2148575782775879,0.9341716170310974,153269.875,0.0003611029824241996,0.0,0.0,227.22000122070312,304.3080749511719,227.22000122070312,626.453125,615.5151977539062,659.8545532226562,0.07429396361112595,bce,random,4096
finetune,3000,1.0879971981048584,0.202121302485466,0.8783443570137024,125791.4296875,0.0007531550363637507,0.0,0.0,226.47999572753906,337.9373779296875,226.47999572753906,673.6925048828125,541.3739624023438,862.47998046875,0.08250425010919571,bce,random,4096
