group_by,group_value,count,mean_mask_iou,mean_center_grid_error,x_bin_wrong_rate,y_bin_wrong_rate,both_bins_correct_rate,mean_abs_offset_x_error,mean_abs_offset_y_error
split,test,60,0.5677902910392384,2.9618243741046433,0.15000000000000002,0.15000000000000002,0.7166666666666667,0.3080636978163269,0.1694928387637047
split,train,300,0.7212421093523081,0.4366704968331072,0.0,0.013333333333333308,0.9866666666666667,0.04065883388654113,0.03751913207761711
split,val,60,0.5166484520425514,3.958035669727268,0.23333333333333328,0.1333333333333333,0.65,0.29015383320331295,0.1686084488607969
component_slot,0,140,0.6700927556919047,1.420724901172644,0.07857142857142863,0.0357142857142857,0.8857142857142857,0.12093623536785762,0.058834591093783965
component_slot,1,140,0.6700927556919047,1.0938195468705956,0.0,0.0714285714285714,0.9285714285714286,0.09361821300952457,0.09883145960263177
component_slot,2,140,0.6700927556919047,1.3868323496699506,0.08571428571428574,0.042857142857142816,0.8857142857142857,0.12895056610219446,0.06763264130897871
type_true,rectangular_notch,210,0.6867921377037721,1.2246567659080247,0.04761904761904767,0.03809523809523807,0.9142857142857143,0.10970289643479256,0.07369687488117323
type_true,rotated_rect,210,0.6533933736800379,1.3762610992341024,0.06190476190476191,0.06190476190476191,0.8857142857142857,0.11930044655159186,0.07650225312242312
x_bin_correct,false,23,0.46917747524482756,5.7560565539579995,1.0,0.08695652173913049,0.0,0.4263988344033066,0.1544477562675237
x_bin_correct,true,397,0.6817326837782587,1.0423260728937356,0.0,0.04785894206549124,0.9521410579345088,0.09643206255885305,0.07050256545743619
y_bin_correct,false,21,0.5417810021109817,4.4831032826897514,0.09523809523809523,1.0,0.0,0.19470845644927795,0.5864172341087737
y_bin_correct,true,399,0.6768460058803736,1.1329513351963965,0.052631578947368474,0.0,0.9473684210526315,0.11028026175866132,0.04818810768037839
both_bins_correct,false,42,0.508283705752408,4.979519145317484,0.5476190476190477,0.5,0.0,0.31371672038589604,0.35923649323933193
both_bins_correct,true,378,0.6880715390185148,0.8916744644881286,0.0,0.0,1.0,0.09236666606066951,0.04352879408651662
mask_iou_bin,0.40-0.50,27,0.4525485775173342,4.725476840585524,0.2962962962962963,0.2222222222222222,0.5185185185185185,0.35303420163073784,0.20952304502314212
mask_iou_bin,0.50-0.60,57,0.5650134040813609,2.0111886919475315,0.1228070175438597,0.052631578947368474,0.8245614035087719,0.23549039184696324,0.11397225065874163
mask_iou_bin,<0.40,15,0.33733619669492665,6.864776046260145,0.4,0.19999999999999996,0.4666666666666667,0.4281641980765591,0.19657639168544366
mask_iou_bin,>=0.60,321,0.7225991863382252,0.6261541459474335,0.006230529595015577,0.028037383177570097,0.9657320872274143,0.058297081858833415,0.05121380218785189
target_area_bin,1000-1500,330,0.6657611505797295,1.311832276002022,0.054545454545454564,0.042424242424242475,0.906060606060606,0.11447310904434504,0.0763337988849184
target_area_bin,500-1000,90,0.6859753077698779,1.258756673324217,0.05555555555555558,0.07777777777777772,0.8777777777777778,0.11460640047229814,0.07057403609702384
rotation_bin,15-45deg,69,0.6561677836165976,1.4705206864952287,0.04347826086956519,0.1159420289855072,0.8405797101449275,0.10769509610137021,0.11104514188596483
rotation_bin,<15deg,351,0.6728301433648278,1.2670279894919547,0.056980056980056926,0.03703703703703709,0.9116809116809117,0.11583971622833665,0.06803333928952605
