step,total_loss,presence_loss,type_loss,type_extra_loss,rotation_extra_loss,weighted_type_extra_loss,weighted_rotation_extra_loss,continuous_loss,center_loss,axis_loss,depth_loss,rotation_loss,center_grid_loss,weighted_center_grid_loss,center_axis_relative_loss,weighted_center_axis_relative_loss,center_bin_loss,weighted_center_bin_loss,center_offset_loss,weighted_center_offset_loss,parametric_total_loss,raster_total_loss,raster_bce_loss,raster_dice_loss,raster_soft_iou,raster_soft_dice,raster_loss_active,val_mask_iou_at_step,val_loss_at_step,is_best_step
1,139.09359741210938,0.6957816481590271,0.6932668089866638,0.6932668089866638,0.9659507274627686,0.0,0.0,0.44533050060272217,nan,nan,nan,nan,1372.5921630859375,137.25921630859375,-0.0,-0.0,0.0,0.0,0.0,0.0,139.09359741210938,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
100,1.972136378288269,0.04054832458496094,0.6033474802970886,0.6033474802970886,0.8574305176734924,0.0,0.0,0.2552548944950104,nan,nan,nan,nan,10.729856491088867,1.0729856491088867,-0.0,-0.0,0.0,0.0,0.0,0.0,1.972136378288269,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
200,1.0716471672058105,0.010702507570385933,0.5908534526824951,0.5908534526824951,0.6442744135856628,0.0,0.0,0.2393815517425537,nan,nan,nan,nan,2.3070971965789795,0.2307097166776657,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0716471672058105,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
300,0.8571755886077881,0.00471084751188755,0.5631940960884094,0.5631940960884094,0.5966917872428894,0.0,0.0,0.2278284728527069,nan,nan,nan,nan,0.6144213080406189,0.06144213303923607,-0.0,-0.0,0.0,0.0,0.0,0.0,0.8571755886077881,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
400,0.736382246017456,0.0025746170431375504,0.49903810024261475,0.49903810024261475,0.575515627861023,0.0,0.0,0.21039487421512604,nan,nan,nan,nan,0.24374692142009735,0.024374691769480705,-0.0,-0.0,0.0,0.0,0.0,0.0,0.736382246017456,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
500,0.6034471988677979,0.0016260113334283233,0.3866787850856781,0.3866787850856781,0.5350120067596436,0.0,0.0,0.18671481311321259,nan,nan,nan,nan,0.28427618741989136,0.028427619487047195,-0.0,-0.0,0.0,0.0,0.0,0.0,0.6034471988677979,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
600,0.41020235419273376,0.0009377215174026787,0.20320671796798706,0.20320671796798706,0.4539085924625397,0.0,0.0,0.16930796205997467,nan,nan,nan,nan,0.36749953031539917,0.036749955266714096,-0.0,-0.0,0.0,0.0,0.0,0.0,0.41020235419273376,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
700,0.238631933927536,0.0005800756625831127,0.07215005904436111,0.07215005904436111,0.352944016456604,0.0,0.0,0.15175595879554749,nan,nan,nan,nan,0.1414584368467331,0.01414584368467331,-0.0,-0.0,0.0,0.0,0.0,0.0,0.238631933927536,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
800,0.20198597013950348,0.00035265047335997224,0.02659941278398037,0.02659941278398037,0.2837858498096466,0.0,0.0,0.13602347671985626,nan,nan,nan,nan,0.39010438323020935,0.039010439068078995,-0.0,-0.0,0.0,0.0,0.0,0.0,0.20198597013950348,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
900,0.15052802860736847,0.00025942313368432224,0.012766791507601738,0.012766791507601738,0.23002558946609497,0.0,0.0,0.12086696177721024,nan,nan,nan,nan,0.16634845733642578,0.016634846106171608,-0.0,-0.0,0.0,0.0,0.0,0.0,0.15052802860736847,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1000,0.11764515936374664,0.00018995304708369076,0.007657263893634081,0.007657263893634081,0.18325357139110565,0.0,0.0,0.10477028787136078,nan,nan,nan,nan,0.05027655512094498,0.005027655512094498,-0.0,-0.0,0.0,0.0,0.0,0.0,0.11764515936374664,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1100,0.10121013224124908,0.00016748013149481267,0.005164001602679491,0.005164001602679491,0.149967759847641,0.0,0.0,0.09001535922288895,nan,nan,nan,nan,0.05863292142748833,0.005863292142748833,-0.0,-0.0,0.0,0.0,0.0,0.0,0.10121013224124908,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
1200,0.11200183629989624,0.0001466698304284364,0.003763801185414195,0.003763801185414195,0.12764288485050201,0.0,0.0,0.07656602561473846,nan,nan,nan,nan,0.3152534067630768,0.03152533993124962,-0.0,-0.0,0.0,0.0,0.0,0.0,0.11200183629989624,-0.0,0.0,0.0,nan,nan,0.0,nan,nan,0
