group,rank,sample_index,defect_iou,baseline_iou,iou_improvement,defect_area_pred,defect_area_label,area_error,area_abs_error,centroid_offset,failure_types
top_iou_5,1,5,0.993639,0.051438,0.942200,782,785,-3,3,0.0029,minor local shape detail mismatch
top_iou_5,2,45,0.987934,0.056143,0.931790,660,658,2,2,0.0088,minor local shape detail mismatch
top_iou_5,3,81,0.987179,0.052335,0.934845,616,624,-8,8,0.0072,minor local shape detail mismatch
top_iou_5,4,50,0.983636,0.097086,0.886551,548,543,5,5,0.0023,boundary/narrow-defect sample
top_iou_5,5,77,0.981386,0.081792,0.899594,961,955,6,6,0.0150,minor local shape detail mismatch
low_iou_10,1,40,0.132256,0.074890,0.057367,8975,1187,7788,7788,1.2791,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,2,47,0.134349,0.040092,0.094257,4252,662,3590,3590,2.6909,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,3,17,0.179130,0.066941,0.112189,5143,959,4184,4184,3.9780,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,4,57,0.190597,0.077462,0.113135,5108,995,4113,4113,3.5255,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,5,73,0.201920,0.051785,0.150135,2971,660,2311,2311,1.5880,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,6,95,0.226625,0.113192,0.113433,4813,1130,3683,3683,2.0836,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,7,54,0.239952,0.133155,0.106797,6654,1645,5009,5009,2.8492,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,8,29,0.267585,0.067156,0.200429,3391,1024,2367,2367,3.0916,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,9,49,0.332601,0.109984,0.222617,4512,1550,2962,2962,1.6522,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
low_iou_10,10,43,0.337901,0.117991,0.219910,3135,1454,1681,1681,2.4229,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,1,40,0.132256,0.074890,0.057367,8975,1187,7788,7788,1.2791,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,2,54,0.239952,0.133155,0.106797,6654,1645,5009,5009,2.8492,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,3,17,0.179130,0.066941,0.112189,5143,959,4184,4184,3.9780,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,4,57,0.190597,0.077462,0.113135,5108,995,4113,4113,3.5255,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,5,95,0.226625,0.113192,0.113433,4813,1130,3683,3683,2.0836,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,6,47,0.134349,0.040092,0.094257,4252,662,3590,3590,2.6909,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,7,49,0.332601,0.109984,0.222617,4512,1550,2962,2962,1.6522,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,8,41,0.380181,0.124559,0.255622,4724,1836,2888,2888,2.1878,low IoU; area overprediction; centroid shift; false positive diffusion
area_abs_error_10,9,29,0.267585,0.067156,0.200429,3391,1024,2367,2367,3.0916,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
area_abs_error_10,10,73,0.201920,0.051785,0.150135,2971,660,2311,2311,1.5880,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,1,17,0.179130,0.066941,0.112189,5143,959,4184,4184,3.9780,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,2,57,0.190597,0.077462,0.113135,5108,995,4113,4113,3.5255,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,3,29,0.267585,0.067156,0.200429,3391,1024,2367,2367,3.0916,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
centroid_offset_10,4,54,0.239952,0.133155,0.106797,6654,1645,5009,5009,2.8492,low IoU; area overprediction; centroid shift; false positive diffusion; smallest baseline-to-final improvement
