step,loss,presence_loss,type_loss,center_bin_loss,center_x_bin_loss,center_y_bin_loss,center_offset_loss,local_vertex_loss,center_aux_loss,box_aux_loss,area_aux_loss,edge_aux_loss,weighted_presence_loss,weighted_type_loss,weighted_center_bin_loss,weighted_center_offset_loss,weighted_local_vertex_loss
1,13.169767379760742,0.6648038029670715,0.7230132818222046,2.87202787399292,3.249255657196045,2.494800090789795,0.29560431838035583,5.953878879547119,-0.0,-0.0,-0.0,-0.0,0.6648038029670715,0.7230132818222046,2.87202787399292,2.956043243408203,5.953878879547119
500,0.00852433405816555,0.001238186378031969,0.0003450450603850186,0.0009805024601519108,0.0012077672872692347,0.0007532377494499087,0.0003655837499536574,0.0023047628346830606,0.0,0.0,0.0,0.0,0.001238186378031969,0.0003450450603850186,0.0009805024601519108,0.003655837383121252,0.0023047628346830606
1000,0.007518921513110399,0.0003980595793109387,9.70907713053748e-05,0.0002857602958101779,0.0003470747615210712,0.00022444583009928465,0.0003953365085180849,0.002784645650535822,0.0,0.0,0.0,0.0,0.0003980595793109387,9.70907713053748e-05,0.0002857602958101779,0.00395336514338851,0.002784645650535822
1500,0.0025693720672279596,0.0001602173433639109,2.9086599170113914e-05,8.770409476710483e-05,0.0001066864060703665,6.872178346384317e-05,0.00013903672515880316,0.0009019967983476818,0.0,0.0,0.0,0.0,0.0001602173433639109,2.9086599170113914e-05,8.770409476710483e-05,0.001390367280691862,0.0009019967983476818
2000,0.21647754311561584,0.00019950466230511665,3.313958950457163e-05,0.000115566210297402,0.00014244465273804963,8.868776785675436e-05,0.011679667979478836,0.09933266043663025,0.0,0.0,0.0,0.0,0.00019950466230511665,3.313958950457163e-05,0.000115566210297402,0.11679667979478836,0.09933266043663025
2500,0.00012872560182586312,8.539278496755287e-05,1.0073129487864207e-05,3.3258795156143606e-05,4.0768718463368714e-05,2.57488736679079e-05,1.3480883076510963e-11,7.783462763200077e-10,0.0,0.0,0.0,0.0,8.539278496755287e-05,1.0073129487864207e-05,3.3258795156143606e-05,1.3480883076510963e-10,7.783462763200077e-10
3000,0.00852168258279562,3.5817651223624125e-05,3.5166672205377836e-06,1.1116199857497122e-05,1.3530159776564687e-05,8.702239938429557e-06,0.00029372755670920014,0.005533956922590733,0.0,0.0,0.0,0.0,3.5817651223624125e-05,3.5166672205377836e-06,1.1116199857497122e-05,0.0029372754506766796,0.005533956922590733
3500,0.006233137100934982,2.8362273951643147e-05,2.9802272365486715e-06,9.804912224353757e-06,1.2040063666063361e-05,7.569760782644153e-06,0.0002463255659677088,0.003728733863681555,0.0,0.0,0.0,0.0,2.8362273951643147e-05,2.9802272365486715e-06,9.804912224353757e-06,0.0024632555432617664,0.003728733863681555
4000,0.006659692153334618,2.593159479147289e-05,3.039831881324062e-06,1.0192338777414989e-05,1.2516895367298275e-05,7.867782187531702e-06,0.00024644070072099566,0.004156121518462896,0.0,0.0,0.0,0.0,2.593159479147289e-05,3.039831881324062e-06,1.0192338777414989e-05,0.0024644071236252785,0.004156121518462896
4500,0.005295169539749622,2.2248132154345512e-05,2.7418095669418108e-06,9.44728799368022e-06,1.1742044080165215e-05,7.152531907195225e-06,0.000198079040274024,0.003279942087829113,0.0,0.0,0.0,0.0,2.2248132154345512e-05,2.7418095669418108e-06,9.44728799368022e-06,0.00198079040274024,0.003279942087829113
5000,0.0015124597121030092,2.737351860560011e-05,3.457063030509744e-06,1.2367881936370395e-05,1.5318273653974757e-05,9.417489309271332e-06,4.1423976654186845e-05,0.0010550215374678373,0.0,0.0,0.0,0.0,2.737351860560011e-05,3.457063030509744e-06,1.2367881936370395e-05,0.00041423976654186845,0.0010550215374678373
5500,0.019955741241574287,2.0769080947502516e-05,2.5033916699612746e-06,9.030060027725995e-06,1.1205608643649612e-05,6.854510502307676e-06,0.0006193770095705986,0.013729669153690338,0.0,0.0,0.0,0.0,2.0769080947502516e-05,2.5033916699612746e-06,9.030060027725995e-06,0.006193770095705986,0.013729669153690338
6000,0.0020047836005687714,1.3234479411039501e-05,1.4901149825163884e-06,5.483610948431306e-06,6.794905857532285e-06,4.172316494077677e-06,6.468710489571095e-05,0.001337704248726368,0.0,0.0,0.0,0.0,1.3234479411039501e-05,1.4901149825163884e-06,5.483610948431306e-06,0.0006468710489571095,0.001337704248726368
6500,0.004200726747512817,1.0104389730258845e-05,1.1920920996999484e-06,4.2915244193864055e-06,5.304798833094537e-06,3.2782500056782737e-06,0.00017638551071286201,0.002421283395960927,0.0,0.0,0.0,0.0,1.0104389730258845e-05,1.1920920996999484e-06,4.2915244193864055e-06,0.0017638551071286201,0.002421283395960927
7000,7.420758629450575e-05,1.389591761835618e-05,1.9669512312248116e-06,7.778373401379213e-06,9.715508895169478e-06,5.8412379075889476e-06,4.5742399379378185e-06,4.823942163056927e-06,0.0,0.0,0.0,0.0,1.389591761835618e-05,1.9669512312248116e-06,7.778373401379213e-06,4.5742399379378185e-05,4.823942163056927e-06
7500,0.006870280019938946,8.21344383439282e-06,1.013278392747452e-06,3.90409604733577e-06,4.887568593403557e-06,2.920623273894307e-06,0.0002222743642050773,0.004634405951946974,0.0,0.0,0.0,0.0,8.21344383439282e-06,1.013278392747452e-06,3.90409604733577e-06,0.002222743583843112,0.004634405951946974
8000,3.896876296494156e-05,2.1859270418644883e-05,3.457063030509744e-06,1.3649362699652556e-05,1.7046779248630628e-05,1.0251946150674485e-05,1.0742517986273015e-10,1.993427645174961e-09,0.0,0.0,0.0,0.0,2.1859270418644883e-05,3.457063030509744e-06,1.3649362699652556e-05,1.0742517986273015e-09,1.993427645174961e-09
8500,0.010615603998303413,7.548340363427997e-06,9.536738616588991e-07,3.4272607081220485e-06,4.172316039330326e-06,2.682205376913771e-06,0.000298794184345752,0.007615732494741678,0.0,0.0,0.0,0.0,7.548340363427997e-06,9.536738616588991e-07,3.4272607081220485e-06,0.002987941727042198,0.007615732494741678
9000,0.00010391231626272202,4.907477887172718e-06,5.960462772236497e-07,2.235171450593043e-06,2.8014142117172014e-06,1.6689286894688848e-06,2.767047362794983e-06,6.850314821349457e-05,0.0,0.0,0.0,0.0,4.907477887172718e-06,5.960462772236497e-07,2.235171450593043e-06,2.7670474082697183e-05,6.850314821349457e-05
9500,0.0012944780755788088,4.2962224142684136e-06,5.960462772236497e-07,2.2649737729807384e-06,2.861018856492592e-06,1.6689286894688848e-06,4.1044077079277486e-05,0.0008768800180405378,0.0,0.0,0.0,0.0,4.2962224142684136e-06,5.960462772236497e-07,2.2649737729807384e-06,0.0004104407853446901,0.0008768800180405378
10000,0.0009440936846658587,3.712403895406169e-06,5.960462772236497e-07,2.235171450593043e-06,2.8014142117172014e-06,1.6689286894688848e-06,4.261876529199071e-05,0.0005113624501973391,0.0,0.0,0.0,0.0,3.712403895406169e-06,5.960462772236497e-07,2.235171450593043e-06,0.0004261876456439495,0.0005113624501973391
