split,hard_case_type,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,x_bin_acc_mean,x_bin_acc_min,x_bin_acc_max,y_bin_acc_mean,y_bin_acc_min,y_bin_acc_max,center_grid_error_mean_mean,center_grid_error_mean_min,center_grid_error_mean_max,local_vertex_grid_mae_mean_mean,local_vertex_grid_mae_mean_min,local_vertex_grid_mae_mean_max,area_diff_mean,area_diff_min,area_diff_max,zero_iou_rate,any_x_bin_wrong_rate,any_y_bin_wrong_rate,presence_correct_rate,present_type_correct_rate
test,bins_correct_center_or_offset_bad,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.701670861093973,7.974872581110998,25.42846914107695,0.5984241962432861,0.5551531165838242,0.6416952759027481,9.0,-6.0,24.0,1.0,1.0,1.0,1.0,0.5
test,both_bins_wrong_like,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.73156799481356,7.660554160566051,7.802581829061068,1.4511689394712448,1.0616639107465744,1.8406739681959152,-59.0,-80.0,-38.0,1.0,0.0,1.0,1.0,1.0
test,geometry_or_type_interaction,2,2,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,15.664408798927903,14.081756609559331,17.247060988296475,0.9603578560054302,0.7233824282884598,1.1973332837224007,-23.0,-45.0,-1.0,1.0,0.5,1.0,0.5,1.0
test,rare_y_bin_wrong,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.462544934069041,7.462544934069041,7.462544934069041,1.1716545075178146,1.1716545075178146,1.1716545075178146,-35.0,-35.0,-35.0,1.0,0.0,1.0,1.0,1.0
test,x_bin_wrong_like,3,3,0.2813874866854999,0.0,0.43356643356643354,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,6.78211302340119,2.529535101235276,15.123633135224024,0.48363742232322693,0.05314958095550537,0.9005650579929352,-23.333333333333332,-54.0,22.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0
train,bins_correct_center_or_offset_bad,7,7,0.9923021012290208,0.967391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019695394910599302,0.016929067863759733,0.02506237639136862,0.008527604596955436,0.0024033337831497192,0.01705072820186615,-0.14285714285714285,-3.0,2.0,0.0,0.0,0.0,1.0,1.0
train,both_bins_wrong_like,5,5,0.9963190184049079,0.9815950920245399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016302226884268575,0.013905915159872174,0.018856152814298897,0.005069805681705475,0.0029676854610443115,0.00889056921005249,0.6,0.0,3.0,0.0,0.0,0.0,1.0,1.0
train,geometry_or_type_interaction,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015667110649163284,0.011554660578491095,0.019158932612017475,0.0036980425318082167,0.0014226138591766357,0.00864081084728241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
train,rare_y_bin_wrong,3,3,0.9741172579178037,0.9568345323741008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03334292720731081,0.02876030713594095,0.036806691059490616,0.022800376017888386,0.008893340826034546,0.030100613832473755,-2.0,-4.0,0.0,0.0,0.0,0.0,1.0,1.0
train,x_bin_wrong_like,10,10,0.9828213910038068,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02410908555072014,0.022009166496954845,0.02665321187398645,0.0066386014223098755,0.0013931691646575928,0.013470113277435303,-2.8,-32.0,3.0,0.0,0.0,0.0,1.0,1.0
val,bins_correct_center_or_offset_bad,2,2,0.2631578947368421,0.0,0.5263157894736842,1.0,1.0,1.0,0.5,0.0,1.0,7.135383643152413,1.0344293261073907,13.236337960197435,5.292805016040802,1.6810518503189087,8.904558181762695,35.0,-36.0,106.0,0.5,0.0,0.5,1.0,0.0
val,both_bins_wrong_like,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.900320512625754,21.96029041611113,47.84035060914039,2.608042798936367,1.3683686703443527,3.8477169275283813,-62.0,-107.0,-17.0,1.0,1.0,1.0,0.5,0.5
val,geometry_or_type_interaction,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,27.952627839517653,25.691318868949395,30.213936810085915,2.1113629825413227,1.636196717619896,2.5865292474627495,2.0,-54.0,58.0,1.0,1.0,1.0,0.5,0.5
val,rare_y_bin_wrong,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,39.77942295965436,39.77942295965436,39.77942295965436,0.8236090838909149,0.8236090838909149,0.8236090838909149,9.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0
val,x_bin_wrong_like,3,3,0.0659025787965616,0.0,0.1977077363896848,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,22.295717748763156,9.553643639779718,33.56993434272917,6.701796059807141,0.886032372713089,10.283609494566917,-128.33333333333334,-174.0,-58.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
