split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,pred_area,target_area,area_diff,pred_component_count,true_component_count,out_of_grid_vertex_count,x_bin_acc,y_bin_acc,both_bin_acc,all_x_bins_correct,all_y_bins_correct,all_bins_correct,any_x_bin_wrong,any_y_bin_wrong,any_bin_wrong,presence_correct,present_type_correct,center_offset_error_mean,center_grid_error_mean,local_vertex_grid_mae_mean,local_vertex_grid_max_error,decoded_vertex_mae_mean,is_true_rotated,is_true_multi_component,type_true_values,type_pred_values,true_center_bin_pairs,pred_center_bin_pairs
val,1,x_bin_wrong_like,1,0.0,True,57,210,-153,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,0.22869697213172913,23.76357526378058,10.283609494566917,26.6690616607666,0.005831156857311726,False,False,0,1,4:6,3:3
val,2,x_bin_wrong_like,1,0.0,True,43,217,-174,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.12358979880809784,33.56993434272917,8.935746312141418,23.94644546508789,0.00630861334502697,True,False,1,1,11:6,11:2
val,3,both_bins_wrong_like,2,0.0,True,45,152,-107,1,2,0,0.0,0.0,0.0,False,False,False,True,True,True,False,True,0.2970038801431656,47.84035060914039,3.8477169275283813,18.451210021972656,0.009792361874133348,True,True,1;0,1;0,13:4;15:5,3:5;16:7
val,4,both_bins_wrong_like,1,0.0,True,79,96,-17,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,False,0.5851136445999146,21.96029041611113,1.3683686703443527,4.016844272613525,0.0030230244155973196,True,False,1,0,10:6,9:4
val,6,bins_correct_center_or_offset_bad,1,0.0,True,180,74,106,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,False,0.4296746253967285,13.236337960197435,8.904558181762695,25.246630668640137,0.004281691741198301,True,False,1,0,6:3,6:5
val,7,geometry_or_type_interaction,2,0.0,True,163,105,58,1,2,0,0.5,0.0,0.0,False,False,False,True,True,True,False,False,0.39913658797740936,30.213936810085915,2.5865292474627495,5.241576194763184,0.0056243439903482795,True,True,1;0,0;0,16:3;19:3,16:5;16:8
val,8,geometry_or_type_interaction,2,0.0,True,48,102,-54,2,2,0,0.5,0.0,0.0,False,False,False,True,True,True,True,True,0.27043912559747696,25.691318868949395,1.636196717619896,3.2236032485961914,0.0033087395131587982,True,True,1;0,1;0,5:4;8:5,6:7;8:8
val,9,rare_y_bin_wrong,1,0.0,True,141,132,9,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.042330190539360046,39.77942295965436,0.8236090838909149,1.4059123992919922,0.0042821429669857025,True,False,1,1,13:8,13:3
test,2,x_bin_wrong_like,1,0.0,True,150,204,-54,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.06154625490307808,15.123633135224024,0.9005650579929352,1.6213159561157227,0.001828040461987257,False,False,0,0,9:5,9:7
test,3,both_bins_wrong_like,2,0.0,True,80,160,-80,2,2,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.08735279738903046,7.660554160566051,1.8406739681959152,6.458088397979736,0.0013958524796180427,True,True,1;0,1;0,15:4;17:5,15:5;17:6
test,4,both_bins_wrong_like,1,0.0,True,82,120,-38,1,1,0,1.0,0.0,0.0,True,False,False,False,True,True,True,True,0.03756172955036163,7.802581829061068,1.0616639107465744,2.131405830383301,0.00112383090890944,True,False,1,1,12:6,12:7
test,5,bins_correct_center_or_offset_bad,1,0.0,True,55,61,-6,1,1,0,0.0,0.0,0.0,False,False,False,True,True,True,True,True,0.3054048418998718,7.974872581110998,0.6416952759027481,1.3442277908325195,0.0015879410784691572,True,False,1,1,12:3,13:2
