split,sample_index,hard_case_type,component_count,polygon_iou,zero_iou,pred_area,target_area,area_diff,pred_component_count,true_component_count,out_of_grid_vertex_count,x_bin_acc,y_bin_acc,both_bin_acc,all_x_bins_correct,all_y_bins_correct,all_bins_correct,any_x_bin_wrong,any_y_bin_wrong,any_bin_wrong,presence_correct,present_type_correct,center_offset_error_mean,center_grid_error_mean,local_vertex_grid_mae_mean,local_vertex_grid_max_error,decoded_vertex_mae_mean,is_true_rotated,is_true_multi_component,type_true_values,type_pred_values,true_center_bin_pairs,pred_center_bin_pairs
train,0,x_bin_wrong_like,1,0.984375,False,192,189,3,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.001985771581530571,0.02665321187398645,0.009527027606964111,0.018708229064941406,5.740599590353668e-06,True,False,1,1,3:5,3:5
train,1,x_bin_wrong_like,1,0.8571428571428571,False,192,224,-32,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0016788765788078308,0.022652301337349013,0.006563097238540649,0.0112152099609375,4.324878318584524e-06,False,False,0,0,10:5,10:5
train,2,x_bin_wrong_like,1,1.0,False,238,238,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0018277429044246674,0.02302402423664291,0.005227446556091309,0.008487701416015625,3.7990939745213836e-06,False,False,0,0,17:5,17:5
train,3,x_bin_wrong_like,1,1.0,False,210,210,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0017040707170963287,0.022850280927707935,0.005248963832855225,0.009914398193359375,3.92995571019128e-06,False,False,0,0,6:6,6:6
train,4,x_bin_wrong_like,1,0.9953917050691244,False,216,217,-1,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0017881966196000576,0.02478203971092388,0.011363029479980469,0.020689964294433594,6.173065230541397e-06,True,False,1,1,13:6,13:6
train,5,x_bin_wrong_like,1,1.0,False,224,224,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.001707267016172409,0.02355575322817512,0.0013931691646575928,0.0025577545166015625,3.165776433888823e-06,False,False,0,0,20:6,20:6
train,6,x_bin_wrong_like,1,1.0,False,204,204,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0018841437995433807,0.024444807126155155,0.008898347616195679,0.016490936279296875,5.348942067939788e-06,False,False,0,0,9:7,9:7
train,7,x_bin_wrong_like,1,1.0,False,245,245,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0019874311983585358,0.02589374422950625,0.013470113277435303,0.025491714477539062,7.087895937729627e-06,False,False,0,0,16:5,16:5
train,8,x_bin_wrong_like,1,0.991304347826087,False,230,228,2,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0015295911580324173,0.022009166496954845,0.002065002918243408,0.0044078826904296875,2.879867679439485e-06,True,False,1,1,5:5,5:5
train,9,x_bin_wrong_like,1,1.0,False,224,224,0,1,1,0,1.0,1.0,1.0,True,True,True,False,False,False,True,True,0.0017869845032691956,0.025225526339799832,0.0026298165321350098,0.0070037841796875,3.5335851862328127e-06,False,False,0,0,12:5,12:5
