split,component_slot,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate,type_correct_rate
test,0,10,10,0.08441624600564998,0.0,0.43356643356643354,10.794878956375952,2.529535101235276,25.42846914107695,0.9815952450037002,0.05314958095550537,2.6593446284532547,0.001554609337472357,0.00028022387414239347,0.0033707590773701668,0.8,0.1,0.1,0.8,0.9
test,1,3,3,0.0,0.0,0.0,13.014920502868607,7.750319952113385,16.523865082095746,0.8626353293657303,0.6955126821994781,1.0220033079385757,0.0019905963369334736,0.001099910936318338,0.0026369215920567513,0.6666666666666666,0.0,0.0,1.0,1.0
train,0,30,30,0.9892758494806386,0.8571428571428571,1.0,0.021479994890782728,0.013905915159872174,0.036806691059490616,0.00804939220348994,0.0013931691646575928,0.030100613832473755,4.837163108580474e-06,2.207350917160511e-06,1.317323767580092e-05,1.0,1.0,1.0,0.0,1.0
train,1,7,7,0.9973707274320771,0.9815950920245399,1.0,0.01566329371896229,0.013647889432338788,0.02096344675341485,0.003072270325251988,0.0014421343803405762,0.007719218730926514,2.646258508320898e-06,1.942142262123525e-06,4.644622094929218e-06,1.0,1.0,1.0,0.0,1.0
train,2,1,1,1.0,1.0,1.0,0.004798464373752214,0.004798464373752214,0.004798464373752214,0.0027096420526504517,0.0027096420526504517,0.0027096420526504517,1.1676311260089278e-06,1.1676311260089278e-06,1.1676311260089278e-06,1.0,1.0,1.0,0.0,1.0
val,0,10,10,0.0724023525863369,0.0,0.5263157894736842,25.455597268233603,1.0344293261073907,76.44737609343413,4.409909138083458,0.8236090838909149,10.283609494566917,0.004771358065772802,0.00059950549621135,0.015837769955396652,0.5,0.2,0.1,0.8,0.5
val,1,3,3,0.0,0.0,0.0,31.94429126745837,19.23332512484664,49.40639558732116,1.6415901233752568,1.269631415605545,2.0369498282670975,0.0054004253664364415,0.003291382221505046,0.009162940084934235,0.3333333333333333,0.0,0.0,1.0,1.0
