step,total_loss,presence_loss,type_loss,continuous_loss
1,1.8503564596176147,0.7317806482315063,0.6848949193954468,0.433680921792984
100,0.32371145486831665,2.282680907228496e-05,0.0856115072965622,0.2380771040916443
200,0.13523170351982117,2.9050116268081183e-07,0.0010641086846590042,0.13416729867458344
300,0.060602981597185135,4.8815380182531953e-08,0.00023540700203739107,0.06036752462387085
400,0.029149135574698448,2.181199221240604e-08,0.00014973986253608018,0.02899937331676483
500,0.01584561914205551,1.4343059184795948e-08,9.515148121863604e-05,0.015750452876091003
600,0.007909652777016163,1.1587944825919294e-08,7.646147423656657e-05,0.007833180017769337
700,0.0056618573144078255,1.0467832822769196e-08,5.599529322353192e-05,0.005605851765722036
800,0.003963639959692955,1.1052908810427198e-08,3.236741395085119e-05,0.003931261599063873
900,0.0023750662803649902,1.5022370902784132e-08,2.4147275325958617e-05,0.0023509040474891663
1000,0.0011101283598691225,1.5015075405244716e-08,1.9398035874473862e-05,0.0010907152900472283
1100,0.0012021609582006931,2.0695310354312824e-08,1.8736645870376378e-05,0.00118340365588665
1200,0.0009476459817960858,2.156357759020011e-08,1.6433805285487324e-05,0.0009311906178481877
1300,0.0007466913084499538,2.685566258264771e-08,1.6656136722303927e-05,0.0007300082943402231
1400,0.0004541504313237965,4.5507395185495625e-08,1.3968360690341797e-05,0.0004401365586090833
1500,0.0004182065895292908,4.5699284356715e-08,1.2781992154486943e-05,0.0004053789016325027
1600,0.00035613312502391636,4.173818624053638e-08,1.1199889740964863e-05,0.00034489150857552886
1700,0.0012481419835239649,4.624043015155621e-08,1.1760099368984811e-05,0.0012363356072455645
1800,0.002600898500531912,6.393454299313817e-08,2.052928539342247e-05,0.002580305328592658
1900,0.0011673769913613796,6.814325104187446e-08,1.0236439266009256e-05,0.0011570723727345467
2000,0.014120382256805897,6.359348958540068e-08,0.0005417352658696473,0.013578583486378193
2100,0.07570793479681015,2.994011982782041e-10,0.000745708413887769,0.07496222853660583
2200,0.019797179847955704,1.2177210628738777e-11,0.00020515180949587375,0.019592028111219406
2300,0.00890339259058237,4.292373314424003e-12,0.00010622113040881231,0.008797171525657177
2400,0.0048150597140192986,2.587138185974891e-12,6.335810758173466e-05,0.00475170137360692
2500,0.0027873136568814516,1.967841905051171e-12,4.47947604698129e-05,0.0027425189036875963
2600,0.0017133683431893587,1.5468906537641214e-12,3.4888220397988334e-05,0.0016784800682216883
2700,0.0012656402541324496,1.217942738850064e-12,2.866026079573203e-05,0.0012369799660518765
2800,0.0008798307972028852,1.003834168566975e-12,2.4888002371881157e-05,0.0008549427730031312
2900,0.0008173605310730636,8.742625221859479e-13,2.2140298824524507e-05,0.0007952202577143908
3000,0.0005955881206318736,7.757252956305805e-13,2.002659130084794e-05,0.0005755615420639515
