group_by,group_value,count,mean_mask_iou,mean_center_grid_error,x_bin_wrong_rate,y_bin_wrong_rate,both_bins_correct_rate,mean_abs_offset_x_error,mean_abs_offset_y_error
split,test,60,0.5431905155517903,3.06594626125071,0.18333333333333335,0.08333333333333337,0.7333333333333333,0.26884122021590434,0.15019767610701037
split,train,300,0.7178280293618898,0.6438675351536922,0.0,0.0033333333333332993,0.9966666666666667,0.0439369284490967,0.050330162988982345
split,val,60,0.5182720179758677,5.811699536211301,0.25,0.21666666666666667,0.6166666666666667,0.2884584922079035,0.15719324211796845
component_slot,0,140,0.66437181147673,1.739645070003974,0.09285714285714286,0.02857142857142858,0.8928571428571429,0.11833471361924983,0.040615187362698105
component_slot,1,140,0.66437181147673,1.8240220238894218,0.0071428571428571175,0.0714285714285714,0.9214285714285714,0.08311653778556116,0.14887360023502783
component_slot,2,140,0.66437181147673,1.6207543946339487,0.08571428571428574,0.0357142857142857,0.9,0.13154204345345674,0.05010052661794152
type_true,rectangular_notch,210,0.6731889116968034,1.8564526785462587,0.06190476190476191,0.033333333333333326,0.9142857142857143,0.10994346816682705,0.07327280339466685
type_true,rotated_rect,210,0.6555547112566562,1.5998283138053042,0.06190476190476191,0.05714285714285716,0.8952380952380953,0.11205206173868475,0.0864534060824448
x_bin_correct,false,26,0.43421738208745086,9.400525262237004,1.0,0.1923076923076923,0.0,0.372079807163155,0.08746091569283518
x_bin_correct,true,394,0.6795596672232307,1.2218409938468686,0.0,0.035532994923857864,0.9644670050761421,0.09376900074597828,0.07936172635070995
y_bin_correct,false,19,0.42818005367640355,11.952228457490211,0.26315789473684215,1.0,0.0,0.25065412453585034,0.4912273818443031
y_bin_correct,true,401,0.6755629421455736,1.243707400751906,0.052369077306733125,0.0,0.9476309226932669,0.10438063070817041,0.06037202926471737
both_bins_correct,false,40,0.4532103495465801,8.545862918905396,0.65,0.475,0.0,0.314392162733499,0.27936464108794584
both_bins_correct,true,380,0.6865993337851667,1.0104855043095067,0.0,0.0,1.0,0.08958782834425663,0.05886294301756735
mask_iou_bin,0.40-0.50,18,0.4624324320812574,4.616980690874924,0.33333333333333337,0.2222222222222222,0.5555555555555556,0.45750053898415566,0.16999751460396617
mask_iou_bin,0.50-0.60,75,0.5562730492109236,2.151646536671842,0.10666666666666669,0.07999999999999996,0.8133333333333334,0.20317013403968526,0.12643379214863382
mask_iou_bin,<0.40,15,0.26799163308547713,15.401177205350367,0.6,0.4,0.2,0.27586318230800955,0.1428865650980214
mask_iou_bin,>=0.60,312,0.7210641790245593,0.8023147680366536,0.009615384615384581,0.009615384615384581,0.9807692307692307,0.06092417881681453,0.06043819179392372
target_area_bin,1000-1500,330,0.6637653815216811,1.7917524475158568,0.054545454545454564,0.051515151515151514,0.9090909090909091,0.10907630875867952,0.08048900780101625
target_area_bin,500-1000,90,0.6665953879785782,1.4948966745955075,0.0888888888888889,0.022222222222222254,0.8888888888888888,0.11804310433103592,0.0775681268428675
rotation_bin,15-45deg,69,0.6720054753451282,1.6268355086121271,0.04347826086956519,0.10144927536231885,0.855072463768116,0.08340071951380038,0.15833782553919037
rotation_bin,<15deg,351,0.6628711766991815,1.748055151850688,0.06552706552706555,0.03418803418803418,0.9145299145299145,0.11642282516725147,0.06443645022219174
